game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
DJ Hero 2,https://www.trueachievements.com/game/DJ-Hero-2/achievements,xbox-360,"49 / 4,043","42 / 1,000",5 / 50,Owned,Playing now,,,17 Apr 22,,28 Apr 23
Castle Crashers,https://www.trueachievements.com/game/Castle-Crashers/achievements,xbox-360,140 / 360,105 / 200,6 / 12,Owned,,,,28 Mar 19,,28 Apr 23
Trials HD,https://www.trueachievements.com/game/Trials-HD/achievements,xbox-360,30 / 505,30 / 200,3 / 12,Owned,Playing now,,,10 Mar 21,,28 Apr 23
Hydro Thunder Hurricane,https://www.trueachievements.com/game/Hydro-Thunder/achievements,xbox-360,289 / 816,160 / 250,7 / 15,Owned,Playing now,,,16 Mar 19,,28 Apr 23
A Kingdom for Keflings,https://www.trueachievements.com/game/A-Kingdom-for-Keflings/achievements,xbox-360,71 / 303,60 / 200,5 / 12,Owned,Playing now,,,02 Oct 22,,28 Apr 23
LEGO Batman,https://www.trueachievements.com/game/LEGO-Batman/achievements,xbox-360,"573 / 1,626","400 / 1,000",19 / 46,Owned,,,,15 Jan 17,,28 Apr 23
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"10 / 2,474","10 / 1,000",1 / 49,Owned,Playing now,,,22 Apr 23,,21 Apr 23
Minecraft: Xbox 360 Edition,https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,xbox-360,"1,180 / 7,753","350 / 1,835",20 / 81,Owned,,,,27 May 16,,16 Apr 23
Feeding Frenzy 2: Shipwreck Showdown,https://www.trueachievements.com/game/Feeding-Frenzy-2/achievements,xbox-360,181 / 356,115 / 200,7 / 12,Owned,Playing now,,,12 Nov 20,,16 Apr 23
Rock Band,https://www.trueachievements.com/game/Rock-Band/achievements,xbox-360,"92 / 3,418","70 / 1,000",4 / 50,Owned,,,,12 Oct 14,,15 Apr 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"67 / 3,505","60 / 1,000",2 / 47,Owned,Playing now,,,03 Oct 22,,25 Mar 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"321 / 2,102","240 / 1,000",13 / 59,Owned,Playing now,,74 hrs 35 mins,25 Feb 23,,23 Mar 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"387 / 2,448","310 / 1,500",18 / 57,Owned,Playing now,,6 hrs 44 mins,12 Jan 20,,05 Mar 23
Mortal Kombat vs DC Universe,https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,xbox-360,"130 / 6,307","105 / 1,000",6 / 50,Owned,,,,09 Jun 19,,17 Feb 23
Journey to the Savage Planet,https://www.trueachievements.com/game/Journey-to-the-Savage-Planet/achievements,xbox-one,"433 / 2,654","265 / 1,000",15 / 43,Owned,,,22 hrs 57 mins,27 Oct 20,,12 Feb 23
BattleBlock Theater,https://www.trueachievements.com/game/BattleBlock-Theater/achievements,xbox-360,"209 / 1,547",130 / 400,15 / 30,Owned,Playing now,,,26 May 19,,12 Feb 23
Need for Speed: Hot Pursuit,https://www.trueachievements.com/game/NFS-Hot-Pursuit/achievements,xbox-360,"72 / 2,328","65 / 1,000",4 / 50,Owned,Playing now,,,01 Feb 23,,12 Feb 23
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"432 / 2,000","300 / 1,000",14 / 30,Owned,,,17 hrs 51 mins,07 Jan 20,,21 Jan 23
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"25 / 1,910","25 / 1,000",1 / 17,Owned,Playing now,,3 hrs 20 mins,26 Dec 22,,26 Dec 22
Just Dance 2015 (Xbox 360),https://www.trueachievements.com/game/Just-Dance-2015-Xbox-360/achievements,xbox-360,"5 / 5,422","5 / 1,000",1 / 50,Owned,Playing now,,,11 Dec 22,,11 Dec 22
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"233 / 2,036","200 / 1,000",17 / 64,Owned,Playing now,,27 hrs 27 mins,02 Jan 20,,15 Nov 22
