game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Assassin's Creed IV: Black Flag,https://www.trueachievements.com/game/Assassins-Creed-IV-Black-Flag/achievements,xbox-one,"824 / 2,165","560 / 1,000",29 / 50,Owned,,,52 hrs 4 mins,03 May 15,,26 Nov 15
The Elder Scrolls Online,https://www.trueachievements.com/game/The-Elder-Scrolls-Online-Tamriel-Unlimited/achievements,xbox-one,"519 / 6,724","190 / 1,000",18 / 45,Owned,Playing now,,303 hrs 13 mins,03 Aug 15,,08 Nov 15
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"1,484 / 2,297","805 / 1,000",43 / 50,Owned,Playing now,,102 hrs 25 mins,08 Jul 15,,01 Aug 15
The Witcher 3: Wild Hunt,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,xbox-one,"810 / 2,128","510 / 1,000",30 / 52,Owned,Playing now,,224 hrs 37 mins,31 May 15,,30 Jun 15
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,17 hrs 23 mins,29 May 15,,29 May 15
FIFA 15,https://www.trueachievements.com/game/FIFA-15/achievements,xbox-one,"529 / 2,047","375 / 1,000",11 / 45,Owned,,,75 hrs 57 mins,27 Mar 15,,25 May 15
Amazon Video (UK),https://www.trueachievements.com/game/Amazon-LOVEFiLM/achievements,xbox-one,0 / 0,0 / 0,6 / 9,Owned,,,25 hrs 30 mins,02 May 15,,16 May 15
Middle-earth: Shadow of Mordor,https://www.trueachievements.com/game/Middle-earth-Shadow-of-Mordor/achievements,xbox-one,"671 / 1,531","530 / 1,000",25 / 51,Owned,,,27 hrs 50 mins,12 Apr 15,,05 May 15
Groove Music,https://www.trueachievements.com/game/Xbox-Music/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,3 mins,28 Mar 15,,28 Mar 15
FIFA 14 (Xbox 360),https://www.trueachievements.com/game/FIFA-14-Xbox-360/achievements,xbox-360,"595 / 1,919","400 / 1,000",20 / 43,Owned,,,,15 Jan 14,,26 Jul 14
South Park: The Stick of Truth (Xbox 360),https://www.trueachievements.com/game/South-Park-The-Stick-of-Truth/achievements,xbox-360,"447 / 1,781","355 / 1,000",20 / 50,Owned,,,,07 Jun 14,,15 Jun 14
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"32 / 2,474","30 / 1,000",2 / 49,Owned,,,,27 Sep 13,,15 Jan 14
Borderlands 2 (Xbox 360),https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,xbox-360,"153 / 1,649","135 / 1,000",9 / 50,Owned,,,,27 Sep 13,,22 Sep 13
FIFA 13,https://www.trueachievements.com/game/FIFA-13/achievements,xbox-360,"653 / 2,068","395 / 1,000",24 / 48,Owned,,,,28 Sep 12,,22 Sep 13
Assassin's Creed III,https://www.trueachievements.com/game/Assassins-Creed-III/achievements,xbox-360,"480 / 2,011","380 / 1,000",19 / 50,Owned,,,,19 Mar 13,,22 Sep 13
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"436 / 1,425","375 / 1,000",20 / 50,Owned,,,,06 Jan 13,,17 Mar 13
Assassin's Creed: Revelations,https://www.trueachievements.com/game/Assassins-Creed-Revelations/achievements,xbox-360,"461 / 1,765","360 / 1,000",17 / 49,Owned,,,,27 Dec 12,,18 Dec 12
L.A. Noire (Xbox 360),https://www.trueachievements.com/game/LA-Noire-Xbox-360/achievements,xbox-360,"626 / 1,762","480 / 1,000",23 / 40,Owned,,,,30 Sep 12,,30 Sep 12
FIFA 11,https://www.trueachievements.com/game/FIFA-11/achievements,xbox-360,"267 / 2,895","175 / 1,000",16 / 46,Owned,,,,03 Nov 11,,27 Jun 12
FIFA 12,https://www.trueachievements.com/game/FIFA-12/achievements,xbox-360,"1,354 / 2,056","725 / 1,000",33 / 45,Owned,,,,29 Oct 11,,26 Jun 12
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"693 / 1,473","530 / 1,000",32 / 50,Owned,,,,21 Dec 11,,01 Mar 12
Hexic HD,https://www.trueachievements.com/game/Hexic/achievements,xbox-360,27 / 810,25 / 200,3 / 12,Owned,,,,25 Jan 06,,13 Jan 12
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"49 / 2,849","45 / 1,000",5 / 50,Owned,,,,05 Nov 11,,06 Nov 11
Fable III,https://www.trueachievements.com/game/Fable-3/achievements,xbox-360,"666 / 1,861","495 / 1,000",21 / 50,Owned,,,,03 Nov 11,,03 Nov 11
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"426 / 2,102","300 / 1,000",14 / 48,Owned,,,,03 Nov 11,,03 Nov 11
Fable II,https://www.trueachievements.com/game/Fable-2/achievements,xbox-360,"735 / 1,490","605 / 1,000",27 / 50,Owned,,,,04 Oct 10,,04 Oct 10
Assassin's Creed II,https://www.trueachievements.com/game/Assassins-Creed-2/achievements,xbox-360,"931 / 1,253","795 / 1,000",34 / 50,Owned,,,,04 Oct 10,,04 Oct 10
Forza Motorsport 3,https://www.trueachievements.com/game/Forza-Motorsport-3/achievements,xbox-360,"324 / 1,934","275 / 1,000",23 / 50,Owned,,,,04 Oct 10,,04 Oct 10
FIFA 10,https://www.trueachievements.com/game/FIFA-10/achievements,xbox-360,"729 / 3,024","330 / 1,000",12 / 44,Owned,,,,04 Oct 10,,30 May 10
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"135 / 3,208","95 / 1,000",8 / 50,Owned,,,,28 May 08,,06 Jun 08
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"205 / 1,480","155 / 1,000",10 / 49,Owned,,,,30 Sep 07,,31 May 08
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"334 / 1,494","300 / 1,000",15 / 37,Owned,,,,25 May 09,,30 May 08
Assassin's Creed,https://www.trueachievements.com/game/Assassins-Creed/achievements,xbox-360,"719 / 1,592","560 / 1,000",20 / 44,Owned,,,,18 Nov 07,,19 Nov 07
Two Worlds,https://www.trueachievements.com/game/Two-Worlds/achievements,xbox-360,"1,200 / 1,894","740 / 1,000",29 / 41,Owned,,,,09 Sep 07,,26 Oct 07
Stuntman: Ignition,https://www.trueachievements.com/game/Stuntman-Ignition/achievements,xbox-360,"1,093 / 4,010","415 / 1,000",24 / 50,Owned,,,,02 Sep 07,,01 Oct 07
Perfect Dark Zero,https://www.trueachievements.com/game/Perfect-Dark-Zero/achievements,xbox-360,"392 / 3,957","230 / 1,000",17 / 50,Owned,,,,15 Jan 06,,25 Sep 07
Full Auto,https://www.trueachievements.com/game/Full-Auto/achievements,xbox-360,"5 / 2,065","5 / 1,000",1 / 50,Owned,,,,25 May 09,,25 Sep 07
Gears of War,https://www.trueachievements.com/game/Gears-of-War/achievements,xbox-360,"289 / 2,676","210 / 1,000",15 / 49,Owned,,,,08 Apr 07,,10 Sep 07
Call of Duty 3,https://www.trueachievements.com/game/Call-Of-Duty-3/achievements,xbox-360,"139 / 3,346","110 / 1,000",6 / 26,Owned,,,,25 May 09,,05 Sep 07
Lost Planet: Extreme Condition,https://www.trueachievements.com/game/Lost-Planet/achievements,xbox-360,"245 / 4,172","175 / 1,000",11 / 35,Owned,,,,08 Apr 07,,03 Sep 07
