game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"742 / 1,370",370 / 600,35 / 50,Owned,Playing now,,42 hrs 17 mins,18 Nov 21,,25 Nov 21
Disgaea 4 Complete+ (Windows),https://www.trueachievements.com/game/Disgaea-4-Complete-Plus/achievements,windows,"10 / 11,888","10 / 1,000",1 / 51,Owned,Playing now,,10 mins,15 Oct 20,,15 Oct 20
Yakuza 0 (Windows),https://www.trueachievements.com/game/Yakuza-0-Windows/achievements,windows,"508 / 4,687","240 / 1,000",16 / 55,Owned,Playing now,,26 hrs 23 mins,20 Sep 20,,13 Oct 20
Drake Hollow,https://www.trueachievements.com/game/Drake-Hollow/achievements,xbox-one,"23 / 3,727","10 / 1,000",1 / 50,Owned,Playing now,,33 mins,11 Oct 20,,11 Oct 20
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"148 / 1,821","130 / 1,000",13 / 50,Owned,Playing now,,2 hrs 49 mins,24 Sep 20,,24 Sep 20
Crackdown 3: Campaign,https://www.trueachievements.com/game/Crackdown-3/achievements,xbox-one,"51 / 2,637","45 / 1,000",7 / 70,Owned,Playing now,,48 mins,20 Sep 20,,20 Sep 20
Phantasy Star Online 2 New Genesis,https://www.trueachievements.com/game/Phantasy-Star-Online-2/achievements,xbox-one,"1,263 / 2,401","640 / 1,000",17 / 27,Owned,Playing now,,154 hrs 42 mins,28 May 20,,03 Jun 20
Munchkin: Quacked Quest,https://www.trueachievements.com/game/Munchkin-Quacked-Quest/achievements,xbox-one,"230 / 4,421","160 / 1,000",7 / 26,Owned,Playing now,,35 mins,28 Nov 19,,28 Nov 19
RAGE 2 (Windows),https://www.trueachievements.com/game/RAGE-2-Windows/achievements,windows,"64 / 4,229","55 / 1,045",3 / 47,Owned,Playing now,,1 hr 3 mins,16 Nov 19,,16 Nov 19
ReCore,https://www.trueachievements.com/game/ReCore/achievements,xbox-one,"127 / 2,392","120 / 1,000",6 / 53,Owned,Playing now,,28 mins,14 Nov 19,,14 Nov 19
Dead Rising 4 (Windows),https://www.trueachievements.com/game/Dead-Rising-4-Windows/achievements,windows,"359 / 7,003","160 / 1,000",13 / 50,Owned,Playing now,,5 hrs 59 mins,07 Nov 19,,07 Nov 19
The Outer Worlds (Windows),https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,windows,"2,025 / 3,223","745 / 1,000",34 / 48,Owned,Playing now,,,25 Oct 19,,04 Nov 19
The Bard's Tale IV: Director's Cut,https://www.trueachievements.com/game/The-Bards-Tale-IV/achievements,xbox-one,"363 / 4,520","140 / 1,000",8 / 59,Owned,Playing now,,,28 Oct 19,,29 Oct 19
Dead Rising 2: Off The Record (GFWL),https://www.trueachievements.com/game/Dead-Rising-2-Off-the-Record-PC/achievements,games-for-windows-live,"150 / 2,338","120 / 1,000",6 / 50,Owned,,,,28 Feb 14,,23 Feb 14
Spartacus Legends,https://www.trueachievements.com/game/Spartacus-Legends/achievements,xbox-360,"231 / 1,882",130 / 400,6 / 12,Owned,,,,06 Dec 13,,22 Dec 13
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"629 / 1,933","470 / 1,000",29 / 50,Owned,,,,06 Nov 13,,06 Dec 13
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"888 / 2,884","620 / 1,500",32 / 70,Owned,,,,13 Nov 12,,06 Nov 13
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"553 / 2,474","370 / 1,000",27 / 49,Owned,,,,25 Sep 13,,04 Nov 13
Happy Wars (Xbox 360),https://www.trueachievements.com/game/Happy-Wars-Xbox-360/achievements,xbox-360,"1,049 / 1,661",420 / 500,22 / 28,Owned,,,,04 Apr 13,,21 Sep 13
Tom Clancy's Rainbow Six Vegas,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Vegas/achievements,xbox-360,"1,716 / 2,677","690 / 1,000",27 / 36,Owned,,,,20 Apr 07,,18 Sep 13
Doritos Crash Course 2,https://www.trueachievements.com/game/Doritos-Crash-Course-2/achievements,xbox-360,"123 / 1,090",100 / 400,8 / 28,Owned,,,,06 Sep 13,,07 Sep 13
Magic: The Gathering - Duels of the Planeswalkers 2013,https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2013/achievements,xbox-360,184 / 362,120 / 200,13 / 20,Owned,,,,01 Sep 13,,07 Sep 13
Castlevania: Harmony of Despair,https://www.trueachievements.com/game/Castlevania-Harmony-of-Despair/achievements,xbox-360,311 / 354,180 / 200,11 / 12,Owned,,,,16 Feb 11,,27 Aug 13
Dead Rising 2 (Xbox 360),https://www.trueachievements.com/game/Dead-Rising-2/achievements,xbox-360,"599 / 2,830","340 / 1,000",17 / 50,Owned,,,,12 Mar 12,,23 Aug 13
