game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"138 / 1,595",115 / 830,6 / 44,Owned,Playing now,,3 hrs 13 mins,09 Jan 23,,13 May 23
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"10 / 2,870","10 / 1,110",1 / 56,Owned,Playing now,,40 mins,16 Jan 23,,16 Jan 23
Microsoft Minesweeper (Windows),https://www.trueachievements.com/game/Microsoft-Minesweeper-Win-10/achievements,windows,"110 / 2,590","90 / 1,000",3 / 20,Owned,Playing now,,21 mins,18 Dec 22,,22 Dec 22
Shuffle Party (Windows),https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,windows,122 / 390,90 / 200,6 / 10,Owned,Playing now,,,20 Dec 22,,21 Dec 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"999 / 3,695","610 / 1,475",40 / 80,Owned,,,191 hrs 55 mins,30 Dec 21,,27 Nov 22
DEEEER Simulator: Your Average Everyday Deer Game,https://www.trueachievements.com/game/DEEEER-Simulator-Your-Average-Everyday-Deer-Game/achievements,xbox-one,"30 / 1,585","30 / 1,000",1 / 17,Owned,Playing now,,16 mins,16 Sep 22,,16 Sep 22
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"72 / 1,933","65 / 1,000",7 / 50,Owned,Playing now,,,17 Jun 22,,19 Jun 22
Halo 3: ODST,https://www.trueachievements.com/game/Halo-3-ODST/achievements,xbox-360,"25 / 1,594","25 / 1,000",4 / 47,Owned,Playing now,,,12 Jun 22,,17 Jun 22
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"10 / 2,102","10 / 1,000",1 / 48,Owned,Playing now,,,13 Jun 22,,16 Jun 22
Call of Duty: Modern Warfare 2 (2009),https://www.trueachievements.com/game/Modern-Warfare-2-2009/achievements,xbox-360,"295 / 1,532","250 / 1,000",19 / 50,Owned,Playing now,,,06 Oct 21,,13 Jun 22
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"267 / 1,494","240 / 1,000",14 / 37,Owned,Playing now,,,11 Oct 21,,13 Jun 22
Forza Motorsport 4,https://www.trueachievements.com/game/Forza-Motorsport-4/achievements,xbox-360,"69 / 2,695","65 / 1,000",5 / 48,Owned,Playing now,,,10 Jun 22,,13 Jun 22
Planet 51: The Game,https://www.trueachievements.com/game/Planet-51/achievements,xbox-360,"10 / 1,991","10 / 1,000",1 / 37,Owned,Playing now,,,12 Jun 22,,12 Jun 22
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"5 / 3,208","5 / 1,000",1 / 50,Owned,Playing now,,,06 Feb 22,,11 Jun 22
Hexic HD,https://www.trueachievements.com/game/Hexic/achievements,xbox-360,27 / 810,25 / 200,3 / 12,Owned,Playing now,,,10 Oct 21,,09 Jun 22
Forza Horizon,https://www.trueachievements.com/game/Forza-Horizon/achievements,xbox-360,"192 / 1,689","175 / 1,000",13 / 50,Owned,Playing now,,,22 Jan 22,,09 Jun 22
Resident Evil,https://www.trueachievements.com/game/Resident-Evil/achievements,xbox-one,"11 / 3,294","10 / 1,000",1 / 44,Owned,,,17 mins,16 Feb 22,,16 Feb 22
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"25 / 2,156","25 / 1,000",1 / 33,Owned,,,1 hr 36 mins,05 Feb 22,,05 Feb 22
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"928 / 4,882","585 / 1,845",32 / 81,Owned,,,31 hrs 5 mins,04 Nov 21,,05 Feb 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"633 / 4,490","450 / 2,130",26 / 94,Owned,,,19 hrs 33 mins,01 Oct 21,,05 Feb 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"756 / 3,695","400 / 1,360",27 / 71,Owned,,,56 hrs 59 mins,30 Sep 21,,03 Feb 22
DOOM 64,https://www.trueachievements.com/game/DOOM-64/achievements,xbox-one,"52 / 1,468","50 / 1,000",1 / 10,Owned,,,24 mins,03 Feb 22,,03 Feb 22
Microsoft Wordament (Mobile),https://www.trueachievements.com/game/Microsoft-Wordament/achievements,ios,"286 / 2,022","255 / 1,000",9 / 25,Owned,,,4 hrs 45 mins,06 Nov 21,,14 Nov 21
Left 4 Dead,https://www.trueachievements.com/game/Left-4-Dead/achievements,xbox-360,"51 / 1,838","40 / 1,000",2 / 50,Owned,,,,14 Oct 21,,14 Oct 21
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"74 / 2,927","60 / 1,000",3 / 27,Owned,,,1 hr 25 mins,03 Oct 21,,03 Oct 21
NBA 2K19,https://www.trueachievements.com/game/NBA-2K19/achievements,xbox-one,"34 / 6,801","30 / 1,000",2 / 50,Owned,,,4 hrs 27 mins,01 Oct 21,,01 Oct 21
