game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
It Takes Two,https://www.trueachievements.com/game/It-Takes-Two/achievements,xbox-one,"810 / 1,786","550 / 1,000",11 / 20,Owned,Playing now,,19 hrs 11 mins,05 Dec 21,,19 Dec 21
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"795 / 1,595","525 / 1,000",30 / 50,Owned,Playing now,,70 hrs 18 mins,03 Dec 17,,01 Dec 21
KINGDOM HEARTS III,https://www.trueachievements.com/game/Kingdom-Hearts-3/achievements,xbox-one,"2,991 / 2,991","1,000 / 1,000",45 / 45,Owned,Playing now,,89 hrs 39 mins,03 Feb 19,18 Nov 21,18 Nov 21
Biomutant,https://www.trueachievements.com/game/Biomutant/achievements,xbox-one,"2,588 / 2,588","1,000 / 1,000",46 / 46,Owned,Playing now,,66 hrs 20 mins,02 Jun 21,04 Oct 21,04 Oct 21
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"237 / 1,736","150 / 1,000",2 / 14,Owned,Playing now,,5 hrs 0 mins,31 May 21,,01 Jun 21
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"594 / 2,065","450 / 1,000",28 / 45,Owned,Playing now,,56 hrs 30 mins,13 Sep 19,,01 Dec 19
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"86 / 4,977","65 / 1,000",7 / 68,Owned,Playing now,,10 hrs 0 mins,08 Sep 19,,10 Sep 19
Sniper Elite 4,https://www.trueachievements.com/game/Sniper-Elite-4/achievements,xbox-one,"150 / 3,826","105 / 1,000",8 / 50,Owned,Playing now,,8 hrs 45 mins,22 Aug 19,,31 Aug 19
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"50 / 1,747","40 / 1,000",3 / 50,Owned,Playing now,,5 hrs 31 mins,13 Apr 19,,13 Apr 19
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"2,674 / 17,455","1,180 / 3,500",79 / 149,Owned,Playing now,,108 hrs 38 mins,01 Aug 17,,10 Mar 19
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"755 / 3,807","280 / 1,000",11 / 35,Owned,Playing now,,14 hrs 34 mins,26 Jan 18,,10 Feb 18
Tales from the Borderlands,https://www.trueachievements.com/game/Tales-from-the-Borderlands/achievements,xbox-one,51 / 219,50 / 200,2 / 7,Owned,Playing now,,1 hr 6 mins,30 Nov 17,,30 Nov 17
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"1,311 / 3,395","795 / 1,250",35 / 56,Owned,Playing now,,14 hrs 7 mins,01 Aug 17,,11 Aug 17
Saints Row: The Third,https://www.trueachievements.com/game/Saints-Row-The-Third/achievements,xbox-360,"2,216 / 2,216","1,300 / 1,300",80 / 80,Owned,,,,07 May 12,29 Aug 12,08 Apr 14
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"1,609 / 1,609","1,000 / 1,000",49 / 49,Owned,,,,15 Oct 10,07 May 12,08 Apr 14
