game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"365 / 7,174","210 / 1,370",24 / 113,Owned,,,53 hrs 24 mins,06 Sep 19,,28 May 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"112 / 2,102","100 / 1,000",5 / 59,Owned,,,11 hrs 34 mins,23 Oct 22,,22 May 23
FIFA 23 (Xbox One),https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,xbox-one,"128 / 3,425","60 / 1,000",3 / 39,Owned,,,124 hrs 5 mins,05 Dec 22,,21 May 23
Trackmania,https://www.trueachievements.com/game/Trackmania/achievements,xbox-one,"70 / 27,677","65 / 1,480",5 / 33,Owned,Playing now,,19 mins,21 May 23,,21 May 23
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"176 / 1,946","155 / 1,000",7 / 29,Owned,Playing now,,20 mins,14 May 23,,15 May 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"46 / 2,586","40 / 1,000",1 / 25,Owned,Playing now,,47 mins,01 May 23,,01 May 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"415 / 3,085","310 / 1,130",24 / 61,Owned,,,78 hrs 8 mins,09 Nov 21,,31 Mar 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"2,262 / 2,661","900 / 1,000",33 / 34,Owned,,,89 hrs 11 mins,21 Jun 22,,20 Mar 23
Cities: Skylines - Remastered,https://www.trueachievements.com/game/Cities-Skylines-Remastered/achievements,xbox-series-x-s,"24 / 6,046","20 / 1,085",2 / 46,Owned,Playing now,,19 mins,10 Mar 23,,10 Mar 23
Guts 'N Goals,https://www.trueachievements.com/game/Guts-N-Goals/achievements,xbox-one,"635 / 2,519","460 / 1,000",7 / 16,Owned,Playing now,,12 mins,01 Mar 23,,01 Mar 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"344 / 4,489","170 / 1,000",12 / 44,Owned,Playing now,,3 hrs 56 mins,12 Feb 23,,27 Feb 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"18 / 7,515","15 / 1,075",3 / 110,Owned,Playing now,,52 mins,06 Feb 23,,06 Feb 23
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"244 / 2,025","195 / 1,010",12 / 51,Owned,,,4 hrs 9 mins,07 Jul 22,,27 Jan 23
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"118 / 6,112","110 / 1,000",10 / 45,Owned,,,1523 hrs 45 mins,28 Feb 19,,13 Jan 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"1,097 / 3,990","640 / 1,180",19 / 33,Owned,Playing now,,28 hrs 34 mins,21 Dec 21,,16 Dec 22
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"40 / 3,255","35 / 1,000",3 / 45,Owned,,,1 hr 20 mins,07 Dec 22,,07 Dec 22
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"119 / 3,271","90 / 1,000",6 / 50,Owned,,,3 hrs 32 mins,22 Oct 22,,23 Oct 22
F1 2021,https://www.trueachievements.com/game/F1-2021/achievements,xbox-one,"326 / 3,022","160 / 1,000",10 / 50,Owned,,,19 hrs 12 mins,11 Jan 22,,03 Oct 22
Starlit Kart Racing,https://www.trueachievements.com/game/Starlit-Kart-Racing/achievements,xbox-one,"11 / 5,092","10 / 1,000",1 / 41,Owned,,,4 mins,02 Oct 22,,02 Oct 22
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"426 / 3,394","240 / 1,000",9 / 37,Owned,,,143 hrs 47 mins,10 Dec 21,,11 Aug 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"15 / 5,210","15 / 1,000",1 / 28,Owned,,,43 mins,28 Jul 22,,28 Jul 22
