game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Rumbleverse,https://www.trueachievements.com/game/Rumbleverse/achievements,xbox-one,"51 / 2,706","50 / 1,000",1 / 12,Owned,Playing now,,23 mins,03 Oct 22,,03 Oct 22
Cult of the Lamb,https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,xbox-one,"747 / 2,030","550 / 1,000",24 / 37,Owned,Playing now,,83 hrs 22 mins,04 Sep 22,,17 Sep 22
DOOM Eternal (Windows),https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,windows,"77 / 3,463","73 / 1,000",3 / 33,Owned,Playing now,,14 hrs 54 mins,06 Jun 22,,06 Jun 22
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"20 / 3,192","20 / 1,550",2 / 75,Owned,Playing now,,12 hrs 2 mins,21 Feb 22,,21 Feb 22
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"5 / 3,280","5 / 1,000",1 / 36,Owned,Playing now,,8 mins,02 Nov 21,,02 Nov 21
Bloons TD 6 (Windows),https://www.trueachievements.com/game/Bloons-TD-6/achievements,windows,"224 / 2,276","170 / 1,000",22 / 100,Owned,Playing now,,122 hrs 52 mins,15 May 21,,13 Oct 21
Prison Architect (Windows),https://www.trueachievements.com/game/Prison-Architect-Windows/achievements,windows,"73 / 2,446","60 / 1,000",1 / 16,Owned,Playing now,,28 hrs 48 mins,03 Oct 21,,03 Oct 21
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"1,942 / 2,658","1,160 / 1,450",59 / 75,Owned,,,1642 hrs 28 mins,07 Oct 18,,21 Aug 21
Undertale,https://www.trueachievements.com/game/Undertale/achievements,xbox-one,"127 / 2,290","100 / 1,000",4 / 21,Owned,Playing now,,12 hrs 39 mins,08 Jul 21,,08 Jul 21
DOOM Eternal,https://www.trueachievements.com/game/Doom-Eternal/achievements,xbox-one,"790 / 2,280","555 / 1,000",16 / 33,Owned,Playing now,,270 hrs 45 mins,08 May 21,,13 May 21
Deliver Us The Moon,https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,xbox-one,"665 / 2,289","390 / 1,000",15 / 32,Owned,Playing now,,9 hrs 3 mins,14 Apr 21,,15 Apr 21
ARK: Survival Evolved,https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,xbox-one,"689 / 3,457","415 / 1,500",11 / 33,Owned,,,825 hrs 45 mins,28 Dec 18,,12 Mar 21
The Binding of Isaac: Rebirth,https://www.trueachievements.com/game/The-Binding-of-Isaac-Rebirth/achievements,xbox-one,"1,374 / 2,778","850 / 1,340",51 / 72,Owned,,,632 hrs 9 mins,29 May 18,,09 Feb 21
Paladins: Champions of the Realm,https://www.trueachievements.com/game/Paladins-Champions-of-the-Realm/achievements,xbox-one,"2,027 / 3,615","1,100 / 1,205",29 / 35,Owned,,,596 hrs 26 mins,18 Sep 17,,04 Feb 21
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"1,256 / 3,223","700 / 1,240",32 / 55,Owned,,,19 hrs 54 mins,07 Oct 18,,05 Jan 21
Cities: Skylines,https://www.trueachievements.com/game/Cities-Skylines/achievements,xbox-one,"5 / 5,282","5 / 1,000",1 / 36,Owned,Playing now,,33 mins,26 Dec 20,,26 Dec 20
Brawlhalla,https://www.trueachievements.com/game/Brawlhalla/achievements,xbox-one,"1,158 / 6,567","405 / 1,250",22 / 49,Owned,,,105 hrs 40 mins,02 Feb 19,,18 Oct 20
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"1,288 / 1,910","700 / 1,000",15 / 17,Owned,,,135 hrs 10 mins,07 Nov 19,,08 Sep 20
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"773 / 1,671","575 / 1,030",30 / 53,Owned,,,219 hrs 56 mins,22 Mar 18,,06 Sep 20
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"163 / 2,992","128 / 1,000",6 / 27,Owned,Playing now,,24 hrs 40 mins,28 Apr 20,,03 May 20
"Guns, Gore & Cannoli",https://www.trueachievements.com/game/Guns-Gore-and-Cannoli/achievements,xbox-one,"25 / 1,567","25 / 1,000",1 / 21,Owned,Playing now,,21 hrs 21 mins,19 Apr 20,,19 Apr 20
The Sims 4,https://www.trueachievements.com/game/The-Sims-4/achievements,xbox-one,"131 / 2,667","65 / 1,000",5 / 50,Owned,,,37 hrs 18 mins,14 Sep 19,,24 Feb 20
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"2,247 / 5,025","1,205 / 2,325",57 / 101,Owned,,,797 hrs 25 mins,20 Feb 19,,16 Feb 20
Jurassic World Evolution,https://www.trueachievements.com/game/Jurassic-World-Evolution/achievements,xbox-one,"962 / 3,572","405 / 1,000",28 / 51,Owned,,,,17 Dec 19,,28 Jan 20
SUPERHOT,https://www.trueachievements.com/game/Superhot/achievements,xbox-one,"211 / 5,717","165 / 1,000",7 / 25,Owned,Playing now,,3 hrs 24 mins,21 Jan 20,,26 Jan 20
Ori and the Blind Forest: Definitive Edition,https://www.trueachievements.com/game/Ori-and-the-Blind-Forest-Definitive-Edition/achievements,xbox-one,"65 / 4,141","60 / 1,250",5 / 57,Owned,Playing now,,59 mins,16 Jan 20,,16 Jan 20
Batman: Arkham Asylum,https://www.trueachievements.com/game/Batman-Arkham-Asylum-Xbox-One/achievements,xbox-one,"144 / 2,275","125 / 1,000",11 / 47,Owned,,,4 hrs 58 mins,24 Dec 19,,25 Dec 19
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"20 / 1,892","20 / 1,000",2 / 69,Owned,,,44 mins,24 Dec 19,,24 Dec 19
My Friend Pedro,https://www.trueachievements.com/game/My-Friend-Pedro/achievements,xbox-one,"888 / 5,802","505 / 1,000",20 / 30,Owned,,,13 hrs 53 mins,05 Dec 19,,08 Dec 19
I Am Bread,https://www.trueachievements.com/game/I-Am-Bread/achievements,xbox-one,"58 / 11,521","45 / 1,000",3 / 35,Owned,,,1 hr 1 min,08 Nov 19,,08 Nov 19
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"80 / 2,000","60 / 1,000",3 / 30,Owned,,,3 hrs 51 mins,27 Oct 19,,07 Nov 19
Jump Force,https://www.trueachievements.com/game/Jump-Force/achievements,xbox-one,"36 / 5,976","30 / 1,000",2 / 50,Owned,,,,29 Oct 19,,01 Nov 19
The Outer Worlds,https://www.trueachievements.com/game/The-Outer-Worlds/achievements,xbox-one,"46 / 2,752","45 / 1,000",2 / 48,Owned,,,,26 Oct 19,,26 Oct 19
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"122 / 1,626","100 / 1,000",2 / 13,Owned,,,55 mins,24 Oct 19,,24 Oct 19
Just Cause 4,https://www.trueachievements.com/game/Just-Cause-4/achievements,xbox-one,"808 / 4,519","355 / 1,000",13 / 34,Owned,,,32 hrs 7 mins,18 Oct 19,,22 Oct 19
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"79 / 3,893","60 / 1,000",4 / 62,Owned,,,12 hrs 5 mins,10 Oct 19,,14 Oct 19
ShellShock Live,https://www.trueachievements.com/game/ShellShock-Live/achievements,xbox-one,"22 / 6,678","20 / 1,000",2 / 57,Owned,,,,10 Oct 19,,10 Oct 19
Tembo The Badass Elephant,https://www.trueachievements.com/game/Tembo-The-Badass-Elephant/achievements,xbox-one,"10 / 3,577","10 / 1,000",1 / 15,Owned,,,11 mins,06 Oct 19,,06 Oct 19
Dragon Ball Xenoverse 2,https://www.trueachievements.com/game/Dragon-Ball-Xenoverse-2/achievements,xbox-one,"30 / 2,107","30 / 1,000",2 / 50,Owned,,,5 hrs 20 mins,01 Sep 19,,01 Sep 19
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"505 / 1,616","390 / 1,000",23 / 50,Owned,,,106 hrs 47 mins,17 Dec 18,,18 Aug 19
Fallout Shelter,https://www.trueachievements.com/game/Fallout-Shelter/achievements,xbox-one,"443 / 2,490","290 / 1,000",14 / 35,Owned,,,29 hrs 3 mins,10 Mar 18,,03 Aug 19
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"89 / 2,376","80 / 1,000",6 / 50,Owned,,,,15 Jun 19,,15 Jun 19
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"195 / 2,687","140 / 1,000",11 / 31,Owned,,,35 hrs 1 min,24 Nov 18,,25 May 19
The Technomancer,https://www.trueachievements.com/game/The-Technomancer/achievements,xbox-one,"10 / 4,363","10 / 1,000",1 / 40,Owned,,,29 mins,08 Apr 19,,08 Apr 19
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"440 / 1,430","375 / 1,000",5 / 12,Owned,,,29 hrs 54 mins,08 Feb 19,,24 Mar 19
Adventure Time: Pirates of the Enchiridion,https://www.trueachievements.com/game/Adventure-Time-Pirates-of-the-Enchiridion/achievements,xbox-one,"10 / 2,360","10 / 1,000",1 / 36,Owned,,,12 mins,04 Mar 19,,04 Mar 19
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"186 / 6,594","145 / 1,000",13 / 60,Owned,,,,06 Oct 18,,19 Feb 19
State of Decay: Year-One,https://www.trueachievements.com/game/State-of-Decay-Year-One-Survival-Edition/achievements,xbox-one,"43 / 2,380","40 / 1,000",3 / 40,Owned,,,51 mins,16 Feb 19,,16 Feb 19
Shantae: Half-Genie Hero,https://www.trueachievements.com/game/Shantae-Half-Genie-Hero/achievements,xbox-one,"15 / 3,182","15 / 1,000",2 / 42,Owned,,,19 mins,14 Feb 19,,14 Feb 19
BattleBlock Theater,https://www.trueachievements.com/game/BattleBlock-Theater/achievements,xbox-360,"234 / 1,547",130 / 400,14 / 30,Owned,,,,25 Dec 18,,12 Feb 19
Just Cause 3,https://www.trueachievements.com/game/Just-Cause-3/achievements,xbox-one,"391 / 2,926","280 / 1,000",17 / 47,Owned,,,28 hrs 35 mins,03 Feb 19,,11 Feb 19
The Maw,https://www.trueachievements.com/game/The-Maw/achievements,xbox-360,10 / 322,10 / 200,1 / 12,Owned,,,,05 Feb 19,,05 Feb 19
Splosion Man,https://www.trueachievements.com/game/Splosion-Man/achievements,xbox-360,10 / 676,10 / 200,1 / 12,Owned,,,,30 Jan 19,,03 Feb 19
Ms. Splosion Man,https://www.trueachievements.com/game/Ms-Splosion-Man/achievements,xbox-360,5 / 931,5 / 200,1 / 12,Owned,,,,28 Jan 19,,28 Jan 19
Aven Colony,https://www.trueachievements.com/game/Aven-Colony/achievements,xbox-one,"456 / 2,232","285 / 1,000",18 / 48,Owned,,,11 hrs 28 mins,26 Jan 19,,28 Jan 19
Realm Royale Reforged,https://www.trueachievements.com/game/Realm-Royale/achievements,xbox-one,"81 / 2,551","70 / 1,000",3 / 20,Owned,,,2 hrs 37 mins,26 Jan 19,,26 Jan 19
Payday 2: Crimewave Edition,https://www.trueachievements.com/game/Payday-2-Crimewave-Edition/achievements,xbox-one,"15 / 6,736","15 / 1,000",1 / 42,Owned,,,3 hrs 18 mins,23 Dec 18,,23 Dec 18
Injustice: Gods Among Us,https://www.trueachievements.com/game/Injustice-Gods-Among-Us/achievements,xbox-360,"233 / 6,556","170 / 1,000",9 / 50,Owned,,,,27 Oct 18,,23 Dec 18
