game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Supraland: Six Inches Under,https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,xbox-one,"56 / 15,324","50 / 1,000",6 / 53,Owned,Playing now,,1 hr 15 mins,23 May 23,,23 May 23
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"47 / 1,529","45 / 1,000",3 / 42,Owned,Playing now,,11 hrs 43 mins,11 Jan 23,,16 May 23
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"555 / 2,020","415 / 1,000",20 / 39,Owned,,,26 hrs 12 mins,02 Aug 21,,10 May 23
Brawlhalla,https://www.trueachievements.com/game/Brawlhalla/achievements,xbox-one,"4,929 / 9,067","1,160 / 1,450",45 / 57,Owned,Playing now,,343 hrs 7 mins,07 Apr 19,,05 May 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"328 / 4,974","170 / 1,000",8 / 30,Owned,Playing now,,6 hrs 49 mins,19 Apr 23,,25 Apr 23
Super Animal Royale,https://www.trueachievements.com/game/Super-Animal-Royale/achievements,xbox-one,"377 / 3,128","195 / 1,000",3 / 13,Owned,,,5 hrs 59 mins,19 Feb 22,,23 Apr 23
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"597 / 3,707","340 / 1,000",13 / 34,Owned,Playing now,,32 hrs 32 mins,26 Mar 23,,18 Apr 23
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"900 / 3,316","490 / 1,240",22 / 55,Owned,,,5 hrs 57 mins,28 Jul 20,,18 Apr 23
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"506 / 3,358","325 / 1,000",12 / 34,Owned,Playing now,,31 hrs 1 min,21 Mar 23,,10 Apr 23
Guilty Gear -Strive-,https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,xbox-one,"185 / 4,416","115 / 1,000",5 / 38,Owned,Playing now,,2 hrs 11 mins,08 Apr 23,,08 Apr 23
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"409 / 2,635","220 / 1,000",16 / 54,Owned,,,25 hrs 34 mins,20 Aug 18,,06 Apr 23
Terraria,https://www.trueachievements.com/game/Terraria/achievements,xbox-one,"616 / 4,172","320 / 1,200",11 / 36,Owned,,,31 hrs 30 mins,26 Jun 19,,13 Mar 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,429 / 2,851","740 / 1,240",42 / 75,Owned,Playing now,,269 hrs 37 mins,26 Dec 21,,07 Mar 23
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"131 / 2,135","100 / 1,000",6 / 43,Owned,Playing now,,9 hrs 14 mins,25 Feb 23,,05 Mar 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 6,040","15 / 1,000",1 / 42,Owned,Playing now,,3 hrs 19 mins,05 Mar 23,,05 Mar 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"40 / 2,036","35 / 1,000",4 / 62,Owned,Playing now,,44 mins,26 Feb 23,,26 Feb 23
Totally Reliable Delivery Service,https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,xbox-one,"339 / 4,187","210 / 1,000",8 / 25,Owned,Playing now,,3 hrs 2 mins,11 Feb 23,,20 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"260 / 4,595","145 / 1,045",10 / 47,Owned,Playing now,,1 hr 59 mins,12 Feb 23,,18 Feb 23
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"668 / 1,797","550 / 1,000",8 / 11,Owned,,,296 hrs 14 mins,23 Jul 17,,28 Jan 23
