game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"646 / 3,769","460 / 1,600",46 / 119,Owned,,,40 hrs 9 mins,06 Dec 21,,09 Mar 23
Destroy All Humans!,https://www.trueachievements.com/game/Destroy-All-Humans/achievements,xbox-one,"184 / 2,435","150 / 1,000",10 / 40,Owned,,,4 hrs 57 mins,23 Jul 22,,08 Jan 23
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"27 / 3,255","25 / 1,000",2 / 45,Owned,Playing now,,19 mins,30 Dec 22,,30 Dec 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"228 / 2,514","190 / 1,000",14 / 53,Owned,,,20 hrs 3 mins,11 Nov 21,,10 Oct 22
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"81 / 3,587","65 / 1,000",4 / 41,Owned,,,28 mins,07 Oct 22,,07 Oct 22
Prodeus,https://www.trueachievements.com/game/Prodeus/achievements,xbox-one,"77 / 3,665","60 / 1,000",3 / 30,Owned,,,1 hr 13 mins,28 Sep 22,,28 Sep 22
Road 96,https://www.trueachievements.com/game/Road-96/achievements,xbox-one,"174 / 1,530","170 / 1,000",2 / 12,Owned,,,2 hrs 37 mins,05 Sep 22,,05 Sep 22
Age of Empires IV (Windows),https://www.trueachievements.com/game/Age-of-Empires-IV/achievements,windows,"52 / 6,289","30 / 1,000",6 / 89,Owned,,,5 hrs 57 mins,15 Aug 22,,17 Aug 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"55 / 2,799","50 / 1,000",2 / 30,Owned,,,43 mins,17 Jun 22,,17 Jun 22
Jurassic World Evolution 2,https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,xbox-one,"20 / 6,531","20 / 1,000",2 / 44,Owned,,,1 hr 37 mins,06 Jun 22,,06 Jun 22
Trek to Yomi,https://www.trueachievements.com/game/Trek-to-Yomi/achievements,xbox-one,"20 / 5,739","20 / 1,000",2 / 28,Owned,,,39 mins,07 May 22,,07 May 22
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"720 / 2,977","310 / 1,000",20 / 36,Owned,,,14 hrs 41 mins,02 Apr 22,,06 May 22
Taiko no Tatsujin: The Drum Master!,https://www.trueachievements.com/game/Taiko-no-Tatsujin-The-Drum-Master/achievements,xbox-one,"167 / 5,311","120 / 1,000",22 / 89,Owned,,,,05 Apr 22,,07 Apr 22
Fallout: New Vegas,https://www.trueachievements.com/game/Fallout-New-Vegas/achievements,xbox-360,"10 / 1,995","10 / 1,000",1 / 50,Owned,,,,03 Apr 22,,03 Apr 22
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"990 / 2,967","565 / 1,200",38 / 72,Owned,,,24 hrs 20 mins,14 Mar 22,,01 Apr 22
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"46 / 2,725","45 / 1,000",3 / 50,Owned,,,1 hr 1 min,12 Mar 22,,12 Mar 22
Nobody Saves the World,https://www.trueachievements.com/game/Nobody-Saves-the-World/achievements,xbox-one,"25 / 2,406","25 / 1,000",2 / 33,Owned,,,1 hr 3 mins,25 Jan 22,,25 Jan 22
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"62 / 1,913","60 / 1,000",3 / 32,Owned,,,2 hrs 7 mins,14 Jan 22,,14 Jan 22
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"48 / 2,873","45 / 1,000",2 / 26,Owned,,,1 hr 47 mins,01 Jan 22,,01 Jan 22
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"10 / 2,554","10 / 1,000",1 / 51,Owned,,,,01 Jan 22,,01 Jan 22
Record of Lodoss War -Deedlit in Wonder Labyrinth-,https://www.trueachievements.com/game/Record-of-Lodoss-War-Deedlit-in-Wonder-Labyrinth/achievements,xbox-one,"10 / 3,079","10 / 1,000",1 / 25,Owned,,,51 mins,16 Dec 21,,16 Dec 21
The Riftbreaker (Windows),https://www.trueachievements.com/game/The-Riftbreaker-Windows/achievements,windows,"15 / 2,541","15 / 1,000",1 / 30,Owned,,,1 hr 47 mins,14 Dec 21,,14 Dec 21
"Warhammer 40,000: Battlesector (Windows)",https://www.trueachievements.com/game/Warhammer-40000-Battlesector-Windows/achievements,windows,"42 / 2,581","40 / 1,000",2 / 30,Owned,,,6 mins,03 Dec 21,,03 Dec 21
Sable,https://www.trueachievements.com/game/Sable/achievements,xbox-one,"1,568 / 1,823","880 / 1,000",48 / 53,Owned,,,28 hrs 32 mins,20 Oct 21,,29 Nov 21
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"20 / 1,484","20 / 1,000",2 / 25,Owned,,,2 hrs 39 mins,11 Nov 21,,26 Nov 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"104 / 4,355","45 / 1,000",1 / 34,Owned,,,1 hr 44 mins,17 Nov 21,,17 Nov 21
Tetris Effect: Connected,https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,xbox-one,"68 / 6,777","60 / 1,000",4 / 42,Owned,,,1 hr 19 mins,01 Nov 21,,01 Nov 21
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"107 / 3,807","80 / 1,000",4 / 35,Owned,,,2 hrs 14 mins,27 Oct 21,,29 Oct 21
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"10 / 2,376","10 / 1,000",1 / 50,Owned,,,35 mins,13 Oct 21,,13 Oct 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"56 / 2,907","40 / 1,200",2 / 62,Owned,,,3 hrs 14 mins,11 Oct 21,,11 Oct 21
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"602 / 17,784","390 / 5,000",49 / 500,Owned,,,24 hrs 43 mins,14 Aug 20,,17 Nov 20
