game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,910 / 3,587","900 / 1,375",53 / 84,Owned,Playing now,,377 hrs 14 mins,10 Sep 16,,28 May 23
Supraland: Six Inches Under,https://www.trueachievements.com/game/Supraland-Six-Inches-Under/achievements,xbox-one,"752 / 14,875","325 / 1,000",28 / 53,Owned,Playing now,,10 hrs 5 mins,21 May 23,,26 May 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"102 / 4,189","77 / 1,000",7 / 66,Owned,Playing now,,2 hrs 8 mins,05 May 23,,09 May 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"23 / 4,944","20 / 1,000",2 / 30,Owned,Playing now,,37 mins,22 Apr 23,,22 Apr 23
Football Manager 2023 Console,https://www.trueachievements.com/game/Football-Manager-2023/achievements,xbox-one,"23 / 2,414","20 / 1,000",2 / 41,Owned,Playing now,,1 hr 43 mins,09 Apr 23,,09 Apr 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"46 / 2,586","40 / 1,000",1 / 25,Owned,Playing now,,2 hrs 22 mins,31 Mar 23,,31 Mar 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"213 / 11,153","130 / 1,565",13 / 86,Owned,,,7 hrs 27 mins,13 Apr 18,,25 Mar 23
Two Point Campus,https://www.trueachievements.com/game/Two-Point-Campus/achievements,xbox-one,"958 / 3,200","430 / 1,000",18 / 35,Owned,,,28 hrs 14 mins,09 Aug 22,,24 Mar 23
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"108 / 2,635","70 / 1,000",5 / 54,Owned,Playing now,,6 hrs 25 mins,15 Mar 23,,23 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"788 / 1,998","515 / 1,000",26 / 45,Owned,Playing now,,55 hrs 0 mins,07 Feb 23,,05 Mar 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"68 / 7,515","35 / 1,075",6 / 110,Owned,Playing now,,10 hrs 1 min,02 Feb 23,,05 Feb 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"172 / 3,698","145 / 1,750",11 / 79,Owned,,,30 hrs 0 mins,20 May 19,,25 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"649 / 2,441","455 / 1,000",19 / 32,Owned,,,10 hrs 43 mins,13 Dec 22,,24 Jan 23
Tom Clancy's The Division 2,https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,xbox-one,"264 / 2,279","205 / 1,010",13 / 43,Owned,,,22 hrs 46 mins,15 Mar 19,,21 Jan 23
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"21 / 2,302","20 / 1,000",1 / 47,Owned,Playing now,,27 mins,21 Jan 23,,21 Jan 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"382 / 3,836","260 / 1,000",19 / 51,Owned,,,127 hrs 4 mins,31 Dec 18,,06 Jan 23
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"69 / 5,942","60 / 1,000",3 / 35,Owned,Playing now,,35 mins,03 Jan 23,,03 Jan 23
The Quarry,https://www.trueachievements.com/game/The-Quarry/achievements,xbox-series-x-s,"406 / 3,353","300 / 1,000",19 / 40,Owned,Playing now,,8 hrs 57 mins,19 Jul 22,,30 Dec 22
Cricket 22,https://www.trueachievements.com/game/Cricket-22/achievements,xbox-one,"1,121 / 3,464","405 / 1,000",14 / 30,Owned,,,41 hrs 26 mins,03 Dec 21,,21 Dec 22
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"27 / 3,255","25 / 1,000",2 / 45,Owned,,,34 mins,06 Dec 22,,06 Dec 22
Need for Speed Unbound,https://www.trueachievements.com/game/Need-for-Speed-Unbound/achievements,xbox-series-x-s,"22 / 3,743","20 / 1,000",2 / 41,Owned,,,34 mins,02 Dec 22,,02 Dec 22
Insurgency: Sandstorm,https://www.trueachievements.com/game/Insurgency-Sandstorm/achievements,xbox-one,"81 / 3,071","60 / 1,000",3 / 30,Owned,,,30 mins,29 Nov 22,,29 Nov 22
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"124 / 3,356","100 / 1,000",4 / 34,Owned,,,6 hrs 34 mins,17 Nov 21,,29 Nov 22
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"1,430 / 1,430","1,000 / 1,000",12 / 12,Owned,,,356 hrs 27 mins,12 Feb 19,15 Aug 19,26 Oct 22
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"53 / 2,453","30 / 1,000",1 / 24,Owned,,,143 hrs 51 mins,22 Oct 22,,22 Oct 22
FIFA 23,https://www.trueachievements.com/game/FIFA-23/achievements,xbox-series-x-s,"516 / 3,215","285 / 1,000",11 / 39,Owned,,,67 hrs 57 mins,26 Sep 22,,17 Oct 22
Medieval Dynasty,https://www.trueachievements.com/game/Medieval-Dynasty/achievements,xbox-series-x-s,"40 / 4,973","35 / 1,000",3 / 44,Owned,,,1 hr 2 mins,07 Oct 22,,07 Oct 22
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"3,434 / 5,891","1,575 / 2,400",24 / 37,Owned,,,89 hrs 42 mins,01 Jul 21,,07 Oct 22
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"207 / 2,193","135 / 1,000",9 / 53,Owned,,,10 hrs 57 mins,09 Oct 21,,04 Oct 22
PAW Patrol: Grand Prix,https://www.trueachievements.com/game/PAW-Patrol-Grand-Prix/achievements,xbox-one,"40 / 2,705","40 / 1,000",1 / 15,Owned,,,7 mins,02 Oct 22,,02 Oct 22
