game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"1,877 / 4,639","1,055 / 2,150",56 / 94,Owned,Playing now,,184 hrs 14 mins,26 Oct 18,,27 May 23
Stardew Valley,https://www.trueachievements.com/game/Stardew-Valley/achievements,xbox-one,"12 / 3,166","10 / 1,000",1 / 40,Owned,Playing now,,8 hrs 32 mins,20 Nov 22,,20 Nov 22
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"136 / 6,354","90 / 1,850",7 / 76,Owned,Playing now,,1 hr 45 mins,26 Jan 21,,28 Oct 22
Space Warlord Organ Trading Simulator,https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,xbox-one,"461 / 1,447","375 / 1,000",6 / 15,Owned,Playing now,,41 mins,11 Oct 22,,11 Oct 22
You Suck at Parking,https://www.trueachievements.com/game/You-Suck-at-Parking/achievements,xbox-one,"281 / 7,858","170 / 1,000",4 / 20,Owned,Playing now,,31 mins,11 Oct 22,,11 Oct 22
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"214 / 2,125","175 / 1,030",12 / 52,Owned,Playing now,,1 hr 4 mins,10 Oct 22,,10 Oct 22
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"35 / 3,192","30 / 1,550",3 / 75,Owned,Playing now,,2 hrs 14 mins,23 Oct 21,,26 Jun 22
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"20 / 1,484","20 / 1,000",2 / 25,Owned,Playing now,,9 mins,08 Nov 21,,08 Nov 21
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"365 / 5,046","260 / 1,750",18 / 79,Owned,Playing now,,16 hrs 42 mins,25 Nov 19,,29 Oct 21
Dante's Inferno,https://www.trueachievements.com/game/Dantes-Inferno/achievements,xbox-360,"15 / 1,719","15 / 1,000",2 / 42,Owned,Playing now,,,05 Oct 21,,05 Oct 21
