game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"1,414 / 6,354","605 / 1,850",29 / 76,Owned,Playing now,,18 hrs 17 mins,15 Oct 20,,22 May 23
Trackmania,https://www.trueachievements.com/game/Trackmania/achievements,xbox-one,"52 / 27,677","50 / 1,480",4 / 33,Owned,Playing now,,12 mins,21 May 23,,21 May 23
Pac-Man Championship Edition 2,https://www.trueachievements.com/game/PacMan-Championship-Edition-2/achievements,xbox-one,"278 / 5,129","180 / 1,000",6 / 18,Owned,Playing now,,,16 May 23,,17 May 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"751 / 2,661","440 / 1,000",22 / 34,Owned,Playing now,,15 hrs 22 mins,23 Jun 22,,16 May 23
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"336 / 3,280","255 / 1,000",11 / 36,Owned,Playing now,,3 hrs 21 mins,08 May 22,,26 Apr 23
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"382 / 1,529","315 / 1,000",17 / 42,Owned,Playing now,,86 hrs 18 mins,15 Jun 22,,12 Apr 23
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"59 / 1,802","55 / 1,000",4 / 48,Owned,Playing now,,,11 Apr 23,,12 Apr 23
Dark Souls,https://www.trueachievements.com/game/Dark-Souls/achievements,xbox-360,"68 / 2,510","60 / 1,000",4 / 41,Owned,Playing now,,,21 Feb 21,,11 Apr 23
Dungeon Defenders II,https://www.trueachievements.com/game/Dungeon-Defenders-II/achievements,xbox-one,"224 / 3,531","150 / 1,000",5 / 18,Owned,,,4 hrs 29 mins,07 Jul 19,,04 Apr 23
Middle-earth: Shadow of Mordor,https://www.trueachievements.com/game/Middle-earth-Shadow-of-Mordor/achievements,xbox-one,"64 / 1,531","60 / 1,000",4 / 51,Owned,Playing now,,,04 Apr 23,,04 Apr 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"1,957 / 5,524","1,130 / 2,530",57 / 108,Owned,,,380 hrs 18 mins,23 Mar 19,,06 Mar 23
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"1,207 / 3,939","655 / 1,705",36 / 78,Owned,Playing now,,87 hrs 24 mins,30 Apr 21,,05 Mar 23
Minecraft (iOS),https://www.trueachievements.com/game/Minecraft-Pocket-Edition-iOS/achievements,ios,"142 / 2,989","90 / 1,110",6 / 56,Owned,Playing now,,3 hrs 33 mins,03 Mar 23,,04 Mar 23
A World of Keflings,https://www.trueachievements.com/game/A-World-of-Keflings/achievements,xbox-360,5 / 332,5 / 200,1 / 12,Owned,,,,26 May 19,,02 Mar 23
Dauntless,https://www.trueachievements.com/game/Dauntless/achievements,xbox-one,"238 / 4,295","165 / 1,120",3 / 12,Owned,Playing now,,2 hrs 56 mins,02 Nov 20,,02 Mar 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,200 / 1,488","825 / 1,000",41 / 48,Owned,Playing now,,323 hrs 38 mins,04 Dec 21,,20 Feb 23
Vigor,https://www.trueachievements.com/game/Vigor/achievements,xbox-one,"55 / 4,091","50 / 1,000",3 / 30,Owned,Playing now,,25 mins,20 Feb 23,,20 Feb 23
Insurgency: Sandstorm,https://www.trueachievements.com/game/Insurgency-Sandstorm/achievements,xbox-one,"89 / 3,071","60 / 1,000",3 / 30,Owned,Playing now,,1 hr 9 mins,08 Jan 23,,19 Feb 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"2,648 / 3,934","1,665 / 2,200",60 / 77,Owned,,,46 hrs 30 mins,15 Apr 20,,07 Feb 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"66 / 2,102","55 / 1,000",3 / 59,Owned,Playing now,,3 hrs 34 mins,07 Feb 23,,07 Feb 23
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"372 / 1,747","290 / 1,000",20 / 50,Owned,,,9 hrs 40 mins,05 Apr 19,,06 Feb 23
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"33 / 1,993","30 / 1,000",4 / 50,Owned,Playing now,,,24 Sep 22,,04 Feb 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"1,057 / 3,990","640 / 1,180",19 / 33,Owned,Playing now,,14 hrs 23 mins,15 Dec 21,,08 Jan 23
Burnout Paradise Remastered,https://www.trueachievements.com/game/Burnout-Paradise-Remastered/achievements,xbox-one,"37 / 6,216","30 / 1,000",3 / 56,Owned,Playing now,,27 mins,02 Jan 23,,02 Jan 23
Taiko no Tatsujin: The Drum Master!,https://www.trueachievements.com/game/Taiko-no-Tatsujin-The-Drum-Master/achievements,xbox-one,"492 / 5,311","245 / 1,000",36 / 89,Owned,Playing now,,5 hrs 50 mins,28 Jun 22,,02 Nov 22
Hue,https://www.trueachievements.com/game/Hue/achievements,xbox-one,"391 / 1,571","350 / 1,000",6 / 13,Owned,Playing now,,44 mins,22 May 22,,31 Oct 22
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"169 / 6,112","150 / 1,000",13 / 45,Owned,Playing now,,541 hrs 53 mins,21 Dec 20,,13 Oct 22
art of rally,https://www.trueachievements.com/game/Art-of-Rally/achievements,xbox-one,"39 / 3,817","30 / 1,000",3 / 43,Owned,Playing now,,9 mins,03 Oct 22,,03 Oct 22
Payday 2: Crimewave Edition,https://www.trueachievements.com/game/Payday-2-Crimewave-Edition/achievements,xbox-one,"67 / 6,736","45 / 1,000",3 / 42,Owned,Playing now,,2 hrs 10 mins,24 Sep 22,,24 Sep 22
Visage,https://www.trueachievements.com/game/Visage/achievements,xbox-one,"70 / 3,696","50 / 1,000",4 / 27,Owned,Playing now,,1 hr 5 mins,27 Aug 22,,27 Aug 22
