game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Arcade Paradise,https://www.trueachievements.com/game/Arcade-Paradise/achievements,xbox-one,"10 / 4,266","10 / 1,000",1 / 54,Owned,Playing now,,15 mins,04 Jul 23,,04 Jul 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"60 / 4,194","55 / 1,180",4 / 66,Owned,Playing now,,47 mins,27 Jun 23,,27 Jun 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"111 / 5,862","80 / 1,000",9 / 61,Owned,Playing now,,2 hrs 50 mins,06 May 23,,31 May 23
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"83 / 1,916","80 / 1,000",4 / 29,Owned,Playing now,,4 mins,02 May 23,,02 May 23
Moving Out,https://www.trueachievements.com/game/Moving-Out/achievements,xbox-one,"40 / 3,923","25 / 1,000",1 / 26,Owned,Playing now,,4 hrs 25 mins,01 May 23,,01 May 23
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"160 / 2,964","100 / 1,000",9 / 36,Owned,Playing now,,2 hrs 17 mins,23 Mar 23,,10 Apr 23
It Takes Two,https://www.trueachievements.com/game/It-Takes-Two/achievements,xbox-one,"221 / 1,785","150 / 1,000",3 / 20,Owned,Playing now,,22 hrs 5 mins,01 Jan 23,,01 Apr 23
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"15 / 2,274","15 / 1,000",1 / 44,Owned,Playing now,,3 hrs 14 mins,11 Mar 23,,11 Mar 23
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"322 / 3,799","180 / 1,000",8 / 35,Owned,Playing now,,9 hrs 27 mins,06 Sep 18,,10 Mar 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"617 / 3,759","450 / 1,600",45 / 119,Owned,Playing now,,29 hrs 32 mins,09 Dec 21,,25 Feb 23
Dragon Ball Z: Kakarot,https://www.trueachievements.com/game/Dragon-Ball-Z-Kakarot/achievements,xbox-one,"62 / 1,594","60 / 1,000",4 / 42,Owned,Playing now,,1 hr 14 mins,04 Mar 22,,23 Nov 22
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"907 / 1,525","665 / 1,000",33 / 42,Owned,Playing now,,158 hrs 22 mins,28 Feb 22,,22 Nov 22
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"47 / 2,006","45 / 1,200",9 / 140,Owned,Playing now,,42 mins,15 Nov 22,,17 Nov 22
