game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
INSIDE,https://www.trueachievements.com/game/Inside/achievements,xbox-one,"161 / 1,429","140 / 1,000",2 / 14,Owned,Playing now,,5 hrs 12 mins,30 Jul 22,,01 Aug 22
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"589 / 3,642","355 / 1,000",21 / 55,Owned,Playing now,,17 hrs 26 mins,28 Oct 21,,01 Jan 22
Aliens: Fireteam Elite,https://www.trueachievements.com/game/Aliens-Fireteam-Elite/achievements,xbox-one,"56 / 5,006","45 / 1,000",3 / 42,Owned,Playing now,,5 hrs 32 mins,16 Dec 21,,21 Dec 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"30 / 2,514","30 / 1,000",3 / 53,Owned,Playing now,,2 hrs 17 mins,26 Nov 21,,26 Nov 21
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"5 / 1,370",5 / 600,1 / 50,Owned,Playing now,,12 mins,16 Nov 21,,16 Nov 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"10 / 4,355","10 / 1,000",1 / 34,Owned,Playing now,,28 mins,13 Nov 21,,13 Nov 21
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"184 / 1,751","145 / 1,000",11 / 50,Owned,Playing now,,24 hrs 10 mins,17 Sep 21,,03 Nov 21
DayZ,https://www.trueachievements.com/game/DayZ/achievements,xbox-one,"20 / 3,367","20 / 1,000",1 / 13,Owned,Playing now,,21 mins,27 Oct 21,,27 Oct 21
Battlefield 4,https://www.trueachievements.com/game/Battlefield-4/achievements,xbox-one,"1,370 / 3,246","790 / 1,360",34 / 57,Owned,,,170 hrs 2 mins,15 Jun 18,,27 Sep 21
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"473 / 3,242","360 / 1,175",27 / 59,Owned,,,,07 Apr 19,,24 Sep 21
Need for Speed Hot Pursuit Remastered,https://www.trueachievements.com/game/Need-for-Speed-Hot-Pursuit-Remastered/achievements,xbox-one,"574 / 4,423","215 / 1,000",27 / 66,Owned,Playing now,,23 hrs 27 mins,13 Jul 21,,15 Sep 21
Garou: Mark of the Wolves,https://www.trueachievements.com/game/Garou-Mark-of-the-Wolves/achievements,xbox-360,13 / 490,10 / 200,1 / 12,Owned,Playing now,,,15 Sep 21,,15 Sep 21
World War Z,https://www.trueachievements.com/game/World-War-Z/achievements,xbox-one,"533 / 4,341","310 / 1,000",11 / 35,Owned,Playing now,,9 hrs 7 mins,25 Aug 21,,29 Aug 21
RAGE 2,https://www.trueachievements.com/game/RAGE-2/achievements,xbox-one,"1,034 / 3,144","515 / 1,000",25 / 44,Owned,Playing now,,47 hrs 34 mins,24 Feb 20,,22 Jun 21
PUBG: Battlegrounds,https://www.trueachievements.com/game/PlayerUnknowns-Battlegrounds/achievements,xbox-one,"1,383 / 3,280","580 / 1,000",23 / 37,Owned,Playing now,,103 hrs 19 mins,03 Jan 20,,25 May 21
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"533 / 1,895","410 / 1,000",27 / 50,Owned,Playing now,,,11 May 21,,20 May 21
Battlefield 3,https://www.trueachievements.com/game/Battlefield-3/achievements,xbox-360,"428 / 2,210","255 / 1,000",11 / 38,Owned,Playing now,,,09 Mar 21,,11 Mar 21
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"63 / 2,572","60 / 1,000",4 / 37,Owned,Playing now,,1 hr 52 mins,16 Feb 21,,16 Feb 21
Battlefield: Bad Company 2,https://www.trueachievements.com/game/Battlefield-Bad-Company-2/achievements,xbox-360,"572 / 1,727","440 / 1,000",25 / 50,Owned,Playing now,,,30 Jan 21,,06 Feb 21
Army of TWO (EU),https://www.trueachievements.com/game/Army-of-Two-European/achievements,xbox-360,"233 / 2,244","180 / 1,000",7 / 37,Owned,Playing now,,,25 Jan 21,,26 Jan 21
Titanfall,https://www.trueachievements.com/game/Titanfall/achievements,xbox-one,"528 / 4,575","365 / 1,600",15 / 64,Owned,Playing now,,45 mins,21 Jun 20,,20 Jan 21
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"243 / 9,216","90 / 1,000",5 / 47,Owned,Playing now,,7 hrs 52 mins,16 Jan 21,,18 Jan 21
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"1,763 / 2,505","1,170 / 1,550",53 / 72,Owned,,,,18 Jan 20,,10 Jan 21
Need for Speed,https://www.trueachievements.com/game/Need-for-Speed/achievements,xbox-one,"5,050 / 10,351","1,835 / 2,200",40 / 45,Owned,Playing now,,61 hrs 40 mins,12 Jul 20,,07 Jan 21
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"979 / 1,837","625 / 1,000",35 / 50,Owned,Playing now,,87 hrs 2 mins,16 Oct 20,,20 Dec 20
Injustice: Gods Among Us,https://www.trueachievements.com/game/Injustice-Gods-Among-Us/achievements,xbox-360,"21 / 6,549","20 / 1,000",2 / 50,Owned,Playing now,,,05 Dec 20,,05 Dec 20
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"37 / 1,560","35 / 1,000",3 / 44,Owned,Playing now,,23 mins,26 Oct 20,,26 Oct 20
Homefront: The Revolution,https://www.trueachievements.com/game/Homefront-The-Revolution/achievements,xbox-one,"807 / 3,838","420 / 1,000",24 / 50,Owned,Playing now,,14 hrs 59 mins,08 Sep 20,,03 Oct 20
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"787 / 1,898","585 / 1,000",33 / 50,Owned,Playing now,,20 hrs 5 mins,30 Aug 20,,02 Sep 20
Gears POP!,https://www.trueachievements.com/game/Gears-POP/achievements,windows,"199 / 3,581","165 / 1,000",15 / 45,Owned,,,,22 Aug 19,,03 Aug 20
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"1,430 / 1,430","1,000 / 1,000",12 / 12,Owned,,,1222 hrs 8 mins,15 Feb 19,21 Apr 19,21 Jul 20
Crysis,https://www.trueachievements.com/game/Crysis/achievements,xbox-360,"1,077 / 1,615","720 / 1,000",29 / 40,Owned,Playing now,,,13 Jul 20,,15 Jul 20
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"918 / 1,802","655 / 1,000",38 / 48,Owned,Playing now,,,09 Jul 20,,11 Jul 20
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"174 / 2,687","120 / 1,000",9 / 31,Owned,Playing now,,,02 Jul 20,,07 Jul 20
Battlefield: Bad Company,https://www.trueachievements.com/game/Battlefield-Bad-Company/achievements,xbox-360,"445 / 2,488","320 / 1,000",18 / 50,Owned,Playing now,,,24 Jun 20,,27 Jun 20
NieR: Automata BECOME AS GODS Edition,https://www.trueachievements.com/game/NieR-Automata/achievements,xbox-one,"873 / 2,236","495 / 1,000",27 / 48,Owned,Playing now,,40 hrs 14 mins,14 Apr 20,,02 Jun 20
Borderlands: Game of the Year Edition,https://www.trueachievements.com/game/Borderlands-Game-of-the-Year-Edition/achievements,xbox-one,"843 / 3,247","645 / 1,750",34 / 80,Owned,Playing now,,,17 Apr 20,,22 Apr 20
Hellblade: Senua's Sacrifice,https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,xbox-one,"1,346 / 1,632","900 / 1,000",13 / 14,Owned,Playing now,,,09 Apr 20,,13 Apr 20
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"892 / 3,158","680 / 1,300",26 / 63,Owned,Playing now,,6 hrs 23 mins,06 Apr 20,,08 Apr 20
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"879 / 7,782","630 / 2,000",48 / 104,Owned,,,17 hrs 28 mins,29 Aug 18,,04 Apr 20
Ace Combat 7: Skies Unknown,https://www.trueachievements.com/game/ACE-COMBAT-7-Skies-Unknown/achievements,xbox-one,"442 / 7,403","210 / 1,000",21 / 49,Owned,Playing now,,11 hrs 49 mins,23 Mar 20,,30 Mar 20
A Plague Tale: Innocence,https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,xbox-one,"520 / 1,873","400 / 1,000",20 / 35,Owned,Playing now,,14 hrs 42 mins,05 Mar 20,,19 Mar 20
eFootball PES 2020,https://www.trueachievements.com/game/eFootball-PES-2020/achievements,xbox-one,"12 / 3,078","10 / 1,000",1 / 49,Owned,Playing now,,33 mins,27 Feb 20,,27 Feb 20
The Outer Worlds,https://www.trueachievements.com/game/The-Outer-Worlds/achievements,xbox-one,"46 / 2,752","45 / 1,000",2 / 48,Owned,Playing now,,,24 Feb 20,,24 Feb 20
Wolfenstein II: The New Colossus,https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,xbox-one,"440 / 4,025","290 / 1,000",20 / 50,Owned,Playing now,,,12 Feb 20,,24 Feb 20
Blair Witch,https://www.trueachievements.com/game/Blair-Witch/achievements,xbox-one,"403 / 4,147","235 / 1,000",10 / 25,Owned,Playing now,,,03 Feb 20,,04 Feb 20
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"768 / 3,395","570 / 1,250",27 / 56,Owned,Playing now,,7 hrs 15 mins,21 Jan 20,,31 Jan 20
Metro Exodus,https://www.trueachievements.com/game/Metro-Exodus/achievements,xbox-one,"802 / 2,469","490 / 1,000",25 / 49,Owned,Playing now,,25 hrs 25 mins,23 Jan 20,,30 Jan 20
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"266 / 4,977","190 / 1,000",19 / 68,Owned,Playing now,,,09 Jan 20,,18 Jan 20
Killer Instinct,https://www.trueachievements.com/game/Killer-Instinct/achievements,xbox-one,"26 / 5,770","15 / 1,150",2 / 108,Owned,,,32 mins,23 Jun 18,,08 Dec 19
The Surge,https://www.trueachievements.com/game/The-Surge/achievements,xbox-one,"48 / 3,358","45 / 1,000",3 / 47,Owned,,,28 mins,08 Nov 19,,08 Nov 19
Vigor,https://www.trueachievements.com/game/Vigor/achievements,xbox-one,"180 / 4,091","130 / 1,000",6 / 30,Owned,,,,10 Aug 19,,10 Aug 19
Apache: Air Assault,https://www.trueachievements.com/game/Apache-Air-Assault/achievements,xbox-360,"799 / 2,885","400 / 1,000",25 / 50,Owned,,,,18 Jan 20,,09 Jul 19
Need for Speed: Most Wanted (2005),https://www.trueachievements.com/game/NFS-Most-Wanted/achievements,xbox-360,"1,441 / 1,441","1,000 / 1,000",15 / 15,Owned,,,,18 Jan 20,18 Jan 20,09 Jul 19
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"572 / 1,786","415 / 1,000",23 / 50,Owned,,,,18 Jan 20,,11 Jun 19
Deus Ex: Human Revolution,https://www.trueachievements.com/game/Deus-Ex-Human-Revolution/achievements,xbox-360,"402 / 2,860","255 / 1,250",17 / 59,Owned,,,,18 Jan 20,,11 Jun 19
Heroes Over Europe,https://www.trueachievements.com/game/Heroes-Over-Europe/achievements,xbox-360,"561 / 3,585","295 / 1,000",14 / 42,Owned,,,,18 Jan 20,,11 Jun 19
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"783 / 1,425","630 / 1,000",27 / 50,Owned,,,,22 Nov 18,,10 Jun 19
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"10 / 2,554","10 / 1,000",1 / 51,Owned,,,1 hr 50 mins,12 May 19,,12 May 19
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,71 / 475,60 / 200,7 / 20,Owned,,,,02 Jul 18,,27 Apr 19
Homefront,https://www.trueachievements.com/game/Homefront/achievements,xbox-360,"151 / 4,020","120 / 1,000",12 / 47,Owned,,,,18 Jan 20,,30 Mar 19
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"624 / 1,891","400 / 1,000",20 / 50,Owned,,,,18 Jan 20,,18 Mar 19
BioShock Infinite,https://www.trueachievements.com/game/BioShock-Infinite/achievements,xbox-360,"523 / 2,136","405 / 1,000",29 / 50,Owned,,,,04 Aug 18,,17 Mar 19
World of Tanks,https://www.trueachievements.com/game/World-of-Tanks/achievements,xbox-one,"325 / 5,759","180 / 1,755",15 / 99,Owned,,,4 hrs 11 mins,03 Feb 19,,03 Feb 19
Celeste,https://www.trueachievements.com/game/Celeste/achievements,xbox-one,"72 / 2,336","65 / 1,000",3 / 30,Owned,,,2 hrs 29 mins,24 Jan 19,,31 Jan 19
Spacelords,https://www.trueachievements.com/game/Spacelords/achievements,xbox-one,"199 / 6,235","150 / 1,000",1 / 10,Owned,,,,24 Jan 19,,24 Jan 19
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"54 / 2,359","50 / 1,000",3 / 39,Owned,,,3 hrs 0 mins,16 Jan 19,,23 Jan 19
Call of Duty: Infinite Warfare,https://www.trueachievements.com/game/Call-of-Duty-Infinite-Warfare/achievements,xbox-one,"87 / 2,605","75 / 1,000",5 / 50,Owned,,,1 hr 42 mins,31 Dec 18,,31 Dec 18
Never Alone (Kisima Ingitchuna),https://www.trueachievements.com/game/Never-Alone-Kisima-Ingitchuna/achievements,xbox-one,"898 / 1,392","700 / 1,000",12 / 15,Owned,,,4 hrs 6 mins,30 Dec 18,,31 Dec 18
Warface,https://www.trueachievements.com/game/Warface/achievements,xbox-one,"145 / 7,547","80 / 1,000",5 / 37,Owned,,,,25 Dec 18,,26 Dec 18
Q.U.B.E. 2,https://www.trueachievements.com/game/QUBE-2/achievements,xbox-one,"25 / 1,644","25 / 1,000",1 / 15,Owned,,,18 mins,23 Dec 18,,23 Dec 18
Modern Combat 5: Blackout (Windows),https://www.trueachievements.com/game/Modern-Combat-5-Blackout-Windows-8/achievements,windows,"57 / 1,404",50 / 200,3 / 19,Owned,,,,08 Jul 18,,08 Jul 18
Overkill 3 (Windows),https://www.trueachievements.com/game/Overkill-3-Windows-8/achievements,windows,10 / 973,10 / 200,2 / 20,Owned,,,,02 Jul 18,,02 Jul 18
Call of Duty: Advanced Warfare,https://www.trueachievements.com/game/Call-of-Duty-Advanced-Warfare/achievements,xbox-one,"742 / 1,867","570 / 1,000",25 / 50,Owned,,,68 hrs 44 mins,30 Jun 18,,01 Jul 18
