game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
JoJo's Bizarre Adventure: All-Star Battle R,https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,xbox-one,"288 / 4,166","180 / 1,000",12 / 45,Owned,Playing now,,2 hrs 18 mins,06 Feb 23,,20 Feb 23
NHL 23,https://www.trueachievements.com/game/NHL-23/achievements,xbox-series-x-s,"75 / 4,399","30 / 1,000",2 / 48,Owned,Playing now,,34 mins,06 Feb 23,,06 Feb 23
SSX,https://www.trueachievements.com/game/SSX/achievements,xbox-360,"5 / 5,639","5 / 1,000",1 / 50,Owned,Playing now,,,06 Feb 23,,06 Feb 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"970 / 4,251","495 / 1,250",26 / 56,Owned,,,,21 Dec 15,,05 Feb 23
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"1,786 / 1,786","1,000 / 1,000",50 / 50,Owned,,,,20 Apr 16,27 May 18,21 Jan 23
Super Meat Boy,https://www.trueachievements.com/game/Super-Meat-Boy/achievements,xbox-360,15 / 662,15 / 200,1 / 12,Owned,Playing now,,,14 Jan 23,,16 Jan 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"679 / 2,839","510 / 1,700",26 / 65,Owned,,,4 hrs 38 mins,25 Nov 18,,25 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"108 / 2,441","100 / 1,000",5 / 32,Owned,Playing now,,1 hr 5 mins,24 Dec 22,,24 Dec 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"165 / 2,102","130 / 1,000",6 / 59,Owned,,,43 mins,20 Nov 22,,20 Nov 22
Amnesia: Rebirth,https://www.trueachievements.com/game/Amnesia-Rebirth/achievements,xbox-one,"45 / 3,941","40 / 1,000",2 / 41,Owned,,,1 hr 3 mins,08 Nov 22,,08 Nov 22
Mirror's Edge,https://www.trueachievements.com/game/Mirrors-Edge/achievements,xbox-360,"196 / 2,975","160 / 1,000",9 / 44,Owned,,,,16 Sep 16,,05 Sep 22
Dead by Daylight (Windows),https://www.trueachievements.com/game/Dead-by-Daylight-Windows/achievements,windows,"39 / 8,856","30 / 1,780",3 / 100,Owned,,,5 hrs 26 mins,27 Aug 22,,27 Aug 22
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"80 / 1,971","50 / 1,000",1 / 19,Owned,,,45 mins,13 Aug 22,,13 Aug 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"116 / 3,698","105 / 1,750",7 / 79,Owned,,,9 hrs 7 mins,07 Jul 19,,13 Aug 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"101 / 2,661","90 / 1,000",9 / 34,Owned,,,16 mins,23 Jun 22,,25 Jun 22
Call of Duty: Modern Warfare 2 (2009),https://www.trueachievements.com/game/Modern-Warfare-2-2009/achievements,xbox-360,"35 / 1,532","35 / 1,000",3 / 50,Owned,,,,19 Dec 16,,11 Jun 22
