game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Planet of Lana,https://www.trueachievements.com/game/Planet-of-Lana/achievements,xbox-one,"88 / 5,102","70 / 1,000",4 / 25,Owned,Playing now,,1 hr 24 mins,25 May 23,,25 May 23
Hoa,https://www.trueachievements.com/game/Hoa/achievements,xbox-one,"961 / 1,515","700 / 1,000",14 / 19,Owned,Playing now,,2 hrs 19 mins,17 May 23,,17 May 23
Trackmania,https://www.trueachievements.com/game/Trackmania/achievements,xbox-one,"149 / 29,552","105 / 1,480",7 / 33,Owned,Playing now,,2 hrs 35 mins,15 May 23,,17 May 23
Enlisted,https://www.trueachievements.com/game/Enlisted/achievements,xbox-one,"106 / 5,899","100 / 1,000",2 / 13,Owned,Playing now,,57 mins,07 May 23,,07 May 23
Never Alone (Kisima Ingitchuna),https://www.trueachievements.com/game/Never-Alone-Kisima-Ingitchuna/achievements,xbox-one,"831 / 1,392","650 / 1,000",11 / 15,Owned,Playing now,,7 hrs 37 mins,26 Dec 18,,02 May 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"86 / 2,036","75 / 1,000",9 / 62,Owned,Playing now,,2 hrs 47 mins,23 Dec 22,,29 Apr 23
PUBG: Battlegrounds,https://www.trueachievements.com/game/PlayerUnknowns-Battlegrounds/achievements,xbox-one,"326 / 3,284","210 / 1,000",7 / 37,Owned,Playing now,,70 hrs 57 mins,03 Oct 18,,28 Apr 23
Superliminal,https://www.trueachievements.com/game/Superliminal/achievements,xbox-one,"10 / 3,670","10 / 1,000",1 / 21,Owned,Playing now,,1 hr 59 mins,26 Apr 23,,26 Apr 23
Mass Effect: Andromeda,https://www.trueachievements.com/game/Mass-Effect-Andromeda/achievements,xbox-one,"10 / 2,313","10 / 1,000",1 / 55,Owned,Playing now,,,16 Apr 23,,16 Apr 23
Unravel Two,https://www.trueachievements.com/game/Unravel-Two/achievements,xbox-one,"75 / 13,530","50 / 1,000",5 / 28,Owned,Playing now,,4 hrs 39 mins,16 Jan 23,,12 Apr 23
Journey to the Savage Planet: Employee of the Month Edition,https://www.trueachievements.com/game/Journey-to-the-Savage-Planet-Employee-of-the-Month-Edition/achievements,xbox-series-x-s,"32 / 2,946","30 / 1,000",3 / 51,Owned,Playing now,,57 mins,03 Apr 23,,03 Apr 23
Zombie Army 4: Dead War,https://www.trueachievements.com/game/Zombie-Army-4-Dead-War/achievements,xbox-one,"34 / 3,080","30 / 1,000",2 / 51,Owned,Playing now,,23 mins,21 Mar 23,,21 Mar 23
Max: The Curse of Brotherhood,https://www.trueachievements.com/game/Max-The-Curse-of-Brotherhood/achievements,xbox-one,"154 / 1,862","120 / 1,000",10 / 36,Owned,Playing now,,3 hrs 56 mins,11 Jan 22,,06 Mar 23
Trüberbrook,https://www.trueachievements.com/game/Truberbrook/achievements,xbox-one,"66 / 1,478","65 / 1,000",2 / 34,Owned,Playing now,,57 mins,01 Mar 23,,01 Mar 23
Kill It With Fire,https://www.trueachievements.com/game/Kill-It-With-Fire/achievements,xbox-one,"10 / 2,418","10 / 1,000",1 / 24,Owned,Playing now,,14 mins,01 Mar 23,,01 Mar 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"99 / 6,040","75 / 1,000",4 / 42,Owned,Playing now,,19 hrs 8 mins,21 Feb 23,,27 Feb 23
DayZ,https://www.trueachievements.com/game/DayZ/achievements,xbox-one,"45 / 3,367","40 / 1,000",2 / 13,Owned,Playing now,,3 hrs 13 mins,04 Jul 21,,20 Feb 23
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"17 / 3,854","15 / 1,000",1 / 42,Owned,Playing now,,1 hr 18 mins,20 Feb 23,,20 Feb 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"96 / 2,661","80 / 1,000",8 / 34,Owned,Playing now,,39 mins,06 Dec 22,,15 Feb 23
Somerville,https://www.trueachievements.com/game/Somerville/achievements,xbox-one,"51 / 1,745","50 / 1,000",1 / 11,Owned,Playing now,,51 mins,13 Feb 23,,13 Feb 23
Tell Me Why,https://www.trueachievements.com/game/Tell-Me-Why/achievements,xbox-one,106 / 684,100 / 500,2 / 10,Owned,Playing now,,1 hr 13 mins,10 Feb 23,,10 Feb 23
Cities: Skylines,https://www.trueachievements.com/game/Cities-Skylines/achievements,xbox-one,"224 / 5,394","125 / 1,050",12 / 41,Owned,Playing now,,55 hrs 36 mins,27 Apr 18,,10 Feb 23
