game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Marvel's Guardians of the Galaxy,https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,xbox-one,"1,078 / 1,591","790 / 1,000",47 / 58,Owned,Playing now,,16 hrs 1 min,12 Jan 23,,19 Feb 23
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"305 / 2,699","225 / 1,260",15 / 60,Owned,,,8 hrs 7 mins,15 Apr 22,,18 Feb 23
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"298 / 2,013","245 / 1,200",43 / 140,Owned,,,7 hrs 59 mins,23 Nov 22,,27 Jan 23
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"22 / 3,255","20 / 1,000",2 / 45,Owned,Playing now,,1 hr 15 mins,09 Jan 23,,09 Jan 23
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"209 / 2,870","165 / 1,110",11 / 56,Owned,,,23 hrs 8 mins,14 May 19,,31 Dec 22
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"90 / 1,484","60 / 1,000",1 / 25,Owned,,,4 mins,10 Dec 22,,10 Dec 22
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"165 / 2,977","60 / 1,000",2 / 36,Owned,,,4 mins,06 Dec 22,,06 Dec 22
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"599 / 3,395","460 / 1,250",24 / 56,Owned,,,,23 Oct 22,,04 Dec 22
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"2,582 / 3,931","1,595 / 2,200",59 / 77,Owned,,,976 hrs 15 mins,21 Dec 19,,20 Nov 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"362 / 2,176","250 / 1,030",14 / 61,Owned,,,47 hrs 8 mins,07 Oct 22,,14 Nov 22
Ori and the Will of the Wisps,https://www.trueachievements.com/game/Ori-and-the-Will-of-the-Wisps/achievements,xbox-one,"497 / 3,428","315 / 1,000",18 / 37,Owned,,,13 hrs 15 mins,03 Oct 22,,14 Oct 22
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"40 / 3,587","30 / 1,000",2 / 41,Owned,,,36 mins,04 Oct 22,,04 Oct 22
Ori and the Blind Forest: Definitive Edition,https://www.trueachievements.com/game/Ori-and-the-Blind-Forest-Definitive-Edition/achievements,xbox-one,"1,126 / 4,137","695 / 1,250",31 / 57,Owned,,,,18 Mar 20,,02 Oct 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"603 / 2,020","440 / 1,000",20 / 39,Owned,,,27 hrs 5 mins,14 May 21,,25 Sep 22
Mortal Shell: Enhanced Edition,https://www.trueachievements.com/game/Mortal-Shell/achievements,xbox-one,"25 / 5,323","25 / 1,000",1 / 25,Owned,,,32 mins,16 Sep 22,,16 Sep 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"576 / 3,769","415 / 1,600",38 / 119,Owned,,,13 hrs 24 mins,15 Jul 22,,15 Sep 22
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"535 / 1,487","415 / 1,000",20 / 48,Owned,,,24 hrs 57 mins,02 Mar 20,,14 Sep 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"79 / 5,210","60 / 1,000",4 / 28,Owned,,,1 hr 45 mins,02 Sep 22,,03 Sep 22
Townscaper,https://www.trueachievements.com/game/Townscaper/achievements,xbox-one,"1,156 / 1,156","1,000 / 1,000",10 / 10,Owned,,,22 mins,18 Aug 22,18 Aug 22,18 Aug 22
Terraria,https://www.trueachievements.com/game/Terraria/achievements,xbox-one,"63 / 3,258","50 / 1,000",2 / 30,Owned,,,43 mins,07 Aug 22,,07 Aug 22
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"35 / 2,988","32 / 1,000",2 / 27,Owned,,,8 hrs 37 mins,01 Aug 22,,04 Aug 22
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"231 / 2,482","190 / 1,000",19 / 65,Owned,,,6 hrs 26 mins,11 Jul 22,,14 Jul 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,861 / 20,720","1,150 / 5,990",131 / 599,Owned,,,43 hrs 33 mins,27 Feb 22,,09 Jul 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"126 / 2,661","110 / 1,000",11 / 34,Owned,,,2 hrs 26 mins,21 Jun 22,,05 Jul 22
Super Mega Baseball 3,https://www.trueachievements.com/game/Super-Mega-Baseball-3/achievements,xbox-one,"21 / 10,225","15 / 1,000",2 / 41,Owned,,,1 hr 1 min,14 Jun 22,,14 Jun 22
Slime Rancher,https://www.trueachievements.com/game/Slime-Rancher/achievements,xbox-one,"5 / 2,475","5 / 1,000",1 / 57,Owned,,,6 mins,03 Jun 22,,03 Jun 22
F1 2021,https://www.trueachievements.com/game/F1-2021/achievements,xbox-one,"33 / 3,022","30 / 1,000",2 / 50,Owned,,,25 mins,03 Jun 22,,03 Jun 22
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"22 / 2,032","20 / 1,000",2 / 62,Owned,,,23 mins,03 Jun 22,,03 Jun 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"621 / 4,339","440 / 2,030",27 / 90,Owned,,,26 hrs 3 mins,06 May 21,,07 May 22
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"5 / 12,807","5 / 1,000",1 / 43,Owned,,,27 mins,21 Apr 22,,21 Apr 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"30 / 2,514","30 / 1,000",3 / 53,Owned,,,2 hrs 59 mins,09 Nov 21,,20 Feb 22
Besiege,https://www.trueachievements.com/game/Besiege/achievements,xbox-one,"23 / 2,845","20 / 1,000",1 / 29,Owned,,,23 mins,17 Feb 22,,17 Feb 22
CrossfireX,https://www.trueachievements.com/game/CrossfireX/achievements,xbox-one,"240 / 2,409","170 / 1,000",5 / 12,Owned,,,1 hr 35 mins,11 Feb 22,,16 Feb 22
Dead Cells,https://www.trueachievements.com/game/Dead-Cells/achievements,xbox-one,"47 / 3,801","40 / 1,000",3 / 53,Owned,,,1 hr 30 mins,28 Jan 22,,28 Jan 22
ONE PIECE: PIRATE WARRIORS 4,https://www.trueachievements.com/game/One-Piece-Pirate-Warriors-4/achievements,xbox-one,"87 / 2,511","80 / 1,000",8 / 40,Owned,,,1 hr 3 mins,12 Dec 21,,12 Dec 21
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"70 / 3,707","45 / 1,000",3 / 34,Owned,,,3 hrs 39 mins,01 Dec 21,,03 Dec 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"10 / 4,355","10 / 1,000",1 / 34,Owned,,,21 mins,12 Nov 21,,12 Nov 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"155 / 2,907","100 / 1,200",6 / 62,Owned,,,3 hrs 40 mins,23 Dec 19,,23 Oct 21
Knockout City,https://www.trueachievements.com/game/Knockout-City/achievements,xbox-one,"140 / 3,836","70 / 1,000",4 / 50,Owned,,,4 hrs 12 mins,29 May 21,,29 May 21
Paladins: Champions of the Realm,https://www.trueachievements.com/game/Paladins-Champions-of-the-Realm/achievements,xbox-one,"756 / 3,615","525 / 1,205",11 / 35,Owned,,,5 hrs 5 mins,29 Dec 19,,26 Feb 21
eFootball PES 2021 SEASON UPDATE,https://www.trueachievements.com/game/eFootball-PES-2021/achievements,xbox-one,"55 / 3,273","40 / 1,000",4 / 49,Owned,,,1 hr 40 mins,11 Jan 21,,25 Feb 21
The Witcher 3: Wild Hunt,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,xbox-one,"49 / 2,128","45 / 1,000",2 / 52,Owned,,,,26 Oct 20,,03 Nov 20
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"81 / 1,626","60 / 1,000",1 / 13,Owned,,,3 hrs 0 mins,14 Oct 20,,14 Oct 20
eFootball PES 2020,https://www.trueachievements.com/game/eFootball-PES-2020/achievements,xbox-one,"681 / 3,078","280 / 1,000",17 / 49,Owned,,,27 hrs 35 mins,19 Dec 19,,03 Oct 20
