game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"83 / 4,142","67 / 1,000",6 / 66,Owned,Playing now,,1 hr 31 mins,07 May 23,,07 May 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"83 / 4,977","60 / 1,000",6 / 68,Owned,Playing now,,5 hrs 33 mins,12 Nov 20,,15 Apr 23
Zombie Army 4: Dead War,https://www.trueachievements.com/game/Zombie-Army-4-Dead-War/achievements,xbox-one,"86 / 3,080","75 / 1,000",5 / 51,Owned,Playing now,,5 hrs 13 mins,12 Apr 21,,15 Apr 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"75 / 5,946","60 / 1,000",3 / 42,Owned,Playing now,,4 hrs 46 mins,04 Mar 23,,05 Mar 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"276 / 3,769","215 / 1,600",21 / 119,Owned,Playing now,,13 hrs 33 mins,09 Dec 21,,19 Feb 23
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"157 / 3,642","130 / 1,000",9 / 55,Owned,Playing now,,3 hrs 55 mins,05 Feb 23,,06 Feb 23
Outriders,https://www.trueachievements.com/game/Outriders/achievements,xbox-one,"69 / 2,026","60 / 1,000",4 / 43,Owned,Playing now,,4 hrs 14 mins,05 Apr 21,,05 Feb 23
A Plague Tale: Requiem,https://www.trueachievements.com/game/A-Plague-Tale-Requiem/achievements,xbox-series-x-s,"161 / 2,188","120 / 1,000",8 / 35,Owned,Playing now,,12 hrs 5 mins,24 Oct 22,,05 Nov 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,335 / 22,533","795 / 6,000",98 / 600,Owned,Playing now,,84 hrs 47 mins,12 Nov 14,,18 Jul 22
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"69 / 5,495","60 / 2,915",4 / 127,Owned,Playing now,,8 hrs 25 mins,09 Feb 22,,13 Feb 22
Aragami 2,https://www.trueachievements.com/game/Aragami-2/achievements,xbox-one,"10 / 4,057","10 / 1,000",1 / 44,Owned,Playing now,,1 hr 13 mins,27 Jan 22,,27 Jan 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"316 / 2,514","250 / 1,000",19 / 53,Owned,Playing now,,12 hrs 53 mins,07 Nov 21,,25 Jan 22
The Forgotten City,https://www.trueachievements.com/game/The-Forgotten-City/achievements,xbox-one,"71 / 1,731","60 / 1,000",3 / 40,Owned,Playing now,,1 hr 4 mins,12 Dec 21,,13 Dec 21
Age of Empires IV (Windows),https://www.trueachievements.com/game/Age-of-Empires-IV/achievements,windows,"35 / 6,289","25 / 1,000",4 / 89,Owned,Playing now,,1 hr 53 mins,05 Nov 21,,05 Nov 21
The Ascent,https://www.trueachievements.com/game/The-Ascent/achievements,xbox-one,"229 / 2,811","160 / 1,000",10 / 46,Owned,Playing now,,5 hrs 29 mins,08 Aug 21,,25 Aug 21
SUPERHOT: MIND CONTROL DELETE,https://www.trueachievements.com/game/SUPERHOT-MIND-CONTROL-DELETE/achievements,xbox-one,"133 / 2,326","130 / 1,000",2 / 14,Owned,Playing now,,27 mins,16 Aug 21,,16 Aug 21
Yakuza 0 (Windows),https://www.trueachievements.com/game/Yakuza-0-Windows/achievements,windows,"34 / 4,687","30 / 1,000",2 / 55,Owned,Playing now,,2 hrs 55 mins,15 Aug 21,,15 Aug 21
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"30 / 2,572","30 / 1,000",2 / 37,Owned,Playing now,,23 mins,09 Aug 21,,09 Aug 21
Lumines Remastered,https://www.trueachievements.com/game/Lumines-Remastered/achievements,xbox-one,"37 / 10,026","30 / 1,000",2 / 29,Owned,Playing now,,31 mins,06 Aug 21,,06 Aug 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"542 / 8,345","350 / 2,750",25 / 139,Owned,Playing now,,18 hrs 59 mins,06 Oct 18,,27 Jul 21
Sniper Elite 4,https://www.trueachievements.com/game/Sniper-Elite-4/achievements,xbox-one,"10 / 3,826","10 / 1,000",1 / 50,Owned,Playing now,,2 hrs 27 mins,27 Jul 21,,27 Jul 21
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"5 / 12,807","5 / 1,000",1 / 43,Owned,Playing now,,25 hrs 24 mins,27 Jul 21,,27 Jul 21
Just Cause 4,https://www.trueachievements.com/game/Just-Cause-4/achievements,xbox-one,"25 / 4,515","25 / 1,000",1 / 34,Owned,Playing now,,50 mins,23 Jul 21,,23 Jul 21
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"95 / 1,938","90 / 1,000",6 / 49,Owned,Playing now,,5 hrs 15 mins,09 May 21,,14 May 21
Elite: Dangerous,https://www.trueachievements.com/game/Elite-Dangerous/achievements,xbox-one,"5 / 7,010","5 / 1,000",1 / 43,Owned,Playing now,,2 hrs 36 mins,10 Apr 21,,10 Apr 21
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"20 / 3,155","20 / 1,000",1 / 20,Owned,Playing now,,40 mins,19 Mar 21,,19 Mar 21
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"297 / 2,089","210 / 1,000",17 / 50,Owned,Playing now,,102 hrs 21 mins,14 Nov 20,,13 Feb 21
