game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"114 / 2,453","100 / 1,000",1 / 24,Owned,Playing now,,72 hrs 39 mins,09 Apr 23,,09 Apr 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"541 / 2,447","445 / 1,500",22 / 57,Owned,,,72 hrs 42 mins,08 Sep 19,,02 Nov 22
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"262 / 4,201","175 / 1,180",10 / 59,Owned,,,40 hrs 23 mins,13 Jul 19,,19 Aug 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"1,085 / 2,287","560 / 1,000",23 / 44,Owned,Playing now,,178 hrs 22 mins,09 May 21,,05 Jul 22
ARK: Survival Evolved,https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,xbox-one,"65 / 2,096","60 / 1,000",3 / 18,Owned,Playing now,,3 hrs 27 mins,04 Apr 22,,04 Apr 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"1,415 / 2,551","665 / 1,000",25 / 44,Owned,Playing now,,179 hrs 35 mins,19 Dec 21,,22 Feb 22
Diablo III: Reaper of Souls - Ultimate Evil Edition,https://www.trueachievements.com/game/Diablo-III-Reaper-of-Souls-Ultimate-Evil-Edition/achievements,xbox-one,"1,082 / 2,073","810 / 1,215",38 / 53,Owned,Playing now,,29 hrs 35 mins,10 Apr 21,,10 May 21
Deliver Us The Moon,https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,xbox-one,"921 / 2,289","505 / 1,000",20 / 32,Owned,Playing now,,10 hrs 51 mins,10 Dec 20,,07 Apr 21
TrueAchievements,https://www.trueachievements.com/game/TrueAchievements/achievements,xbox-one,0 / 0,0 / 0,5 / 20,Owned,,,12 mins,15 Feb 15,,05 Apr 21
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"115 / 2,632","50 / 1,000",4 / 50,Owned,Playing now,,159 hrs 47 mins,,,01 Apr 21
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"1,871 / 1,816","1,030 / 1,000",25 / 24,Owned,Playing now,,74 hrs 4 mins,,,30 Mar 21
Dead Cells (Windows),https://www.trueachievements.com/game/Dead-Cells-Windows/achievements,windows,"204 / 3,823","150 / 1,000",12 / 53,Owned,,,3 hrs 1 min,,,28 Feb 21
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"618 / 2,020","445 / 1,000",22 / 39,Owned,,,28 hrs 59 mins,,,20 Feb 21
Double Dragon Neon,https://www.trueachievements.com/game/Double-Dragon-Neon/achievements,xbox-360,"16 / 2,949",11 / 400,3 / 30,Owned,,,,,,20 Feb 21
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"739 / 2,549","415 / 1,000",19 / 44,Owned,,,177 hrs 46 mins,,,21 Dec 20
Fractured Minds,https://www.trueachievements.com/game/Fractured-Minds/achievements,xbox-one,"915 / 1,030","900 / 1,000",9 / 10,Owned,,,55 mins,,,19 Oct 20
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"731 / 3,698","510 / 1,750",30 / 79,Owned,,,239 hrs 43 mins,,,10 Oct 20
