game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Crackdown 3: Campaign,https://www.trueachievements.com/game/Crackdown-3/achievements,xbox-one,"48 / 2,637","35 / 1,000",5 / 70,Owned,Playing now,,1 hr 57 mins,28 Mar 23,,29 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"15 / 2,696","15 / 1,000",1 / 51,Owned,Playing now,,32 mins,17 Mar 23,,17 Mar 23
Ghostlore,https://www.trueachievements.com/game/Ghostlore/achievements,xbox-one,"80 / 6,995","60 / 1,000",2 / 33,Owned,Playing now,,2 hrs 1 min,10 Feb 23,,10 Feb 23
JoJo's Bizarre Adventure: All-Star Battle R,https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,xbox-one,"35 / 4,178","30 / 1,000",2 / 45,Owned,Playing now,,31 mins,10 Feb 23,,10 Feb 23
Skul: The Hero Slayer,https://www.trueachievements.com/game/Skul-The-Hero-Slayer/achievements,xbox-one,"45 / 5,967","36 / 1,000",3 / 23,Owned,Playing now,,1 hr 15 mins,09 Feb 23,,09 Feb 23
Neon Abyss (Windows),https://www.trueachievements.com/game/Neon-Abyss-Windows/achievements,windows,"100 / 5,228","60 / 1,000",3 / 36,Owned,Playing now,,2 hrs 30 mins,07 Jan 23,,16 Jan 23
Despot's Game,https://www.trueachievements.com/game/Despots-Game/achievements,xbox-one,"25 / 6,027","25 / 1,000",1 / 35,Owned,Playing now,,25 mins,07 Jan 23,,07 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"108 / 2,441","100 / 1,000",5 / 32,Owned,Playing now,,3 hrs 33 mins,22 Dec 22,,26 Dec 22
"Warhammer 40,000: Darktide (Windows)",https://www.trueachievements.com/game/Warhammer-40000-Darktide/achievements,windows,"22 / 12,565","20 / 1,000",2 / 36,Owned,Playing now,,2 hrs 31 mins,07 Dec 22,,07 Dec 22
Monster Train,https://www.trueachievements.com/game/Monster-Train/achievements,xbox-one,"15 / 3,502","15 / 1,000",1 / 53,Owned,Playing now,,16 mins,05 Dec 22,,05 Dec 22
Return to Monkey Island,https://www.trueachievements.com/game/Return-to-Monkey-Island/achievements,xbox-series-x-s,"5 / 3,147","5 / 1,000",1 / 39,Owned,Playing now,,2 hrs 19 mins,05 Dec 22,,05 Dec 22
Subnautica: Below Zero,https://www.trueachievements.com/game/Subnautica-Below-Zero/achievements,xbox-one,"25 / 1,839","25 / 1,000",1 / 13,Owned,,,9 mins,20 Aug 22,,20 Aug 22
DOOM 64,https://www.trueachievements.com/game/DOOM-64/achievements,xbox-one,"52 / 1,468","50 / 1,000",1 / 10,Owned,Playing now,,30 mins,03 Aug 22,,03 Aug 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"25 / 2,799","25 / 1,000",1 / 30,Owned,Playing now,,14 mins,29 Jul 22,,29 Jul 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"10 / 2,879","10 / 1,000",1 / 40,Owned,Playing now,,33 mins,15 Jul 22,,15 Jul 22
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"50 / 6,742","35 / 1,055",3 / 67,Owned,Playing now,,1 hr 30 mins,04 Jul 18,,28 May 22
Turnip Boy Commits Tax Evasion,https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,xbox-one,"1,041 / 1,466","775 / 1,000",31 / 37,Owned,Playing now,,4 hrs 39 mins,05 May 22,,06 May 22
RESEARCH and DESTROY,https://www.trueachievements.com/game/Research-and-Destroy/achievements,xbox-one,"10 / 7,447","10 / 1,000",1 / 45,Owned,Playing now,,15 mins,28 Apr 22,,28 Apr 22
Monster Sanctuary,https://www.trueachievements.com/game/Monster-Sanctuary/achievements,xbox-one,"5 / 3,764","5 / 1,000",1 / 34,Owned,Playing now,,56 mins,28 Apr 22,,28 Apr 22
Nobody Saves the World,https://www.trueachievements.com/game/Nobody-Saves-the-World/achievements,xbox-one,"32 / 2,406","30 / 1,000",2 / 33,Owned,Playing now,,56 mins,25 Apr 22,,25 Apr 22
FAR: Changing Tides,https://www.trueachievements.com/game/FAR-Changing-Tides/achievements,xbox-one,"222 / 3,167","165 / 1,000",9 / 35,Owned,Playing now,,4 hrs 45 mins,03 Apr 22,,04 Apr 22
Aground,https://www.trueachievements.com/game/Aground/achievements,xbox-one,"25 / 5,013","20 / 1,000",3 / 56,Owned,Playing now,,1 hr 1 min,14 Feb 22,,14 Feb 22
ONE PIECE: PIRATE WARRIORS 4,https://www.trueachievements.com/game/One-Piece-Pirate-Warriors-4/achievements,xbox-one,"122 / 2,511","100 / 1,000",10 / 40,Owned,Playing now,,53 mins,29 Jan 22,,14 Feb 22
The Riftbreaker,https://www.trueachievements.com/game/The-Riftbreaker/achievements,xbox-series-x-s,"40 / 2,735","30 / 1,000",2 / 30,Owned,Playing now,,8 hrs 0 mins,08 Dec 21,,10 Dec 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"17 / 3,642","15 / 1,000",1 / 55,Owned,Playing now,,1 hr 6 mins,06 Nov 21,,06 Nov 21
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"204 / 2,725","170 / 1,000",10 / 50,Owned,Playing now,,9 hrs 41 mins,16 Oct 21,,06 Nov 21
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"16 / 2,988","16 / 1,000",1 / 27,Owned,Playing now,,2 hrs 28 mins,08 Aug 21,,08 Aug 21
Bloodroots,https://www.trueachievements.com/game/Bloodroots/achievements,xbox-one,"60 / 2,677","50 / 1,000",2 / 33,Owned,Playing now,,22 mins,08 Aug 21,,08 Aug 21
Streets of Rogue,https://www.trueachievements.com/game/Streets-of-Rogue/achievements,xbox-one,"15 / 3,714","15 / 1,000",1 / 50,Owned,Playing now,,13 mins,07 Aug 21,,07 Aug 21
The Ascent,https://www.trueachievements.com/game/The-Ascent/achievements,xbox-one,"146 / 2,811","110 / 1,000",7 / 46,Owned,Playing now,,4 hrs 42 mins,02 Aug 21,,07 Aug 21
UnderMine,https://www.trueachievements.com/game/UnderMine/achievements,xbox-one,"202 / 4,550","145 / 1,000",16 / 96,Owned,Playing now,,4 hrs 8 mins,21 Jul 21,,26 Jul 21
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"87 / 1,913","80 / 1,000",4 / 32,Owned,Playing now,,2 hrs 12 mins,26 May 21,,28 May 21
Rock Band 4,https://www.trueachievements.com/game/Rock-Band-4/achievements,xbox-one,"109 / 2,602","90 / 1,000",6 / 50,Owned,Playing now,,7 hrs 10 mins,05 Jul 18,,18 Apr 21
Outriders,https://www.trueachievements.com/game/Outriders/achievements,xbox-one,"68 / 2,026","60 / 1,000",4 / 43,Owned,Playing now,,2 hrs 12 mins,05 Apr 21,,05 Apr 21
Battletoads,https://www.trueachievements.com/game/Battletoads/achievements,xbox-one,"55 / 4,087","35 / 1,000",4 / 61,Owned,Playing now,,38 mins,31 Mar 21,,31 Mar 21
Moving Out,https://www.trueachievements.com/game/Moving-Out/achievements,xbox-one,"1 / 3,928","1 / 1,000",1 / 26,Owned,Playing now,,21 mins,31 Mar 21,,31 Mar 21
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"10 / 1,821","10 / 1,000",1 / 50,Owned,Playing now,,2 hrs 12 mins,23 Jan 21,,23 Jan 21
