game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Metal: Hellsinger (Xbox One),https://www.trueachievements.com/game/Metal-Hellsinger-Xbox-One/achievements,xbox-one,"105 / 2,236","75 / 1,000",5 / 28,Owned,Playing now,,1 hr 54 mins,31 Jan 23,,22 May 23
DIRT 5,https://www.trueachievements.com/game/Dirt-5/achievements,xbox-one,"230 / 2,566","130 / 1,000",3 / 20,Owned,Playing now,,5 hrs 47 mins,18 Jan 23,,22 May 23
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"560 / 3,212","285 / 1,000",18 / 42,Owned,,,33 hrs 30 mins,30 Jul 21,,18 May 23
SSX,https://www.trueachievements.com/game/SSX/achievements,xbox-360,"105 / 5,639","60 / 1,000",9 / 50,Owned,Playing now,,,20 Mar 23,,19 Mar 23
Steep,https://www.trueachievements.com/game/Steep/achievements,xbox-one,"326 / 6,056","225 / 1,000",13 / 29,Owned,,,10 hrs 45 mins,13 Jul 20,,07 Mar 23
Call of Duty: Black Ops 4,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-4/achievements,xbox-one,"190 / 5,822","90 / 1,330",6 / 72,Owned,,,99 hrs 40 mins,26 May 19,,27 Feb 23
Descenders,https://www.trueachievements.com/game/Descenders/achievements,xbox-one,"181 / 8,443","105 / 1,000",5 / 32,Owned,Playing now,,1 hr 36 mins,06 Feb 23,,06 Feb 23
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"15 / 3,711","15 / 1,000",1 / 34,Owned,Playing now,,4 hrs 28 mins,18 Jan 23,,18 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"827 / 2,441","545 / 1,000",21 / 32,Owned,Playing now,,17 hrs 49 mins,21 Dec 22,,16 Jan 23
Crash Bandicoot N. Sane Trilogy,https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,xbox-one,"341 / 9,146","215 / 3,000",10 / 77,Owned,Playing now,,5 hrs 32 mins,25 Oct 20,,16 Dec 22
Need for Speed,https://www.trueachievements.com/game/Need-for-Speed/achievements,xbox-one,"1,889 / 3,063","890 / 1,240",28 / 33,Owned,,,,28 Nov 15,,16 Jun 22
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"100 / 3,642","85 / 1,000",6 / 55,Owned,,,3 hrs 44 mins,02 Nov 21,,11 Feb 22
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"259 / 3,854","165 / 1,000",10 / 42,Owned,,,6 hrs 54 mins,24 Jan 22,,25 Jan 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"447 / 2,514","320 / 1,000",21 / 53,Owned,,,28 hrs 24 mins,10 Nov 21,,30 Dec 21
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"20 / 3,155","20 / 1,000",1 / 20,Owned,,,48 mins,02 Dec 21,,02 Dec 21
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"106 / 2,555","60 / 1,000",4 / 44,Owned,,,18 hrs 15 mins,05 Nov 21,,05 Nov 21
The Four Kings Casino and Slots,https://www.trueachievements.com/game/The-Four-Kings-Casino-and-Slots/achievements,xbox-one,"82 / 4,897","40 / 1,000",4 / 56,Owned,,,12 hrs 25 mins,22 Aug 21,,28 Aug 21
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"599 / 2,551","390 / 1,000",23 / 44,Owned,,,253 hrs 28 mins,13 Nov 20,,23 Feb 21
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"186 / 2,292","135 / 1,000",8 / 44,Owned,,,38 hrs 11 mins,21 Dec 20,,31 Dec 20
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"60 / 1,810","55 / 1,000",3 / 50,Owned,,,4 hrs 43 mins,11 Nov 20,,12 Nov 20
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"336 / 1,595","270 / 1,000",17 / 50,Owned,,,50 hrs 22 mins,30 Oct 20,,11 Nov 20
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"36 / 2,632","20 / 1,000",2 / 50,Owned,,,7 hrs 34 mins,27 Jun 20,,31 Oct 20
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"489 / 1,626","360 / 1,000",6 / 13,Owned,,,31 hrs 45 mins,23 May 20,,31 May 20
Dead Rising 4,https://www.trueachievements.com/game/Dead-Rising-4/achievements,xbox-one,"395 / 4,231","255 / 1,000",14 / 50,Owned,,,13 hrs 14 mins,15 May 20,,19 May 20
Zoo Tycoon: Ultimate Animal Collection,https://www.trueachievements.com/game/Zoo-Tycoon-Ultimate-Animal-Collection/achievements,xbox-one,"73 / 11,323","55 / 1,500",7 / 59,Owned,,,3 hrs 21 mins,26 Apr 20,,11 May 20
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"316 / 3,768","205 / 1,250",13 / 59,Owned,,,104 hrs 55 mins,26 Apr 20,,04 May 20
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"1,080 / 1,711","740 / 1,050",40 / 54,Owned,,,138 hrs 41 mins,20 Feb 20,,22 Apr 20
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"120 / 3,388","100 / 1,250",10 / 67,Owned,,,15 hrs 23 mins,02 Dec 19,,28 Mar 20
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"244 / 2,020","200 / 1,000",11 / 39,Owned,,,19 hrs 35 mins,02 Dec 19,,09 Dec 19
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"406 / 1,917","290 / 1,000",7 / 26,Owned,,,402 hrs 1 min,18 Nov 19,,20 Nov 19
YouTube,https://www.trueachievements.com/game/YouTube/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,,,,03 Jan 16,,29 Jan 16
Assassin's Creed Syndicate,https://www.trueachievements.com/game/Assassins-Creed-Syndicate/achievements,xbox-one,"870 / 1,928","565 / 1,000",27 / 49,Owned,,,,23 Dec 15,,15 Jan 16
Saints Row: Gat Out of Hell,https://www.trueachievements.com/game/Saints-Row-Gat-Out-of-Hell/achievements,xbox-one,"35 / 2,056","30 / 1,000",3 / 45,Owned,,,15 hrs 23 mins,01 Dec 15,,13 Jan 16
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"227 / 3,543","155 / 1,000",9 / 47,Owned,,,,06 Nov 15,,20 Dec 15
Saints Row IV: Re-Elected,https://www.trueachievements.com/game/Saints-Row-IV-Re-Elected/achievements,xbox-one,"130 / 2,527","110 / 1,200",8 / 70,Owned,,,3 hrs 4 mins,01 Dec 15,,03 Dec 15
Call of Duty: Advanced Warfare,https://www.trueachievements.com/game/Call-of-Duty-Advanced-Warfare/achievements,xbox-one,"103 / 1,867","95 / 1,000",5 / 50,Owned,,,,31 Oct 15,,01 Nov 15
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"564 / 1,569","470 / 1,000",22 / 41,Owned,,,162 hrs 58 mins,19 Jan 15,,16 Mar 15
Far Cry 4,https://www.trueachievements.com/game/Far-Cry-4/achievements,xbox-one,"693 / 1,503","545 / 1,000",22 / 50,Owned,,,,07 Mar 15,,15 Mar 15
Rayman Legends,https://www.trueachievements.com/game/Rayman-Legends/achievements,xbox-one,"24 / 3,171","20 / 1,000",2 / 50,Owned,,,,01 Mar 15,,07 Mar 15
Need for Speed Rivals,https://www.trueachievements.com/game/Need-for-Speed-Rivals/achievements,xbox-one,"25 / 3,556","25 / 1,000",1 / 25,Owned,,,,08 Feb 15,,08 Feb 15
Forza Motorsport 5,https://www.trueachievements.com/game/Forza-Motorsport-5/achievements,xbox-one,"5 / 4,355","5 / 1,000",1 / 78,Owned,,,4 hrs 40 mins,03 Feb 15,,03 Feb 15
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,,,,29 Dec 14,,02 Feb 15
Assassin's Creed Unity,https://www.trueachievements.com/game/Assassins-Creed-Unity/achievements,xbox-one,"43 / 2,052","30 / 1,000",2 / 50,Owned,,,,21 Jan 15,,21 Jan 15
Battlefield 4,https://www.trueachievements.com/game/Battlefield-4/achievements,xbox-one,"224 / 2,097","180 / 1,000",9 / 42,Owned,,,,11 Jan 15,,15 Jan 15
