game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Fable Anniversary,https://www.trueachievements.com/game/Fable-Anniversary/achievements,xbox-360,"974 / 2,088","550 / 1,000",28 / 50,Owned,Playing now,,,02 Jul 17,,30 Jun 17
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"1,963 / 2,548","1,152 / 1,387",51 / 58,Owned,,,,14 Sep 10,,30 Jun 17
Star Wars: The Force Unleashed,https://www.trueachievements.com/game/Star-Wars-the-Force-Unleashed/achievements,xbox-360,"582 / 2,374","380 / 1,000",29 / 47,Owned,,,,03 Jun 09,,30 Jun 17
Star Wars: The Force Unleashed II,https://www.trueachievements.com/game/Star-Wars-the-Force-Unleashed-2/achievements,xbox-360,"98 / 2,029","90 / 1,000",5 / 50,Owned,Playing now,,,02 Jul 17,,30 Jun 17
Unreal Tournament 3,https://www.trueachievements.com/game/Unreal-Tournament-3/achievements,xbox-360,"877 / 3,726","400 / 1,000",22 / 50,Owned,,,,20 Aug 09,,13 Apr 16
Fable III,https://www.trueachievements.com/game/Fable-3/achievements,xbox-360,"25 / 1,861","25 / 1,000",3 / 50,Owned,Playing now,,,24 Jul 15,,30 Jul 15
Destiny (Xbox 360),https://www.trueachievements.com/game/Destiny-Xbox-360/achievements,xbox-360,"20 / 1,666","20 / 1,000",1 / 41,Owned,Playing now,,,16 Jul 15,,15 Jul 15
Far Cry 4 (Xbox 360),https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,xbox-360,"1,445 / 1,510","980 / 1,000",49 / 50,Owned,,,,06 Apr 15,,25 Apr 15
Forza Motorsport 2,https://www.trueachievements.com/game/Forza-Motorsport-2/achievements,xbox-360,"10 / 2,485","10 / 1,000",2 / 44,Owned,,,,24 May 09,,16 Apr 15
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"1,425 / 1,425","1,000 / 1,000",50 / 50,Owned,,,,28 Jan 15,25 Feb 15,16 Apr 15
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"575 / 1,996","320 / 1,000",16 / 50,Owned,,,,03 Apr 15,,05 Apr 15
BioShock Infinite,https://www.trueachievements.com/game/BioShock-Infinite/achievements,xbox-360,"39 / 2,136","35 / 1,000",5 / 50,Owned,,,,26 Mar 15,,01 Apr 15
Darksiders,https://www.trueachievements.com/game/Darksiders/achievements,xbox-360,"10 / 1,743","10 / 1,000",1 / 43,Owned,,,,01 Apr 15,,01 Apr 15
Tomb Raider,https://www.trueachievements.com/game/Tomb-Raider/achievements,xbox-360,"316 / 1,985","280 / 1,000",15 / 50,Owned,,,,05 Mar 15,,11 Mar 15
Aegis Wing,https://www.trueachievements.com/game/Aegis-Wing/achievements,xbox-360,274 / 346,180 / 200,11 / 12,Owned,,,,29 Jul 09,,06 Mar 15
Sniper Elite V2,https://www.trueachievements.com/game/Sniper-Elite-V2/achievements,xbox-360,"100 / 2,215","90 / 1,000",6 / 41,Owned,,,,05 Mar 15,,05 Mar 15
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"2,800 / 2,799","1,750 / 1,750",79 / 79,Owned,,,,06 Jan 08,10 May 10,03 Mar 15
Madden NFL 11,https://www.trueachievements.com/game/Madden-NFL-11/achievements,xbox-360,"247 / 1,691","115 / 1,000",2 / 24,Owned,,,,05 Dec 10,,25 Feb 15
Call of Duty: World at War,https://www.trueachievements.com/game/Call-of-Duty-World-at-War/achievements,xbox-360,"1,618 / 2,770","965 / 1,500",47 / 66,Owned,,,,25 Dec 08,,21 Feb 15
Diablo III,https://www.trueachievements.com/game/Diablo-III/achievements,xbox-360,"67 / 1,760","65 / 1,000",5 / 45,Owned,,,,06 Feb 15,,11 Feb 15
FIFA 11,https://www.trueachievements.com/game/FIFA-11/achievements,xbox-360,"10 / 2,895","10 / 1,000",1 / 46,Owned,,,,19 Jul 11,,22 Jul 11
Resident Evil 5 (Xbox 360),https://www.trueachievements.com/game/Resident-Evil-5-Xbox-360/achievements,xbox-360,"1,056 / 1,498","745 / 1,000",38 / 50,Owned,,,,19 Jul 09,,22 Jul 11
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"282 / 1,891","215 / 1,000",17 / 50,Owned,,,,31 Dec 10,,20 Jul 11
Halo 3: ODST,https://www.trueachievements.com/game/Halo-3-ODST/achievements,xbox-360,"1,594 / 1,594","1,000 / 1,000",47 / 47,Owned,,,,22 Sep 09,31 Aug 10,16 Jul 11
Call of Duty: Modern Warfare 2 (2009),https://www.trueachievements.com/game/Modern-Warfare-2-2009/achievements,xbox-360,"1,265 / 1,532","890 / 1,000",48 / 50,Owned,,,,11 Nov 09,,12 Jul 11
Borderlands,https://www.trueachievements.com/game/Borderlands/achievements,xbox-360,"2,399 / 2,642","1,635 / 1,750",76 / 80,Owned,,,,13 Jan 10,,11 Jul 11
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"2,173 / 3,049","1,160 / 1,500",55 / 65,Owned,,,,20 Nov 09,,11 Jul 11
Green Day: Rock Band,https://www.trueachievements.com/game/Green-Day-Rock-Band/achievements,xbox-360,"686 / 2,841","140 / 1,000",7 / 48,Owned,,,,14 Jun 10,,23 Apr 11
Bulletstorm,https://www.trueachievements.com/game/Bulletstorm/achievements,xbox-360,"1,408 / 2,393","750 / 1,000",38 / 50,Owned,,,,02 Mar 11,,23 Apr 11
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,85 / 407,70 / 200,4 / 12,Owned,,,,01 Mar 11,,01 Mar 11
