game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"411 / 4,150","275 / 1,100",18 / 65,Owned,Playing now,,6 hrs 40 mins,22 May 23,,31 May 23
Deep Rock Galactic,https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,xbox-one,"25 / 4,796","25 / 1,000",1 / 67,Owned,Playing now,,38 mins,21 May 23,,21 May 23
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"5 / 2,013","5 / 1,200",1 / 140,Owned,Playing now,,3 mins,20 May 23,,20 May 23
Double Kick Heroes,https://www.trueachievements.com/game/Double-Kick-Heroes/achievements,xbox-one,"11 / 4,690","10 / 1,000",1 / 38,Owned,Playing now,,15 mins,12 May 23,,12 May 23
Mortal Shell: Enhanced Edition,https://www.trueachievements.com/game/Mortal-Shell/achievements,xbox-one,"74 / 5,351","50 / 1,000",2 / 25,Owned,Playing now,,29 mins,12 May 23,,12 May 23
Shadow Warrior 3: Definitive Edition,https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,xbox-one,"783 / 1,899","520 / 1,000",24 / 38,Owned,Playing now,,3 hrs 25 mins,03 May 23,,04 May 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"178 / 5,946","105 / 1,000",6 / 42,Owned,Playing now,,8 hrs 1 min,26 Apr 23,,28 Apr 23
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"367 / 2,193","245 / 1,000",15 / 53,Owned,Playing now,,28 hrs 35 mins,08 Feb 23,,22 Mar 23
Ashes of the Singularity: Escalation (Windows),https://www.trueachievements.com/game/Ashes-of-the-Singularity-Escalation/achievements,windows,"167 / 8,824","100 / 1,000",9 / 54,Owned,Playing now,,1 hr 36 mins,19 Mar 23,,19 Mar 23
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"910 / 3,707","450 / 1,000",14 / 34,Owned,Playing now,,55 hrs 39 mins,11 Dec 22,,02 Feb 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"84 / 2,441","80 / 1,000",4 / 32,Owned,Playing now,,1 hr 6 mins,18 Dec 22,,18 Dec 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"69 / 2,879","40 / 1,000",2 / 40,Owned,Playing now,,2 hrs 56 mins,18 Jul 22,,17 Dec 22
A Plague Tale: Requiem,https://www.trueachievements.com/game/A-Plague-Tale-Requiem/achievements,xbox-series-x-s,"113 / 2,194","90 / 1,000",6 / 35,Owned,Playing now,,6 hrs 24 mins,16 Nov 22,,01 Dec 22
Stellaris (Windows),https://www.trueachievements.com/game/Stellaris-Windows/achievements,windows,"16 / 7,337","15 / 1,805",2 / 53,Owned,Playing now,,34 mins,16 Nov 22,,16 Nov 22
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"15 / 9,216","15 / 1,000",1 / 47,Owned,Playing now,,2 hrs 22 mins,13 Nov 22,,13 Nov 22
Gunfire Reborn,https://www.trueachievements.com/game/Gunfire-Reborn/achievements,xbox-one,"108 / 3,980","62 / 1,000",15 / 86,Owned,Playing now,,4 hrs 4 mins,07 Nov 22,,12 Nov 22
DEATHLOOP,https://www.trueachievements.com/game/Deathloop/achievements,xbox-series-x-s,"15 / 3,753","15 / 1,000",1 / 58,Owned,Playing now,,44 mins,14 Oct 22,,14 Oct 22
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"62 / 1,913","60 / 1,000",3 / 32,Owned,Playing now,,39 mins,16 Sep 22,,16 Sep 22
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"255 / 2,135","190 / 1,000",12 / 43,Owned,Playing now,,24 hrs 17 mins,12 Aug 22,,01 Sep 22
Iron Harvest (Windows),https://www.trueachievements.com/game/Iron-Harvest/achievements,windows,"20 / 8,429","20 / 1,000",1 / 32,Owned,Playing now,,5 hrs 46 mins,21 Aug 22,,21 Aug 22
Chorus,https://www.trueachievements.com/game/Chorus/achievements,xbox-one,"1,982 / 2,881","810 / 1,000",36 / 42,Owned,Playing now,,18 hrs 22 mins,23 Jul 22,,06 Aug 22
Dying Light 2: Stay Human,https://www.trueachievements.com/game/Dying-Light-2/achievements,xbox-one,"719 / 2,911","485 / 1,000",30 / 57,Owned,Playing now,,42 hrs 3 mins,20 Jun 22,,23 Jul 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"643 / 2,751","385 / 1,000",21 / 53,Owned,Playing now,,29 hrs 2 mins,28 May 22,,18 Jun 22
The Riftbreaker,https://www.trueachievements.com/game/The-Riftbreaker/achievements,xbox-series-x-s,"16 / 2,735","15 / 1,000",1 / 30,Owned,Playing now,,1 hr 48 mins,17 May 22,,17 May 22
Project Wingman,https://www.trueachievements.com/game/Project-Wingman/achievements,xbox-one,"46 / 3,730","40 / 1,000",2 / 40,Owned,Playing now,,1 hr 0 mins,17 May 22,,17 May 22
The Gunk,https://www.trueachievements.com/game/The-Gunk/achievements,xbox-one,"101 / 1,638","100 / 1,000",2 / 17,Owned,Playing now,,20 mins,17 May 22,,17 May 22
"Warhammer 40,000: Battlesector",https://www.trueachievements.com/game/Warhammer-40000-Battlesector/achievements,xbox-one,"255 / 3,306","180 / 1,000",7 / 30,Owned,Playing now,,21 mins,16 May 22,,16 May 22
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,https://www.trueachievements.com/game/The-Dungeon-of-Naheulbeuk-The-Amulet-of-Chaos/achievements,xbox-one,"23 / 6,556","20 / 1,000",1 / 30,Owned,Playing now,,2 hrs 17 mins,15 May 22,,15 May 22
Aliens: Fireteam Elite,https://www.trueachievements.com/game/Aliens-Fireteam-Elite/achievements,xbox-one,"57 / 5,006","45 / 1,000",3 / 42,Owned,Playing now,,1 hr 59 mins,06 May 22,,07 May 22
Marvel's Guardians of the Galaxy,https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,xbox-one,"1,108 / 1,591","820 / 1,000",49 / 58,Owned,Playing now,,16 hrs 32 mins,19 Mar 22,,02 May 22
HITMAN 3,https://www.trueachievements.com/game/HITMAN-3/achievements,xbox-one,"458 / 3,707","290 / 1,195",15 / 60,Owned,Playing now,,21 hrs 23 mins,03 Feb 22,,19 Mar 22
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"1,279 / 5,495","745 / 2,915",39 / 127,Owned,Playing now,,40 hrs 33 mins,08 Jan 22,,30 Jan 22
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"85 / 3,637","75 / 1,000",4 / 50,Owned,Playing now,,50 mins,15 Jan 22,,15 Jan 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,130 / 3,769","740 / 1,600",67 / 119,Owned,Playing now,,25 hrs 49 mins,15 Dec 21,,02 Jan 22
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"313 / 1,616","255 / 1,000",16 / 50,Owned,Playing now,,25 hrs 10 mins,20 Nov 21,,13 Dec 21
Serious Sam 4,https://www.trueachievements.com/game/Serious-Sam-4/achievements,xbox-series-x-s,"5 / 3,115","5 / 1,000",1 / 54,Owned,Playing now,,10 mins,07 Dec 21,,07 Dec 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"259 / 2,514","210 / 1,000",18 / 53,Owned,Playing now,,8 hrs 17 mins,11 Nov 21,,20 Nov 21
Octopath Traveler,https://www.trueachievements.com/game/Octopath-Traveler/achievements,xbox-one,"247 / 6,354","135 / 1,000",26 / 88,Owned,Playing now,,17 hrs 53 mins,17 Oct 21,,07 Nov 21
Phoenix Point,https://www.trueachievements.com/game/Phoenix-Point/achievements,xbox-one,"385 / 8,494","220 / 1,000",15 / 47,Owned,Playing now,,18 hrs 13 mins,04 Oct 21,,14 Oct 21
Curse of the Dead Gods,https://www.trueachievements.com/game/Curse-of-the-Dead-Gods/achievements,xbox-one,"20 / 9,318","20 / 1,000",1 / 30,Owned,Playing now,,1 hr 31 mins,02 Oct 21,,02 Oct 21
Subnautica: Below Zero,https://www.trueachievements.com/game/Subnautica-Below-Zero/achievements,xbox-one,"25 / 1,839","25 / 1,000",1 / 13,Owned,Playing now,,2 hrs 10 mins,24 Sep 21,,24 Sep 21
Breathedge,https://www.trueachievements.com/game/Breathedge/achievements,xbox-one,"20 / 4,889","20 / 1,000",1 / 45,Owned,Playing now,,42 mins,17 Sep 21,,17 Sep 21
Warhammer: Chaosbane,https://www.trueachievements.com/game/Warhammer-Chaosbane/achievements,xbox-one,"493 / 2,908","290 / 1,000",16 / 43,Owned,Playing now,,5 hrs 21 mins,04 Sep 21,,10 Sep 21
Hades,https://www.trueachievements.com/game/Hades/achievements,xbox-one,"119 / 2,458","100 / 1,000",4 / 49,Owned,Playing now,,9 hrs 57 mins,17 Aug 21,,30 Aug 21
