game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"31 / 3,637","30 / 1,000",2 / 50,Owned,Playing now,,34 mins,13 Apr 23,,13 Apr 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"139 / 2,176","110 / 1,030",6 / 61,Owned,Playing now,,6 hrs 4 mins,16 Jan 23,,25 Mar 23
EA SPORTS UFC 3,https://www.trueachievements.com/game/EA-SPORTS-UFC-3/achievements,xbox-one,"26 / 5,616","25 / 1,000",1 / 32,Owned,Playing now,,1 hr 38 mins,17 Jan 23,,17 Jan 23
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"20 / 5,942","20 / 1,000",1 / 35,Owned,Playing now,,41 mins,15 Jan 23,,15 Jan 23
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"231 / 3,767","170 / 1,250",13 / 59,Owned,Playing now,,233 hrs 30 mins,27 May 22,,05 Jan 23
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"179 / 1,797","155 / 1,000",4 / 11,Owned,,,2 hrs 28 mins,27 May 22,,30 Dec 22
GRID Legends,https://www.trueachievements.com/game/GRID-Legends/achievements,xbox-one,"67 / 3,812","60 / 1,000",4 / 50,Owned,,,1 hr 38 mins,22 Dec 22,,22 Dec 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"512 / 2,661","340 / 1,000",19 / 34,Owned,,,5 hrs 52 mins,27 Jun 22,,05 Nov 22
The Crew 2,https://www.trueachievements.com/game/The-Crew-2/achievements,xbox-one,"1,910 / 2,317","870 / 1,000",28 / 34,Owned,,,134 hrs 8 mins,27 Aug 22,,27 Oct 22
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"11 / 2,883","10 / 1,000",1 / 61,Owned,,,1 hr 54 mins,25 Aug 22,,25 Aug 22
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"1,446 / 3,212","590 / 1,000",27 / 42,Owned,,,56 hrs 58 mins,10 Dec 21,,10 Aug 22
Yakuza Kiwami,https://www.trueachievements.com/game/Yakuza-Kiwami/achievements,xbox-one,"15 / 3,259","15 / 1,000",1 / 55,Owned,,,23 mins,09 Aug 22,,09 Aug 22
Midnight Club: Los Angeles,https://www.trueachievements.com/game/Midnight-Club-Los-Angeles/achievements,xbox-360,"10 / 3,838","10 / 1,000",1 / 45,Owned,,,,30 Jul 22,,30 Jul 22
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"31 / 1,764","30 / 1,000",3 / 49,Owned,,,,21 Jul 22,,23 Jul 22
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"36 / 1,810","35 / 1,000",2 / 50,Owned,,,1 hr 1 min,22 Jul 22,,22 Jul 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"768 / 4,490","540 / 2,130",32 / 94,Owned,,,41 hrs 24 mins,12 Dec 21,,22 Jul 22
DiRT 4,https://www.trueachievements.com/game/Dirt-4/achievements,xbox-one,"19 / 4,095","15 / 1,000",2 / 48,Owned,,,11 mins,20 Jul 22,,20 Jul 22
GRID,https://www.trueachievements.com/game/GRID/achievements,xbox-one,"10 / 3,604","10 / 1,000",1 / 29,Owned,,,35 mins,04 Jul 22,,04 Jul 22
Need for Speed Payback,https://www.trueachievements.com/game/Need-for-Speed-Payback/achievements,xbox-one,"557 / 3,267","345 / 1,000",24 / 53,Owned,,,20 hrs 0 mins,22 Jun 22,,03 Jul 22
Need for Speed,https://www.trueachievements.com/game/Need-for-Speed/achievements,xbox-one,"1,294 / 3,678","660 / 1,480",22 / 36,Owned,,,,12 Nov 21,,12 Jun 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"536 / 2,514","370 / 1,000",22 / 53,Owned,,,88 hrs 34 mins,09 Nov 21,,08 Jun 22
Fight Night Champion,https://www.trueachievements.com/game/Fight-Night-Champion/achievements,xbox-360,"10 / 14,819","10 / 1,000",1 / 44,Owned,,,,07 Jun 22,,07 Jun 22
Dante's Inferno,https://www.trueachievements.com/game/Dantes-Inferno/achievements,xbox-360,"743 / 1,719","520 / 1,000",20 / 42,Owned,,,,22 Nov 21,,30 May 22
Mortal Shell: Enhanced Edition,https://www.trueachievements.com/game/Mortal-Shell/achievements,xbox-one,"25 / 5,351","25 / 1,000",1 / 25,Owned,,,59 mins,30 May 22,,30 May 22
World War Z,https://www.trueachievements.com/game/World-War-Z/achievements,xbox-one,"21 / 4,341","20 / 1,000",1 / 35,Owned,,,1 hr 2 mins,27 May 22,,27 May 22
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"19 / 11,052","5 / 1,500",1 / 84,Owned,,,2 hrs 17 mins,23 Dec 21,,23 Dec 21
Zombie Army 4: Dead War,https://www.trueachievements.com/game/Zombie-Army-4-Dead-War/achievements,xbox-one,"36 / 3,080","30 / 1,000",2 / 51,Owned,,,29 mins,01 Dec 21,,01 Dec 21
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"48 / 1,488","40 / 1,000",2 / 48,Owned,,,1 hr 43 mins,27 Nov 21,,27 Nov 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"30 / 4,355","25 / 1,000",2 / 34,Owned,,,23 hrs 0 mins,12 Nov 21,,12 Nov 21
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"45 / 1,595",40 / 830,1 / 44,Owned,,,43 mins,06 Nov 21,,06 Nov 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"376 / 4,484","255 / 1,700",17 / 80,Owned,,,23 hrs 49 mins,16 Aug 19,,18 Sep 21
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"998 / 4,590","500 / 1,615",28 / 75,Owned,,,114 hrs 58 mins,17 Aug 19,,27 Jul 21
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"26 / 6,578","25 / 1,000",3 / 60,Owned,,,2 hrs 47 mins,27 Jun 21,,30 Jun 21
