game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"3,061 / 4,882","1,330 / 1,845",62 / 81,Owned,Playing now,,1247 hrs 30 mins,25 Jun 20,,26 Jan 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"862 / 23,089","500 / 6,490",61 / 649,Owned,,,35 hrs 27 mins,19 Feb 21,,15 Jan 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"123 / 1,370",75 / 600,10 / 50,Owned,Playing now,,1 hr 28 mins,16 Nov 21,,17 Nov 21
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"460 / 2,482","290 / 1,000",26 / 65,Owned,,,27 hrs 7 mins,26 Feb 21,,14 Nov 21
Halo: Spartan Strike (Windows),https://www.trueachievements.com/game/Halo-Spartan-Strike-Windows-8/achievements,windows,5 / 453,5 / 200,1 / 20,Owned,Playing now,,,13 Nov 21,,13 Nov 21
Slime Rancher,https://www.trueachievements.com/game/Slime-Rancher/achievements,xbox-one,"903 / 2,475","550 / 1,000",37 / 57,Owned,,,72 hrs 11 mins,01 Jul 20,,22 Sep 21
Aliens vs. Predator,https://www.trueachievements.com/game/Aliens-vs-Predator/achievements,xbox-360,"274 / 3,145","150 / 1,000",9 / 50,Owned,,,,10 Apr 21,,03 Sep 21
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"32 / 1,938","30 / 1,000",2 / 49,Owned,Playing now,,3 hrs 8 mins,27 Jul 21,,29 Aug 21
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"390 / 3,698","290 / 1,750",17 / 79,Owned,,,34 hrs 39 mins,30 Jun 20,,26 May 21
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"165 / 2,572","140 / 1,000",10 / 37,Owned,,,18 hrs 52 mins,19 Oct 20,,08 May 21
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"157 / 2,156","125 / 1,000",5 / 33,Owned,,,1 hr 41 mins,09 Mar 21,,09 Mar 21
