game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Little Nightmares,https://www.trueachievements.com/game/Little-Nightmares/achievements,xbox-one,"56 / 3,051","50 / 1,000",1 / 13,Owned,Playing now,,1 hr 4 mins,07 May 23,,07 May 23
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"191 / 2,482","160 / 1,000",16 / 65,Owned,Playing now,,48 hrs 38 mins,31 Dec 21,,07 May 23
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"22 / 3,255","20 / 1,000",2 / 45,Owned,Playing now,,1 hr 51 mins,20 Dec 22,,20 Dec 22
Star Wars Battlefront,https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,xbox-one,"39 / 3,209","30 / 1,000",2 / 43,Owned,Playing now,,36 mins,26 Nov 22,,26 Nov 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"585 / 2,020","430 / 1,000",20 / 39,Owned,,,97 hrs 16 mins,18 Nov 19,,21 Sep 22
Cuphead,https://www.trueachievements.com/game/Cuphead/achievements,xbox-one,"2,909 / 4,232","1,175 / 1,500",32 / 42,Owned,Playing now,,298 hrs 22 mins,28 Mar 21,,19 Sep 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"97 / 16,595","75 / 4,500",11 / 450,Owned,,,7 hrs 42 mins,03 Nov 19,,08 Sep 22
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"159 / 9,935","100 / 1,630",13 / 124,Owned,,,26 hrs 16 mins,06 Sep 19,,08 Sep 22
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"20 / 1,810","20 / 1,000",1 / 50,Owned,Playing now,,2 hrs 34 mins,29 Aug 22,,29 Aug 22
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"847 / 1,971","525 / 1,000",11 / 19,Owned,Playing now,,32 hrs 22 mins,08 Mar 21,,24 Aug 22
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"357 / 1,797","310 / 1,000",4 / 11,Owned,Playing now,,6 hrs 52 mins,30 May 21,,12 Aug 22
Payday 2: Crimewave Edition,https://www.trueachievements.com/game/Payday-2-Crimewave-Edition/achievements,xbox-one,"15 / 6,736","15 / 1,000",1 / 42,Owned,Playing now,,2 hrs 12 mins,07 Aug 22,,07 Aug 22
Need for Speed Payback,https://www.trueachievements.com/game/Need-for-Speed-Payback/achievements,xbox-one,"10 / 3,267","10 / 1,000",1 / 53,Owned,Playing now,,1 hr 48 mins,05 Aug 22,,05 Aug 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"15 / 5,210","15 / 1,000",1 / 28,Owned,Playing now,,50 mins,29 Jul 22,,29 Jul 22
INSIDE,https://www.trueachievements.com/game/Inside/achievements,xbox-one,"71 / 1,429","70 / 1,000",1 / 14,Owned,Playing now,,2 hrs 48 mins,21 Jul 22,,21 Jul 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"278 / 2,661","180 / 1,000",15 / 34,Owned,Playing now,,50 mins,22 Jun 22,,27 Jun 22
Unravel Two,https://www.trueachievements.com/game/Unravel-Two/achievements,xbox-one,"10 / 13,530","10 / 1,000",1 / 28,Owned,Playing now,,1 hr 22 mins,24 Apr 22,,24 Apr 22
art of rally,https://www.trueachievements.com/game/Art-of-Rally/achievements,xbox-one,"72 / 3,817","50 / 1,000",5 / 43,Owned,Playing now,,40 mins,25 Mar 22,,26 Mar 22
Maneater,https://www.trueachievements.com/game/Maneater/achievements,xbox-one,"62 / 1,913","60 / 1,000",3 / 32,Owned,Playing now,,1 hr 3 mins,25 Mar 22,,25 Mar 22
Mortal Kombat 11,https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,xbox-one,"18 / 2,265","15 / 1,000",1 / 58,Owned,Playing now,,7 hrs 41 mins,24 Mar 22,,24 Mar 22
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"73 / 3,710","45 / 1,250",5 / 63,Owned,Playing now,,,30 Jul 21,,11 Jan 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"10 / 2,514","10 / 1,000",1 / 53,Owned,Playing now,,2 hrs 12 mins,09 Jan 22,,09 Jan 22
Star Wars: The Force Unleashed II,https://www.trueachievements.com/game/Star-Wars-the-Force-Unleashed-2/achievements,xbox-360,"14 / 2,029","10 / 1,000",1 / 50,Owned,Playing now,,,22 Jan 21,,27 Dec 21
SkateBIRD,https://www.trueachievements.com/game/SkateBIRD/achievements,xbox-one,"80 / 5,215","80 / 1,000",1 / 12,Owned,Playing now,,1 hr 17 mins,14 Oct 21,,14 Oct 21
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"15 / 3,893","15 / 1,000",1 / 62,Owned,Playing now,,4 hrs 31 mins,08 Aug 21,,08 Aug 21
