game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"119 / 4,189","87 / 1,000",8 / 66,Owned,Playing now,,2 hrs 59 mins,06 May 23,,07 May 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"181 / 5,946","105 / 1,000",6 / 42,Owned,Playing now,,6 hrs 35 mins,21 Feb 23,,16 Mar 23
Marvel's Guardians of the Galaxy,https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,xbox-one,"31 / 1,591","30 / 1,000",2 / 58,Owned,Playing now,,50 mins,08 Mar 23,,08 Mar 23
Guilty Gear -Strive-,https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,xbox-one,"61 / 4,387","50 / 1,000",2 / 38,Owned,Playing now,,20 mins,08 Mar 23,,08 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"32 / 2,696","30 / 1,000",2 / 51,Owned,Playing now,,47 mins,03 Mar 23,,03 Mar 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"634 / 6,004","325 / 1,000",29 / 61,Owned,Playing now,,9 hrs 22 mins,28 Jan 23,,26 Feb 23
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"350 / 2,725","270 / 1,000",16 / 50,Owned,Playing now,,4 hrs 57 mins,04 Dec 22,,27 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"906 / 2,441","590 / 1,000",22 / 32,Owned,Playing now,,8 hrs 24 mins,18 Dec 22,,27 Jan 23
Her Story (Windows),https://www.trueachievements.com/game/Her-Story/achievements,windows,"426 / 1,080","400 / 1,000",7 / 13,Owned,Playing now,,22 mins,10 Jan 23,,10 Jan 23
My Friend Peppa Pig,https://www.trueachievements.com/game/My-Friend-Peppa-Pig/achievements,xbox-one,"1,272 / 1,272","1,000 / 1,000",11 / 11,Owned,Playing now,,47 mins,09 Jan 23,09 Jan 23,09 Jan 23
