game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"27 / 4,189","27 / 1,000",2 / 66,Owned,Playing now,,1 hr 7 mins,04 May 23,,04 May 23
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"110 / 2,002","90 / 1,000",4 / 30,Owned,Playing now,,19 hrs 43 mins,08 Jul 15,,05 Apr 23
Genesis Noir,https://www.trueachievements.com/game/Genesis-Noir/achievements,xbox-one,"1,594 / 1,707","1,130 / 1,210",16 / 17,Owned,Playing now,,5 hrs 33 mins,31 Mar 21,,05 Mar 23
Death Stranding (Windows),https://www.trueachievements.com/game/DEATH-STRANDING/achievements,windows,"170 / 4,494","120 / 1,000",12 / 63,Owned,Playing now,,4 hrs 27 mins,16 Feb 23,,03 Mar 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"99 / 4,489","80 / 1,000",6 / 44,Owned,Playing now,,42 mins,08 Feb 23,,08 Feb 23
Autonauts,https://www.trueachievements.com/game/Autonauts/achievements,xbox-one,"107 / 4,129","80 / 1,000",2 / 19,Owned,Playing now,,17 hrs 56 mins,21 Jan 23,,22 Jan 23
Monster Hunter Rise,https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,xbox-one,"10 / 7,283","10 / 1,000",1 / 50,Owned,Playing now,,1 hr 32 mins,22 Jan 23,,22 Jan 23
ENDER LILIES: Quietus of the Knights,https://www.trueachievements.com/game/ENDER-LILIES-Quietus-of-the-Knights/achievements,xbox-one,"63 / 1,675","60 / 1,000",4 / 38,Owned,Playing now,,2 hrs 12 mins,07 Jan 23,,07 Jan 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"2,058 / 4,915","1,010 / 1,765",60 / 97,Owned,Playing now,,77 hrs 19 mins,05 Nov 21,,30 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"111 / 2,441","100 / 1,000",5 / 32,Owned,Playing now,,3 hrs 59 mins,13 Dec 22,,26 Dec 22
MY LITTLE PONY: A Maretime Bay Adventure,https://www.trueachievements.com/game/MY-LITTLE-PONY-A-Maretime-Bay-Adventure/achievements,xbox-one,"1,071 / 1,071","1,000 / 1,000",13 / 13,Owned,Playing now,,15 hrs 45 mins,24 Dec 22,26 Dec 22,26 Dec 22
Potion Craft: Alchemist Simulator,https://www.trueachievements.com/game/Potion-Craft/achievements,xbox-one,"34 / 5,770","30 / 1,000",2 / 29,Owned,Playing now,,3 hrs 34 mins,21 Dec 22,,21 Dec 22
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"139 / 3,255","100 / 1,000",8 / 45,Owned,Playing now,,21 hrs 10 mins,10 Dec 22,,21 Dec 22
Microsoft Sudoku (UWP),https://www.trueachievements.com/game/Microsoft-Sudoku/achievements,windows,"119 / 1,893","90 / 1,000",9 / 45,Owned,Playing now,,2 hrs 20 mins,27 Nov 22,,04 Dec 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"71 / 2,751","50 / 1,000",4 / 53,Owned,Playing now,,12 hrs 21 mins,03 Jun 22,,28 Nov 22
Escape Academy,https://www.trueachievements.com/game/Escape-Academy/achievements,xbox-one,"306 / 1,575","250 / 1,000",9 / 27,Owned,Playing now,,5 hrs 4 mins,06 Nov 22,,22 Nov 22
Dune: Spice Wars (Windows),https://www.trueachievements.com/game/Dune-Spice-Wars/achievements,windows,"5 / 6,485","5 / 1,000",1 / 26,Owned,Playing now,,34 mins,21 Nov 22,,21 Nov 22
