game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gears POP!,https://www.trueachievements.com/game/Gears-POP/achievements,windows,"1,730 / 3,581","700 / 1,000",40 / 45,Owned,Playing now,,,24 Aug 19,,30 Aug 20
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"436 / 6,720","165 / 1,290",16 / 100,Owned,Playing now,,,06 Sep 19,,29 Aug 20
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"237 / 1,917","175 / 1,000",3 / 26,Owned,Playing now,,725 hrs 58 mins,13 Jan 20,,28 Aug 20
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"31 / 1,764","30 / 1,000",3 / 49,Owned,Playing now,,,23 Aug 20,,24 Aug 20
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"1,842 / 2,920","875 / 1,000",25 / 27,Owned,Playing now,,,16 Aug 20,,21 Aug 20
Watch_Dogs,https://www.trueachievements.com/game/Watch-Dogs/achievements,xbox-one,"1,291 / 2,464","625 / 1,000",24 / 38,Owned,Playing now,,12 hrs 21 mins,14 Jul 20,,16 Aug 20
Call of Duty: Infinite Warfare,https://www.trueachievements.com/game/Call-of-Duty-Infinite-Warfare/achievements,xbox-one,"921 / 2,605","570 / 1,000",33 / 50,Owned,Playing now,,259 hrs 37 mins,02 Mar 17,,13 Jul 20
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"2,244 / 4,990","930 / 1,615",55 / 100,Owned,Playing now,,163 hrs 22 mins,24 May 16,,21 May 20
SUPERHOT,https://www.trueachievements.com/game/Superhot/achievements,xbox-one,"236 / 5,717","175 / 1,000",10 / 25,Owned,Playing now,,1 hr 46 mins,24 Apr 20,,28 Apr 20
Medal of Honor: Airborne,https://www.trueachievements.com/game/Medal-of-Honor-Airborne/achievements,xbox-360,"144 / 4,015","95 / 1,000",9 / 46,Owned,Playing now,,,06 Apr 20,,06 Apr 20
