game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"577 / 2,784","395 / 1,000",14 / 30,Owned,Playing now,,3 hrs 32 mins,18 Jun 22,,31 May 23
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"71 / 2,359","60 / 1,000",4 / 39,Owned,Playing now,,5 hrs 51 mins,08 Feb 21,,31 May 23
Eastern Exorcist,https://www.trueachievements.com/game/Eastern-Exorcist/achievements,xbox-one,"43 / 4,742","30 / 1,000",2 / 38,Owned,Playing now,,57 mins,23 May 23,,23 May 23
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"63 / 2,020","60 / 1,000",3 / 39,Owned,Playing now,,3 hrs 36 mins,17 Apr 23,,18 Apr 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"147 / 4,412","120 / 1,180",10 / 66,Owned,Playing now,,7 hrs 52 mins,15 Apr 23,,17 Apr 23
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"30 / 2,878","20 / 1,000",2 / 40,Owned,Playing now,,42 mins,26 Feb 23,,26 Feb 23
Chained Echoes,https://www.trueachievements.com/game/Chained-Echoes/achievements,xbox-one,"30 / 3,255","30 / 1,000",1 / 37,Owned,Playing now,,56 mins,26 Feb 23,,26 Feb 23
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"37 / 1,802","35 / 1,000",3 / 48,Owned,Playing now,,,23 Feb 23,,23 Feb 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 5,946","15 / 1,000",1 / 42,Owned,Playing now,,54 mins,23 Feb 23,,23 Feb 23
Monster Hunter Rise,https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,xbox-one,"10 / 7,283","10 / 1,000",1 / 50,Owned,Playing now,,11 hrs 45 mins,29 Jan 23,,29 Jan 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"91 / 6,004","65 / 1,000",7 / 61,Owned,Playing now,,3 hrs 32 mins,27 Jan 23,,28 Jan 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"433 / 2,278","290 / 1,060",14 / 63,Owned,Playing now,,19 hrs 27 mins,10 Oct 22,,27 Oct 22
Realm Royale Reforged,https://www.trueachievements.com/game/Realm-Royale/achievements,xbox-one,"189 / 2,551","140 / 1,000",6 / 20,Owned,Playing now,,57 mins,26 Aug 22,,26 Aug 22
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"1,249 / 2,051","840 / 1,240",12 / 23,Owned,Playing now,,7 hrs 8 mins,09 Jan 21,,26 Aug 22
Midnight Fight Express,https://www.trueachievements.com/game/Midnight-Fight-Express/achievements,xbox-one,"25 / 5,724","25 / 1,000",1 / 40,Owned,Playing now,,1 hr 3 mins,25 Aug 22,,25 Aug 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"448 / 5,210","250 / 1,000",14 / 28,Owned,Playing now,,21 hrs 38 mins,27 Jul 22,,16 Aug 22
Century: Age of Ashes,https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,xbox-one,"20 / 7,514","20 / 1,000",1 / 33,Owned,Playing now,,37 mins,10 Aug 22,,10 Aug 22
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"11 / 2,977","10 / 1,000",1 / 36,Owned,Playing now,,52 mins,20 Jun 22,,20 Jun 22
Young Souls,https://www.trueachievements.com/game/Young-Souls/achievements,xbox-one,"10 / 2,746","10 / 1,000",1 / 33,Owned,Playing now,,28 mins,17 Jun 22,,17 Jun 22
Roller Champions,https://www.trueachievements.com/game/Roller-Champions/achievements,xbox-one,"192 / 8,333","175 / 1,000",2 / 11,Owned,Playing now,,48 mins,25 May 22,,25 May 22
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"191 / 1,430","150 / 1,000",2 / 12,Owned,Playing now,,9 hrs 21 mins,14 May 21,,13 May 22
Life is Strange: True Colors,https://www.trueachievements.com/game/Life-is-Strange-True-Colors/achievements,xbox-one,"10 / 1,348","10 / 1,000",1 / 40,Owned,Playing now,,1 hr 58 mins,10 May 22,,10 May 22
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"869 / 3,243","510 / 1,175",26 / 56,Owned,Playing now,,,06 Aug 12,,25 Apr 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"33 / 2,287","30 / 1,000",2 / 44,Owned,Playing now,,4 hrs 35 mins,22 Feb 22,,22 Feb 22
Rogue Company,https://www.trueachievements.com/game/Rogue-Company/achievements,xbox-one,"1,977 / 1,977","1,000 / 1,000",20 / 20,Owned,Playing now,,321 hrs 29 mins,31 Jan 22,02 Feb 22,02 Feb 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"531 / 1,370",305 / 600,27 / 50,Owned,Playing now,,303 hrs 8 mins,15 Nov 21,,19 Jan 22
NieR: Automata BECOME AS GODS Edition,https://www.trueachievements.com/game/NieR-Automata/achievements,xbox-one,"49 / 2,236","45 / 1,000",3 / 48,Owned,Playing now,,25 hrs 49 mins,15 Jan 22,,16 Jan 22
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"15 / 3,637","15 / 1,000",1 / 50,Owned,Playing now,,22 mins,10 Jan 22,,10 Jan 22
Aliens: Fireteam Elite,https://www.trueachievements.com/game/Aliens-Fireteam-Elite/achievements,xbox-one,"35 / 5,006","30 / 1,000",2 / 42,Owned,Playing now,,1 hr 10 mins,24 Dec 21,,24 Dec 21
The Gunk,https://www.trueachievements.com/game/The-Gunk/achievements,xbox-one,"253 / 1,638","225 / 1,000",5 / 17,Owned,Playing now,,2 hrs 38 mins,22 Dec 21,,23 Dec 21
Outriders,https://www.trueachievements.com/game/Outriders/achievements,xbox-one,"78 / 2,026","65 / 1,000",4 / 43,Owned,Playing now,,5 hrs 34 mins,12 Apr 21,,26 Nov 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"646 / 3,642","385 / 1,000",24 / 55,Owned,Playing now,,33 hrs 21 mins,14 Oct 21,,26 Oct 21
Bleeding Edge,https://www.trueachievements.com/game/Bleeding-Edge/achievements,xbox-one,"182 / 2,204","150 / 1,000",3 / 10,Owned,Playing now,,2 hrs 25 mins,12 Jan 21,,17 Sep 21
The Ascent,https://www.trueachievements.com/game/The-Ascent/achievements,xbox-one,"20 / 2,811","15 / 1,000",2 / 46,Owned,Playing now,,33 mins,11 Sep 21,,11 Sep 21
Knockout City,https://www.trueachievements.com/game/Knockout-City/achievements,xbox-one,"67 / 3,836","40 / 1,000",3 / 50,Owned,Playing now,,14 hrs 57 mins,02 Jun 21,,02 Jun 21
Super Animal Royale,https://www.trueachievements.com/game/Super-Animal-Royale/achievements,xbox-one,"20 / 3,128","20 / 1,000",1 / 13,Owned,Playing now,,17 mins,02 Jun 21,,02 Jun 21
Second Extinction,https://www.trueachievements.com/game/Second-Extinction/achievements,xbox-one,"134 / 4,633","105 / 1,000",3 / 29,Owned,Playing now,,1 hr 25 mins,24 May 21,,24 May 21
Monster Hunter: World,https://www.trueachievements.com/game/Monster-Hunter-World/achievements,xbox-one,"218 / 4,868","135 / 1,000",11 / 49,Owned,Playing now,,16 hrs 27 mins,26 Dec 20,,03 Feb 21
The Medium,https://www.trueachievements.com/game/The-Medium/achievements,xbox-series-x-s,"20 / 1,689","20 / 1,000",1 / 39,Owned,Playing now,,32 mins,01 Feb 21,,01 Feb 21
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"11 / 4,977","10 / 1,000",1 / 68,Owned,Playing now,,5 hrs 7 mins,18 Jan 21,,18 Jan 21
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"63 / 2,572","60 / 1,000",4 / 37,Owned,Playing now,,1 hr 22 mins,16 Jan 21,,16 Jan 21
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"20 / 1,816","20 / 1,000",2 / 24,Owned,Playing now,,45 mins,02 Jan 21,,02 Jan 21
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"63 / 1,821","60 / 1,000",6 / 50,Owned,Playing now,,2 hrs 47 mins,27 Dec 20,,27 Dec 20
Remnant: From the Ashes,https://www.trueachievements.com/game/Remnant-From-the-Ashes/achievements,xbox-one,"42 / 2,206","40 / 1,000",3 / 40,Owned,Playing now,,,27 Dec 20,,27 Dec 20
Final Fantasy VII,https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,xbox-one,"30 / 2,638","30 / 1,000",2 / 31,Owned,Playing now,,,27 Dec 20,,27 Dec 20
Fable II,https://www.trueachievements.com/game/Fable-2/achievements,xbox-360,"1,441 / 1,490","980 / 1,000",48 / 50,Owned,,,,22 Feb 13,,27 Dec 20
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"65 / 14,226","45 / 4,000",6 / 400,Owned,Playing now,,3 hrs 55 mins,26 Dec 20,,26 Dec 20
Dauntless,https://www.trueachievements.com/game/Dauntless/achievements,xbox-one,"131 / 3,903","125 / 1,000",2 / 10,Owned,Playing now,,,03 Jun 19,,03 Jun 19
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"54 / 3,395","40 / 1,250",2 / 56,Owned,Playing now,,2 hrs 35 mins,05 Jan 16,,05 Jan 16
Saints Row: The Third,https://www.trueachievements.com/game/Saints-Row-The-Third/achievements,xbox-360,"283 / 2,025","200 / 1,200",16 / 70,Owned,,,,30 Sep 12,,08 Aug 15
NHL 15 (Xbox 360),https://www.trueachievements.com/game/NHL-15-Xbox-360/achievements,xbox-360,"130 / 3,822","90 / 1,000",4 / 49,Owned,Playing now,,,04 Aug 15,,06 Aug 15
Super Street Fighter IV,https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,xbox-360,"25 / 4,858","20 / 1,000",2 / 50,Owned,Playing now,,,21 Jul 15,,01 Aug 15
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"242 / 1,786","175 / 1,000",10 / 50,Owned,,,,25 Feb 13,,30 Jul 15
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"3,421 / 4,146","1,777 / 1,970",77 / 84,Owned,,,,06 Nov 12,,24 Jul 15
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"206 / 2,474","140 / 1,000",11 / 49,Owned,Playing now,,,08 May 14,,14 Jul 15
Sleeping Dogs,https://www.trueachievements.com/game/Sleeping-Dogs/achievements,xbox-360,"31 / 1,914","30 / 1,000",4 / 50,Owned,,,,08 Jan 14,,14 Jul 15
