game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Terraria,https://www.trueachievements.com/game/Terraria/achievements,xbox-one,"3,547 / 4,865","1,100 / 1,290",33 / 39,Owned,,,95 hrs 4 mins,04 Apr 20,,07 May 23
Bully: Scholarship Edition,https://www.trueachievements.com/game/Bully-Scholarship-Edition/achievements,xbox-360,"120 / 1,697","110 / 1,000",5 / 38,Owned,Playing now,,,10 Apr 23,,01 May 23
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"118 / 6,073","110 / 1,000",10 / 45,Owned,Playing now,,529 hrs 26 mins,01 May 21,,08 Apr 23
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"34 / 1,786","30 / 1,000",2 / 50,Owned,Playing now,,,24 Jan 23,,01 Apr 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"51 / 3,511","50 / 1,000",1 / 47,Owned,Playing now,,,03 May 22,,01 Apr 23
Tony Hawk's Pro Skater 1 + 2,https://www.trueachievements.com/game/Tony-Hawks-Pro-Skater-1-2/achievements,xbox-one,"570 / 3,505","330 / 1,000",19 / 36,Owned,Playing now,,3 hrs 34 mins,17 Feb 23,,30 Mar 23
KINGDOM HEARTS Melody of Memory,https://www.trueachievements.com/game/Kingdom-Hearts-Melody-of-Memory/achievements,xbox-one,"761 / 1,726","540 / 1,000",26 / 44,Owned,Playing now,,17 hrs 52 mins,01 Jan 22,,27 Mar 23
GoldenEye 007,https://www.trueachievements.com/game/GoldenEye-007/achievements,xbox-one,"56 / 3,246","40 / 1,000",2 / 55,Owned,Playing now,,28 mins,17 Feb 23,,17 Feb 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"801 / 2,661","470 / 1,000",25 / 34,Owned,Playing now,,10 hrs 48 mins,21 Jun 22,,05 Jan 23
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"97 / 3,543","65 / 1,000",3 / 47,Owned,Playing now,,10 hrs 20 mins,19 Aug 22,,29 Aug 22
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"83 / 1,891","75 / 1,000",7 / 50,Owned,Playing now,,,09 Jul 22,,04 Aug 22
Sonic Mania,https://www.trueachievements.com/game/Sonic-Mania/achievements,xbox-one,"455 / 2,992","250 / 1,000",5 / 18,Owned,,,5 hrs 33 mins,02 May 20,,25 Jul 22
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"55 / 1,595",50 / 830,2 / 44,Owned,Playing now,,26 mins,20 Jul 22,,22 Jul 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"6,776 / 6,775","2,820 / 2,820",122 / 122,Owned,Playing now,,240 hrs 3 mins,11 May 19,11 Jul 22,11 Jul 22
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"7,485 / 8,678","2,420 / 2,760",104 / 118,Owned,Playing now,,99 hrs 45 mins,13 Jul 21,,05 Jun 22
Plants vs. Zombies Garden Warfare,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare/achievements,xbox-one,"79 / 3,046","55 / 1,250",5 / 55,Owned,,,,03 May 21,,25 May 22
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"235 / 2,554","120 / 1,000",6 / 51,Owned,,,,01 Jun 19,,24 May 22
