game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Disc Room,https://www.trueachievements.com/game/Disc-Room/achievements,xbox-one,"989 / 2,764","455 / 1,000",15 / 35,Owned,Playing now,,8 hrs 36 mins,30 Oct 22,,02 Apr 23
Little Nightmares,https://www.trueachievements.com/game/Little-Nightmares/achievements,xbox-one,"61 / 3,051","50 / 1,000",1 / 13,Owned,Playing now,,41 mins,09 Oct 22,,09 Oct 22
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"20 / 3,155","20 / 1,000",1 / 20,Owned,Playing now,,2 hrs 29 mins,28 Dec 21,,28 Dec 21
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"289 / 2,551","210 / 1,000",6 / 44,Owned,Playing now,,155 hrs 14 mins,06 Nov 21,,27 Dec 21
eFootball PES 2021 SEASON UPDATE,https://www.trueachievements.com/game/eFootball-PES-2021/achievements,xbox-one,"89 / 3,273","60 / 1,000",6 / 49,Owned,Playing now,,2 hrs 28 mins,03 Dec 21,,04 Dec 21
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"61 / 2,554","40 / 1,000",3 / 51,Owned,Playing now,,,26 Jun 21,,15 Nov 21
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"10 / 3,698","10 / 1,750",1 / 79,Owned,Playing now,,51 mins,17 Oct 21,,17 Oct 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"107 / 3,642","85 / 1,000",6 / 55,Owned,Playing now,,4 hrs 8 mins,15 Oct 21,,15 Oct 21
Plants vs. Zombies: Battle for Neighborville,https://www.trueachievements.com/game/Plants-vs-Zombies-Battle-for-Neighborville/achievements,xbox-one,"136 / 2,768","75 / 1,000",5 / 50,Owned,Playing now,,13 hrs 22 mins,25 Jul 21,,26 Jul 21
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"92 / 4,530","55 / 1,250",5 / 60,Owned,Playing now,,408 hrs 50 mins,29 Aug 18,,27 Aug 20
Assassin's Creed Syndicate,https://www.trueachievements.com/game/Assassins-Creed-Syndicate/achievements,xbox-one,"283 / 1,928","205 / 1,000",12 / 49,Owned,Playing now,,54 hrs 7 mins,16 Apr 18,,28 Apr 20
Deadfall Adventures,https://www.trueachievements.com/game/Deadfall-Adventures/achievements,xbox-360,"57 / 6,133","35 / 1,000",3 / 46,Owned,Playing now,,,29 Dec 17,,09 Nov 19
Friday the 13th: The Game,https://www.trueachievements.com/game/Friday-the-13th-The-Game/achievements,xbox-one,"10 / 8,245","10 / 1,000",1 / 52,Owned,Playing now,,24 mins,19 Oct 19,,19 Oct 19
