game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Devil May Cry 5 Special Edition,https://www.trueachievements.com/game/Devil-May-Cry-5-Special-Edition/achievements,xbox-series-x-s,"184 / 5,325","130 / 1,000",13 / 54,Owned,Playing now,,6 hrs 36 mins,05 May 23,,06 Jun 23
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"2,130 / 11,641","890 / 2,830",59 / 153,Owned,Playing now,,110 hrs 23 mins,21 Dec 22,,30 May 23
Persona 4 Golden,https://www.trueachievements.com/game/Persona-4-Golden/achievements,xbox-one,"213 / 2,514","160 / 1,000",11 / 49,Owned,Playing now,,21 hrs 58 mins,13 May 23,,17 May 23
Moonlighter,https://www.trueachievements.com/game/Moonlighter/achievements,xbox-one,"367 / 4,317","216 / 1,000",18 / 57,Owned,,,32 hrs 1 min,01 Jun 20,,22 Apr 23
Coffee Talk Episode 2: Hibiscus and Butterfly,https://www.trueachievements.com/game/Coffee-Talk-Episode-2/achievements,xbox-one,"485 / 2,473","260 / 1,000",17 / 53,Owned,Playing now,,5 hrs 8 mins,21 Apr 23,,21 Apr 23
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"668 / 1,797","550 / 1,000",8 / 11,Owned,,,37 hrs 37 mins,25 Nov 16,,09 Apr 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"15 / 2,696","15 / 1,000",1 / 51,Owned,Playing now,,20 mins,23 Mar 23,,23 Mar 23
Soul Hackers 2,https://www.trueachievements.com/game/Soul-Hackers-2/achievements,xbox-one,"96 / 4,029","70 / 1,000",7 / 47,Owned,Playing now,,3 hrs 30 mins,20 Mar 23,,22 Mar 23
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"1,960 / 2,051","1,200 / 1,240",21 / 23,Owned,Playing now,,721 hrs 46 mins,09 Oct 19,,03 Mar 23
Persona 3 Portable,https://www.trueachievements.com/game/Persona-3-Portable/achievements,xbox-one,"939 / 3,344","485 / 1,000",26 / 35,Owned,Playing now,,67 hrs 39 mins,19 Jan 23,,01 Mar 23
