game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"176 / 2,514","150 / 1,000",12 / 53,Owned,Playing now,,5 hrs 46 mins,10 Nov 21,,14 Nov 21
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"347 / 15,890","220 / 2,000",19 / 103,Owned,Playing now,,19 hrs 30 mins,16 Jun 18,,14 Aug 21
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"34 / 3,893","30 / 1,000",2 / 62,Owned,Playing now,,6 hrs 18 mins,30 May 18,,30 May 20
Hellblade: Senua's Sacrifice,https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,xbox-one,"1,632 / 1,632","1,000 / 1,000",14 / 14,Owned,Playing now,,9 hrs 35 mins,22 Mar 20,23 Mar 20,23 Mar 20
Ori and the Will of the Wisps,https://www.trueachievements.com/game/Ori-and-the-Will-of-the-Wisps/achievements,xbox-one,"17 / 3,434","15 / 1,000",2 / 37,Owned,Playing now,,2 hrs 54 mins,20 Mar 20,,22 Mar 20
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"48 / 2,873","45 / 1,000",2 / 26,Owned,Playing now,,30 mins,22 Mar 20,,22 Mar 20
Child of Light,https://www.trueachievements.com/game/Child-of-Light/achievements,xbox-one,"1,756 / 1,756","1,000 / 1,000",27 / 27,Owned,Playing now,,25 hrs 13 mins,26 Nov 16,27 Nov 16,22 Mar 20
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"10 / 1,998","10 / 1,000",2 / 58,Owned,Playing now,,20 mins,15 Dec 18,,15 Dec 18
Watch_Dogs,https://www.trueachievements.com/game/Watch-Dogs/achievements,xbox-one,"15 / 2,464","15 / 1,000",1 / 38,Owned,Playing now,,30 mins,28 Nov 18,,28 Nov 18
Race The Sun,https://www.trueachievements.com/game/Race-The-Sun/achievements,xbox-one,"10 / 12,086","10 / 1,000",1 / 25,Owned,Playing now,,7 mins,25 Nov 18,,25 Nov 18
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"319 / 2,036","270 / 1,000",21 / 64,Owned,Playing now,,18 hrs 26 mins,02 Jun 18,,14 Nov 18
Overcooked,https://www.trueachievements.com/game/Overcooked/achievements,xbox-one,"1,195 / 2,321","651 / 1,000",9 / 11,Owned,Playing now,,22 hrs 32 mins,13 Jun 18,,09 Nov 18
Lovers in a Dangerous Spacetime,https://www.trueachievements.com/game/Lovers-in-a-Dangerous-Spacetime/achievements,xbox-one,"366 / 3,760","190 / 1,000",7 / 28,Owned,Playing now,,4 hrs 1 min,28 May 18,,14 Oct 18
So Many Me,https://www.trueachievements.com/game/So-Many-Me/achievements,xbox-one,"10 / 4,368","10 / 1,000",1 / 21,Owned,Playing now,,18 mins,14 Oct 18,,14 Oct 18
Death Squared,https://www.trueachievements.com/game/Death-Squared/achievements,xbox-one,"92 / 3,027","50 / 1,000",4 / 25,Owned,Playing now,,2 hrs 6 mins,18 Aug 18,,16 Sep 18
Castles,https://www.trueachievements.com/game/Castles/achievements,xbox-one,"45 / 3,518","40 / 1,000",2 / 24,Owned,Playing now,,,09 Jun 18,,09 Jun 18
