game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"350 / 2,549","240 / 1,000",15 / 44,Owned,,,18 hrs 11 mins,13 Nov 22,,15 Nov 22
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"88 / 1,764","70 / 1,000",7 / 49,Owned,,,,08 Nov 22,,11 Nov 22
The Evil Within,https://www.trueachievements.com/game/The-Evil-Within/achievements,xbox-one,"177 / 2,879","140 / 1,000",9 / 41,Owned,,,,30 Oct 22,,03 Nov 22
Mortal Kombat 11,https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,xbox-one,"87 / 2,265","70 / 1,000",5 / 58,Owned,,,17 hrs 38 mins,09 Jan 22,,30 Oct 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"1,346 / 4,875","760 / 1,755",46 / 96,Owned,,,445 hrs 50 mins,10 Nov 21,,20 Oct 22
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"555 / 3,394","300 / 1,000",9 / 37,Owned,,,300 hrs 29 mins,25 Jun 22,,01 Oct 22
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"179 / 1,797","160 / 1,000",4 / 11,Owned,,,34 hrs 45 mins,30 Apr 22,,19 Sep 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"328 / 4,127","255 / 1,950",17 / 87,Owned,,,73 hrs 59 mins,25 Sep 21,,28 Jul 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"317 / 2,661","220 / 1,000",16 / 34,Owned,,,12 hrs 43 mins,21 Jun 22,,05 Jul 22
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"712 / 1,971","425 / 1,000",9 / 19,Owned,,,10 hrs 8 mins,08 Aug 21,,21 Jun 22
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"947 / 3,011","715 / 1,750",34 / 63,Owned,,,17 hrs 56 mins,14 Oct 20,,21 May 22
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"73 / 2,653","55 / 1,000",2 / 24,Owned,,,3 hrs 8 mins,20 May 22,,20 May 22
FIFA 21 (Xbox One),https://www.trueachievements.com/game/FIFA-21-Xbox-One/achievements,xbox-one,"587 / 2,885","285 / 1,000",10 / 36,Owned,,,236 hrs 54 mins,11 Nov 20,,28 Apr 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"966 / 7,633","550 / 2,360",37 / 116,Owned,,,230 hrs 30 mins,21 Oct 20,,08 Nov 21
Surgeon Simulator 2,https://www.trueachievements.com/game/Surgeon-Simulator-2/achievements,xbox-one,"128 / 15,412","120 / 1,000",3 / 30,Owned,,,6 hrs 13 mins,22 Sep 21,,23 Sep 21
Outlast 2,https://www.trueachievements.com/game/Outlast-2/achievements,xbox-one,"15 / 5,624","15 / 1,000",1 / 24,Owned,,,3 hrs 31 mins,29 May 21,,29 May 21
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"95 / 6,073","90 / 1,000",9 / 45,Owned,,,2904 hrs 31 mins,02 May 21,,03 May 21
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"25 / 1,910","25 / 1,000",1 / 17,Owned,,,9 mins,25 Apr 21,,25 Apr 21
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"504 / 6,477","275 / 1,500",14 / 67,Owned,,,380 hrs 9 mins,19 Nov 20,,13 Apr 21
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"39 / 2,482","30 / 1,000",2 / 65,Owned,,,2 hrs 56 mins,12 Dec 20,,03 Apr 21
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"15 / 3,893","15 / 1,000",1 / 62,Owned,,,53 mins,11 Mar 21,,11 Mar 21
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"377 / 2,302","290 / 1,000",14 / 47,Owned,,,9 hrs 15 mins,31 Oct 20,,14 Jan 21
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"36 / 2,020","35 / 1,000",2 / 39,Owned,,,1 hr 49 mins,15 Dec 20,,17 Dec 20
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"30 / 1,487","25 / 1,000",1 / 48,Owned,,,24 mins,09 Dec 20,,09 Dec 20
FIFA 20,https://www.trueachievements.com/game/FIFA-20/achievements,xbox-one,"685 / 3,425","350 / 1,000",13 / 31,Owned,,,320 hrs 11 mins,14 Oct 20,,07 Dec 20
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"641 / 2,572","410 / 1,000",21 / 37,Owned,,,19 hrs 5 mins,27 Oct 20,,18 Nov 20
Battlefield Hardline,https://www.trueachievements.com/game/Battlefield-Hardline/achievements,xbox-one,"41 / 2,347","40 / 1,000",2 / 40,Owned,,,,13 Nov 20,,13 Nov 20
NBA LIVE 19,https://www.trueachievements.com/game/NBA-LIVE-19/achievements,xbox-one,"39 / 6,544","35 / 1,000",2 / 29,Owned,,,2 hrs 25 mins,13 Nov 20,,13 Nov 20
EA SPORTS UFC 2,https://www.trueachievements.com/game/EA-SPORTS-UFC-2/achievements,xbox-one,"16 / 3,947","15 / 1,000",1 / 33,Owned,,,,13 Nov 20,,13 Nov 20
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"51 / 3,511","50 / 1,000",1 / 47,Owned,,,,12 Nov 20,,12 Nov 20
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"30 / 1,999","30 / 1,000",3 / 58,Owned,,,,07 Nov 20,,07 Nov 20
Mortal Kombat X,https://www.trueachievements.com/game/Mortal-Kombat-X/achievements,xbox-one,"180 / 4,664","135 / 1,000",11 / 60,Owned,,,,20 Oct 20,,01 Nov 20
Kinect Sports,https://www.trueachievements.com/game/Kinect-Sports/achievements,xbox-360,"386 / 3,325","295 / 1,000",14 / 50,Owned,,,,30 Sep 20,,02 Oct 20
