game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Crash Bandicoot N. Sane Trilogy,https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,xbox-one,"185 / 9,166","120 / 3,000",6 / 77,Owned,,,,08 Dec 19,,27 Oct 20
Rush: A Disney Pixar Adventure,https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,xbox-one,"332 / 3,362","205 / 1,000",12 / 50,Owned,,,,08 Dec 19,,23 Oct 20
Asura's Wrath,https://www.trueachievements.com/game/Asuras-Wrath/achievements,xbox-360,"115 / 2,507","100 / 1,000",7 / 45,Owned,,,,13 Apr 20,,13 Apr 20
Super Street Fighter IV,https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,xbox-360,"104 / 4,858","50 / 1,000",4 / 50,Owned,,,,01 Apr 20,,06 Apr 20
Ghostbusters: The Video Game,https://www.trueachievements.com/game/Ghostbusters/achievements,xbox-360,"97 / 2,259","95 / 1,000",8 / 50,Owned,,,,10 Feb 20,,10 Feb 20
Hotel Transylvania 3: Monsters Overboard,https://www.trueachievements.com/game/Hotel-Transylvania/achievements,xbox-one,"0 / 1,776","0 / 1,000",1 / 25,Owned,,,,09 Feb 20,,09 Feb 20
Race with Ryan,https://www.trueachievements.com/game/Race-with-Ryan/achievements,xbox-one,"64 / 1,631","60 / 1,000",2 / 23,Owned,,,,05 Feb 20,,08 Feb 20
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"16 / 2,297","15 / 1,000",1 / 50,Owned,,,,15 Dec 19,,15 Dec 19
Adventure Time: Finn and Jake Investigations,https://www.trueachievements.com/game/Adventure-Time-Finn-and-Jake-Investigations/achievements,xbox-one,"64 / 1,361","60 / 1,000",1 / 24,Owned,,,,15 Dec 19,,15 Dec 19
Minecraft: Story Mode - A Telltale Games Series,https://www.trueachievements.com/game/Minecraft-Story-Mode-A-Telltale-Games-Series/achievements,xbox-one,"1,773 / 1,894","1,315 / 1,375",48 / 50,Owned,,,,09 May 19,,27 Jun 19
Marvel vs. Capcom: Infinite,https://www.trueachievements.com/game/Marvel-vs-Capcom-Infinite/achievements,xbox-one,"151 / 6,224","90 / 1,000",5 / 47,Owned,,,,30 Sep 18,,27 Jun 19
