game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"2,717 / 4,875","1,240 / 1,755",71 / 96,Owned,Playing now,,284 hrs 22 mins,04 Nov 21,,30 Oct 22
Century: Age of Ashes,https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,xbox-one,"20 / 7,514","20 / 1,000",1 / 33,Owned,Playing now,,21 mins,12 Mar 22,,12 Mar 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"3,952 / 10,903","1,650 / 3,560",81 / 176,Owned,Playing now,,185 hrs 38 mins,27 Sep 18,,10 Jul 21
Ori and the Will of the Wisps,https://www.trueachievements.com/game/Ori-and-the-Will-of-the-Wisps/achievements,xbox-one,"5 / 3,428","5 / 1,000",1 / 37,Owned,Playing now,,4 hrs 10 mins,14 Mar 20,,14 Mar 20
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"5 / 4,977","5 / 1,000",1 / 68,Owned,Playing now,,1 hr 18 mins,23 Sep 19,,23 Sep 19
Forza Street,https://www.trueachievements.com/game/Forza-Street/achievements,windows,"105 / 2,553","100 / 1,000",2 / 12,Owned,Playing now,,36 mins,11 May 19,,28 May 19
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"2,089 / 5,850","1,115 / 2,500",66 / 131,Owned,Playing now,,345 hrs 53 mins,28 Sep 16,,28 Jul 18
Asphalt 9: Legends,https://www.trueachievements.com/game/Asphalt-9/achievements,xbox-one,"10 / 4,554","10 / 1,000",2 / 20,Owned,Playing now,,3 hrs 30 mins,26 Jul 18,,26 Jul 18
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"440 / 3,559","250 / 1,000",20 / 62,Owned,Playing now,,31 hrs 58 mins,29 Sep 17,,13 Jul 18
War Planet Online: Global Conquest (Windows),https://www.trueachievements.com/game/War-Planet-Online-Global-Conquest/achievements,windows,"1,324 / 1,324","1,000 / 1,000",10 / 10,Owned,Playing now,,213 hrs 16 mins,23 Sep 17,10 Oct 17,10 Oct 17
Halo Wars 2,https://www.trueachievements.com/game/Halo-Wars-2/achievements,xbox-one,"426 / 3,366","280 / 1,090",24 / 63,Owned,Playing now,,7 hrs 48 mins,16 Feb 17,,24 Jul 17
Batman: The Telltale Series (Windows),https://www.trueachievements.com/game/BATMAN-The-Telltale-Series-Windows/achievements,windows,65 / 230,60 / 200,3 / 6,Owned,Playing now,,39 mins,26 Nov 16,,26 Nov 16
Forza Motorsport 6: Apex (Windows),https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,windows,"1,646 / 2,539","715 / 1,000",16 / 24,Owned,,,31 hrs 45 mins,06 May 16,,19 Nov 16
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,252 / 475,140 / 200,16 / 20,Owned,,,,27 Jun 15,,01 Jul 15
