game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"126 / 2,907","100 / 1,200",8 / 62,Owned,,,7 hrs 26 mins,10 Oct 19,,27 Oct 21
Age of Empires III: Definitive Edition (Windows),https://www.trueachievements.com/game/Age-of-Empires-III-Definitive-Edition/achievements,windows,"10 / 3,621","10 / 1,000",1 / 42,Owned,,,1 hr 25 mins,16 Oct 20,,16 Oct 20
The Outer Worlds (Windows),https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,windows,"86 / 3,223","75 / 1,000",3 / 48,Owned,,,3 hrs 22 mins,27 Oct 19,,04 Sep 20
DiRT Rally 2.0 (Windows),https://www.trueachievements.com/game/DiRT-Rally-2-Windows/achievements,windows,"14 / 3,847","10 / 1,000",1 / 50,Owned,,,25 mins,05 Mar 20,,05 Mar 20
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"58 / 20,154","45 / 5,500",6 / 550,Owned,,,1 hr 16 mins,31 Jan 20,,01 Feb 20
SUPERHOT (Windows),https://www.trueachievements.com/game/SUPERHOT-Windows/achievements,windows,"26 / 7,090","25 / 1,000",1 / 24,Owned,,,23 mins,10 Oct 19,,10 Oct 19
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"42 / 1,595",40 / 830,4 / 44,Owned,,,58 mins,05 Sep 17,,05 Sep 17
Forza Motorsport 6: Apex (Windows),https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,windows,"916 / 2,539","430 / 1,000",10 / 24,Owned,,,,06 May 16,,22 Jun 16
Project Spark (Windows),https://www.trueachievements.com/game/Project-Spark-Win-8/achievements,windows,"183 / 3,011","100 / 1,000",15 / 91,Owned,,,,22 Nov 14,,03 Mar 16
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,10 / 475,10 / 200,1 / 20,Owned,,,,03 Mar 16,,03 Mar 16
Age of Empires: Castle Siege (Windows),https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-8/achievements,windows,5 / 510,5 / 200,1 / 20,Owned,,,,06 Dec 14,,06 Dec 14
Grand Theft Auto IV (GFWL),https://www.trueachievements.com/game/Grand-Theft-Auto-4-PC/achievements,games-for-windows-live,"19 / 5,211","15 / 1,250",3 / 55,Owned,,,,25 Sep 14,,22 Nov 14
