game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Chained Echoes,https://www.trueachievements.com/game/Chained-Echoes/achievements,xbox-one,"232 / 3,255","130 / 1,000",8 / 37,Owned,Playing now,,19 hrs 6 mins,29 Dec 22,,11 Jan 23
It Takes Two,https://www.trueachievements.com/game/It-Takes-Two/achievements,xbox-one,"340 / 1,785","275 / 1,000",6 / 20,Owned,Playing now,,12 hrs 26 mins,11 Feb 22,,27 Dec 22
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"212 / 2,013","180 / 1,200",31 / 140,Owned,Playing now,,5 hrs 42 mins,08 Dec 22,,14 Dec 22
Pentiment,https://www.trueachievements.com/game/Pentiment/achievements,xbox-one,"790 / 2,056","525 / 1,000",20 / 41,Owned,Playing now,,17 hrs 49 mins,30 Nov 22,,06 Dec 22
Ghost Song,https://www.trueachievements.com/game/Ghost-Song/achievements,xbox-one,"96 / 2,512","80 / 1,000",6 / 42,Owned,Playing now,,9 hrs 36 mins,22 Nov 22,,28 Nov 22
Persona 5 Royal,https://www.trueachievements.com/game/Persona-5-Royal/achievements,xbox-one,"15 / 1,705","15 / 1,000",1 / 52,Owned,Playing now,,1 hr 42 mins,21 Nov 22,,21 Nov 22
eFootball 2023,https://www.trueachievements.com/game/eFootball/achievements,xbox-one,"286 / 1,691","240 / 1,000",6 / 17,Owned,Playing now,,20 mins,06 Oct 22,,06 Oct 22
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"665 / 1,810","515 / 1,000",23 / 50,Owned,Playing now,,28 hrs 24 mins,08 Jul 22,,27 Jul 22
F1 2021,https://www.trueachievements.com/game/F1-2021/achievements,xbox-one,"174 / 3,022","130 / 1,000",8 / 50,Owned,Playing now,,19 hrs 35 mins,20 Jun 22,,05 Jul 22
Dark Souls: Remastered,https://www.trueachievements.com/game/Dark-Souls-Remastered/achievements,xbox-one,"63 / 1,883","60 / 1,000",4 / 41,Owned,Playing now,,5 hrs 12 mins,01 Jul 22,,01 Jul 22
Project Wingman,https://www.trueachievements.com/game/Project-Wingman/achievements,xbox-one,"20 / 3,730","20 / 1,000",1 / 40,Owned,,,27 mins,27 Jun 22,,27 Jun 22
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,https://www.trueachievements.com/game/Dragon-Quest-XI-S-Echoes-of-an-Elusive-Age/achievements,xbox-one,"35 / 3,138","30 / 1,000",3 / 57,Owned,Playing now,,3 hrs 41 mins,22 Jun 22,,23 Jun 22
FAR: Changing Tides,https://www.trueachievements.com/game/FAR-Changing-Tides/achievements,xbox-one,"35 / 3,167","35 / 1,000",2 / 35,Owned,Playing now,,15 mins,19 Jun 22,,19 Jun 22
Wolfenstein II: The New Colossus,https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,xbox-one,"10 / 4,025","10 / 1,000",1 / 50,Owned,Playing now,,24 mins,19 Jun 22,,19 Jun 22
Nobody Saves the World,https://www.trueachievements.com/game/Nobody-Saves-the-World/achievements,xbox-one,"15 / 2,406","15 / 1,000",1 / 33,Owned,Playing now,,24 mins,13 Jun 22,,13 Jun 22
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"31 / 1,595","30 / 1,000",2 / 50,Owned,Playing now,,4 hrs 0 mins,08 Jun 22,,09 Jun 22
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"1,054 / 1,529","770 / 1,000",37 / 42,Owned,Playing now,,222 hrs 52 mins,25 Feb 22,,27 May 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"15 / 2,287","15 / 1,000",1 / 44,Owned,Playing now,,24 mins,16 Feb 22,,16 Feb 22
HITMAN 3,https://www.trueachievements.com/game/HITMAN-3/achievements,xbox-one,"128 / 3,716","95 / 1,195",6 / 60,Owned,Playing now,,2 hrs 38 mins,08 Feb 22,,11 Feb 22
Death's Door,https://www.trueachievements.com/game/Deaths-Door/achievements,xbox-one,"1,186 / 1,660","775 / 1,000",18 / 24,Owned,Playing now,,17 hrs 58 mins,21 Jan 22,,07 Feb 22
Remnant: From the Ashes,https://www.trueachievements.com/game/Remnant-From-the-Ashes/achievements,xbox-one,"42 / 2,206","40 / 1,000",3 / 40,Owned,Playing now,,2 hrs 9 mins,19 Dec 21,,19 Dec 21
Firewatch,https://www.trueachievements.com/game/Firewatch/achievements,xbox-one,"100 / 1,252","100 / 1,000",1 / 10,Owned,Playing now,,57 mins,17 Dec 21,,17 Dec 21
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"91 / 6,742","70 / 1,055",7 / 67,Owned,Playing now,,3 hrs 4 mins,07 Dec 21,,13 Dec 21
A Plague Tale: Innocence,https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,xbox-one,"541 / 1,873","415 / 1,000",20 / 35,Owned,Playing now,,11 hrs 59 mins,11 Nov 21,,10 Dec 21
Exo One,https://www.trueachievements.com/game/Exo-One/achievements,xbox-one,"20 / 5,812","20 / 1,000",1 / 28,Owned,Playing now,,47 mins,24 Nov 21,,24 Nov 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"79 / 2,514","70 / 1,000",6 / 53,Owned,Playing now,,3 hrs 14 mins,09 Nov 21,,10 Nov 21
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"111 / 1,484","90 / 1,000",5 / 25,Owned,Playing now,,1 hr 1 min,03 Nov 21,,03 Nov 21
Psychonauts 2,https://www.trueachievements.com/game/Psychonauts-2/achievements,xbox-one,"230 / 1,988","180 / 1,000",12 / 57,Owned,Playing now,,4 hrs 11 mins,03 Sep 21,,11 Oct 21
Hades,https://www.trueachievements.com/game/Hades/achievements,xbox-one,"1,006 / 2,458","525 / 1,000",27 / 49,Owned,Playing now,,62 hrs 28 mins,19 Aug 21,,09 Oct 21
