game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Guilty Gear -Strive-,https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,xbox-one,"17 / 4,424","15 / 1,000",1 / 38,Owned,Playing now,,12 mins,02 May 23,,02 May 23
Trüberbrook,https://www.trueachievements.com/game/Truberbrook/achievements,xbox-one,"250 / 1,478","210 / 1,000",9 / 34,Owned,Playing now,,9 hrs 24 mins,19 Mar 23,,27 Mar 23
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"151 / 2,907","120 / 1,200",10 / 62,Owned,,,27 hrs 8 mins,15 Sep 19,,11 Feb 23
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"453 / 2,983","220 / 1,000",17 / 36,Owned,Playing now,,22 hrs 10 mins,02 Dec 22,,30 Dec 22
Return to Monkey Island,https://www.trueachievements.com/game/Return-to-Monkey-Island/achievements,xbox-series-x-s,"24 / 3,147","20 / 1,000",2 / 39,Owned,,,1 hr 5 mins,13 Nov 22,,13 Nov 22
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"114 / 2,453","100 / 1,000",1 / 24,Owned,,,194 hrs 3 mins,08 Nov 22,,08 Nov 22
Metal Slug 3,https://www.trueachievements.com/game/Metal-Slug-3/achievements,xbox-360,"10 / 1,477",10 / 200,1 / 12,Owned,,,,25 Aug 22,,25 Aug 22
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"49 / 3,543","40 / 1,000",3 / 47,Owned,,,5 hrs 10 mins,19 Jul 22,,19 Jul 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"268 / 1,370",170 / 600,14 / 50,Owned,,,12 hrs 35 mins,16 Nov 21,,13 May 22
Final Fantasy X/X-2 HD Remaster,https://www.trueachievements.com/game/Final-Fantasy-X-X2-HD-Remaster/achievements,xbox-one,"10 / 4,592","10 / 1,000",1 / 67,Owned,,,2 hrs 18 mins,22 Jan 22,,22 Jan 22
Tetris Effect: Connected,https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,xbox-one,"55 / 6,777","50 / 1,000",3 / 42,Owned,,,2 hrs 24 mins,17 Jan 22,,17 Jan 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"839 / 17,784","535 / 5,000",65 / 500,Owned,,,54 hrs 30 mins,19 Sep 19,,01 Jan 22
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"5 / 3,212","5 / 1,000",1 / 42,Owned,,,35 mins,23 Dec 21,,23 Dec 21
Zone of the Enders HD Collection,https://www.trueachievements.com/game/Zone-of-the-Enders-HD-Collection/achievements,xbox-360,"49 / 3,780","40 / 1,000",3 / 50,Owned,,,,08 Sep 21,,10 Oct 21
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"492 / 2,065","370 / 1,000",23 / 45,Owned,,,135 hrs 20 mins,28 Apr 20,,22 Jan 21
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"52 / 1,821","50 / 1,000",5 / 50,Owned,,,5 hrs 11 mins,16 Feb 20,,21 Jan 21
CODE VEIN,https://www.trueachievements.com/game/CODE-VEIN/achievements,xbox-one,"15 / 3,231","15 / 1,000",1 / 43,Owned,,,1 hr 3 mins,29 Dec 20,,29 Dec 20
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"15 / 2,292","15 / 1,000",1 / 44,Owned,,,8 hrs 35 mins,14 Dec 20,,14 Dec 20
Sekiro: Shadows Die Twice - GOTY Edition,https://www.trueachievements.com/game/Sekiro-Shadows-Die-Twice/achievements,xbox-one,"61 / 2,280","60 / 1,000",3 / 34,Owned,,,6 hrs 44 mins,23 Nov 20,,23 Nov 20
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"5 / 1,837","5 / 1,000",1 / 50,Owned,,,36 mins,13 Sep 20,,13 Sep 20
Dead Cells,https://www.trueachievements.com/game/Dead-Cells/achievements,xbox-one,"108 / 3,808","90 / 1,000",8 / 53,Owned,,,5 hrs 5 mins,01 Sep 20,,12 Sep 20
What Remains of Edith Finch,https://www.trueachievements.com/game/What-Remains-of-Edith-Finch/achievements,xbox-one,"115 / 1,176","100 / 1,000",1 / 10,Owned,,,2 hrs 17 mins,07 Jul 20,,07 Jul 20
Yakuza 0,https://www.trueachievements.com/game/Yakuza-0/achievements,xbox-one,"34 / 4,694","30 / 1,000",2 / 55,Owned,,,2 hrs 10 mins,24 Apr 20,,27 Apr 20
Anthem,https://www.trueachievements.com/game/Anthem/achievements,xbox-one,"248 / 2,874","180 / 1,000",8 / 46,Owned,,,25 hrs 20 mins,16 Apr 20,,24 Apr 20
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"760 / 1,898","555 / 1,000",31 / 50,Owned,,,14 hrs 46 mins,14 Apr 20,,17 Apr 20
A Plague Tale: Innocence,https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,xbox-one,"594 / 1,874","445 / 1,000",21 / 35,Owned,,,15 hrs 10 mins,06 Apr 20,,14 Apr 20
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"282 / 2,849","240 / 1,000",21 / 50,Owned,,,,15 Mar 20,,26 Mar 20
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"214 / 1,917","170 / 1,000",3 / 26,Owned,,,81 hrs 28 mins,17 Mar 20,,17 Mar 20
Dark Souls: Remastered,https://www.trueachievements.com/game/Dark-Souls-Remastered/achievements,xbox-one,"473 / 1,883","320 / 1,000",16 / 41,Owned,,,51 hrs 35 mins,26 Jan 20,,19 Feb 20
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"16 / 4,977","15 / 1,000",2 / 68,Owned,,,1 hr 55 mins,08 Jan 20,,08 Jan 20
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"285 / 1,895","245 / 1,000",19 / 50,Owned,,,,27 Nov 19,,06 Dec 19
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"733 / 3,395","540 / 1,250",25 / 56,Owned,,,,24 Nov 19,,27 Nov 19
The Outer Worlds,https://www.trueachievements.com/game/The-Outer-Worlds/achievements,xbox-one,"46 / 2,752","45 / 1,000",2 / 48,Owned,,,2 hrs 55 mins,24 Oct 19,,24 Oct 19
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"32 / 3,836","30 / 1,000",2 / 51,Owned,,,6 hrs 18 mins,15 Sep 19,,18 Sep 19
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"135 / 2,156","110 / 1,000",4 / 33,Owned,,,,16 Sep 19,,18 Sep 19
Ori and the Blind Forest: Definitive Edition,https://www.trueachievements.com/game/Ori-and-the-Blind-Forest-Definitive-Edition/achievements,xbox-one,"36 / 4,141","35 / 1,250",3 / 57,Owned,,,,16 Sep 19,,16 Sep 19
