game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
KINGDOM HEARTS - HD 1.5+2.5 ReMIX,https://www.trueachievements.com/game/KINGDOM-HEARTS-HD-15-25-ReMIX/achievements,xbox-one,"149 / 13,284","120 / 4,000",8 / 197,Owned,Playing now,,20 hrs 29 mins,18 Feb 23,,20 Feb 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"628 / 5,391","425 / 2,020",38 / 144,Owned,Playing now,,14 hrs 48 mins,13 Feb 23,,18 Feb 23
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"594 / 2,156","410 / 1,000",12 / 33,Owned,Playing now,,16 hrs 10 mins,12 Feb 23,,13 Feb 23
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"5,044 / 14,729","1,905 / 3,340",63 / 97,Owned,Playing now,,191 hrs 53 mins,01 Jan 23,,11 Feb 23
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"30 / 3,108","25 / 1,000",3 / 50,Owned,Playing now,,17 hrs 58 mins,05 Feb 23,,08 Feb 23
Stick Fight: The Game,https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,xbox-one,"418 / 2,829","340 / 1,000",15 / 28,Owned,Playing now,,3 hrs 49 mins,16 Jan 23,,21 Jan 23
CRSED: F.O.A.D.,https://www.trueachievements.com/game/Cuisine-Royale/achievements,xbox-one,"50 / 6,704","50 / 1,000",1 / 13,Owned,Playing now,,38 mins,31 Dec 22,,31 Dec 22
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"397 / 1,751","285 / 1,000",16 / 50,Owned,Playing now,,19 hrs 44 mins,23 Dec 22,,28 Dec 22
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"2,051 / 2,051","1,240 / 1,240",23 / 23,Owned,Playing now,,8 hrs 28 mins,27 Dec 22,27 Dec 22,27 Dec 22
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"549 / 2,013","420 / 1,200",57 / 140,Owned,Playing now,,16 hrs 49 mins,11 Dec 22,,17 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"446 / 2,441","330 / 1,000",14 / 32,Owned,Playing now,,7 hrs 24 mins,14 Dec 22,,15 Dec 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"32 / 2,287","30 / 1,000",2 / 44,Owned,Playing now,,8 hrs 1 min,12 Dec 22,,13 Dec 22
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"163 / 1,996","130 / 1,000",11 / 50,Owned,Playing now,,,11 Dec 22,,12 Dec 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"315 / 4,060","250 / 1,930",17 / 86,Owned,Playing now,,12 hrs 36 mins,01 Dec 22,,06 Dec 22
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"814 / 1,898","585 / 1,000",33 / 50,Owned,Playing now,,16 hrs 52 mins,28 Nov 22,,29 Nov 22
Terraria,https://www.trueachievements.com/game/Terraria/achievements,xbox-one,"2,703 / 4,865","915 / 1,290",26 / 39,Owned,Playing now,,222 hrs 3 mins,13 Oct 22,,26 Nov 22
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"807 / 2,480","650 / 1,500",29 / 60,Owned,,,119 hrs 22 mins,25 Sep 22,,22 Oct 22
Brawlhalla,https://www.trueachievements.com/game/Brawlhalla/achievements,xbox-one,"15 / 3,946","15 / 1,000",1 / 39,Owned,,,30 mins,27 Sep 22,,27 Sep 22
