game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Goat Simulator 3,https://www.trueachievements.com/game/Goat-Simulator-3/achievements,xbox-series-x-s,"52 / 2,314","45 / 1,000",3 / 39,Owned,Playing now,,12 hrs 59 mins,28 Jan 23,,03 Jun 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"27 / 4,142","27 / 1,000",2 / 66,Owned,Playing now,,50 mins,03 May 23,,03 May 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"86 / 2,441","80 / 1,000",4 / 32,Owned,Playing now,,2 hrs 3 mins,23 Apr 23,,27 Apr 23
The Ascent,https://www.trueachievements.com/game/The-Ascent/achievements,xbox-one,"41 / 2,811","35 / 1,000",2 / 46,Owned,Playing now,,1 hr 29 mins,10 Apr 23,,10 Apr 23
Immortals Fenyx Rising,https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,xbox-one,"463 / 2,025","330 / 1,000",22 / 50,Owned,Playing now,,55 hrs 59 mins,13 Feb 23,,04 Apr 23
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"10 / 2,977","10 / 1,000",1 / 36,Owned,Playing now,,31 mins,20 Mar 23,,20 Mar 23
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"10 / 1,892","10 / 1,000",1 / 69,Owned,Playing now,,,15 Mar 23,,15 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"32 / 2,696","30 / 1,000",2 / 51,Owned,Playing now,,1 hr 9 mins,03 Mar 23,,13 Mar 23
Kingdom Come: Deliverance,https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,xbox-one,"28 / 4,606","25 / 1,000",2 / 49,Owned,Playing now,,3 hrs 31 mins,06 Mar 23,,06 Mar 23
As Dusk Falls,https://www.trueachievements.com/game/As-Dusk-Falls/achievements,xbox-one,"818 / 1,734","560 / 1,000",24 / 50,Owned,Playing now,,8 hrs 3 mins,26 Feb 23,,05 Mar 23
Octopath Traveler,https://www.trueachievements.com/game/Octopath-Traveler/achievements,xbox-one,"7 / 6,333","5 / 1,000",1 / 88,Owned,Playing now,,1 hr 0 mins,28 Feb 23,,28 Feb 23
Slay The Spire,https://www.trueachievements.com/game/Slay-The-Spire/achievements,xbox-one,"257 / 4,722","155 / 1,000",12 / 44,Owned,,,13 hrs 28 mins,13 Oct 22,,27 Feb 23
Darkest Dungeon,https://www.trueachievements.com/game/Darkest-Dungeon/achievements,xbox-one,"15 / 6,144","15 / 1,000",1 / 52,Owned,Playing now,,17 mins,25 Feb 23,,25 Feb 23
Ori and the Will of the Wisps,https://www.trueachievements.com/game/Ori-and-the-Will-of-the-Wisps/achievements,xbox-one,"5 / 3,428","5 / 1,000",1 / 37,Owned,Playing now,,2 hrs 58 mins,22 Feb 23,,22 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"15 / 4,483","15 / 1,000",1 / 44,Owned,Playing now,,15 mins,09 Feb 23,,09 Feb 23
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"11 / 2,635","10 / 1,000",1 / 54,Owned,Playing now,,1 hr 21 mins,21 Jan 23,,21 Jan 23
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"892 / 2,013","630 / 1,200",79 / 140,Owned,Playing now,,22 hrs 31 mins,24 Dec 22,,20 Jan 23
Return to Monkey Island,https://www.trueachievements.com/game/Return-to-Monkey-Island/achievements,xbox-series-x-s,"5 / 3,139","5 / 1,000",1 / 39,Owned,Playing now,,1 hr 8 mins,08 Jan 23,,08 Jan 23
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"22 / 3,255","20 / 1,000",2 / 45,Owned,Playing now,,3 hrs 56 mins,15 Dec 22,,15 Dec 22
Nobody Saves the World,https://www.trueachievements.com/game/Nobody-Saves-the-World/achievements,xbox-one,"61 / 2,406","55 / 1,000",4 / 33,Owned,,,1 hr 48 mins,02 Dec 22,,02 Dec 22
Yakuza 0,https://www.trueachievements.com/game/Yakuza-0/achievements,xbox-one,"533 / 4,694","255 / 1,000",17 / 55,Owned,,,39 hrs 0 mins,28 Feb 20,,13 Nov 22
SpiderHeck,https://www.trueachievements.com/game/SpiderHeck/achievements,xbox-one,"541 / 12,190","210 / 1,000",13 / 29,Owned,,,7 hrs 15 mins,25 Sep 22,,23 Oct 22
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"51 / 3,587","45 / 1,000",4 / 41,Owned,,,3 hrs 1 min,10 Oct 22,,10 Oct 22
Tinykin,https://www.trueachievements.com/game/Tinykin/achievements,xbox-one,"422 / 1,595","315 / 1,000",16 / 43,Owned,,,8 hrs 5 mins,29 Sep 22,,07 Oct 22
Bejeweled 3,https://www.trueachievements.com/game/Bejeweled-3/achievements,xbox-360,246 / 641,130 / 200,11 / 12,Owned,,,,25 Sep 17,,03 Oct 22
