game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
The Jackbox Party Pack 3,https://www.trueachievements.com/game/The-Jackbox-Party-Pack-3/achievements,xbox-one,"525 / 2,550","350 / 1,000",7 / 20,Owned,Playing now,,6 hrs 44 mins,01 Mar 21,,21 Apr 23
Peggle 2,https://www.trueachievements.com/game/Peggle-2/achievements,xbox-one,"575 / 2,211","420 / 1,000",12 / 28,Owned,Playing now,,2 hrs 22 mins,04 Jul 15,,11 Sep 22
Biomutant,https://www.trueachievements.com/game/Biomutant/achievements,xbox-one,"10 / 2,588","10 / 1,000",1 / 46,Owned,Playing now,,67 hrs 14 mins,19 Mar 22,,19 Mar 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"543 / 18,974","300 / 5,000",38 / 500,Owned,,,20 hrs 0 mins,19 Apr 15,,07 Aug 21
BattleBlock Theater,https://www.trueachievements.com/game/BattleBlock-Theater/achievements,xbox-360,"90 / 1,547",55 / 400,8 / 30,Owned,,,,28 Jul 14,,17 Jan 21
Plants vs. Zombies Garden Warfare,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare/achievements,xbox-one,"329 / 3,750","190 / 1,500",13 / 65,Owned,Playing now,,9 hrs 13 mins,11 Jul 15,,05 Dec 20
Cuphead,https://www.trueachievements.com/game/Cuphead/achievements,xbox-one,"98 / 2,657","85 / 1,000",5 / 28,Owned,Playing now,,42 hrs 44 mins,30 Dec 17,,14 Jul 20
Spyro Reignited Trilogy,https://www.trueachievements.com/game/Spyro-Reignited-Trilogy/achievements,xbox-one,"166 / 5,373","130 / 3,000",6 / 105,Owned,Playing now,,11 hrs 25 mins,20 Nov 19,,29 Jan 20
Slime Rancher,https://www.trueachievements.com/game/Slime-Rancher/achievements,xbox-one,"43 / 2,475","35 / 1,000",4 / 57,Owned,Playing now,,1 hr 25 mins,29 Aug 17,,29 Aug 17
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"32 / 1,895","30 / 1,000",3 / 50,Owned,Playing now,,,07 May 17,,07 May 17
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"54 / 1,480","45 / 1,000",3 / 49,Owned,,,,04 Jan 14,,23 Apr 17
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"221 / 2,002","165 / 1,000",7 / 30,Owned,Playing now,,2 hrs 41 mins,28 Jul 16,,18 Apr 17
Mortal Kombat X,https://www.trueachievements.com/game/Mortal-Kombat-X/achievements,xbox-one,"66 / 4,663","55 / 1,000",6 / 60,Owned,Playing now,,4 hrs 37 mins,29 Dec 15,,11 Apr 17
