game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"1,775 / 1,917","950 / 1,000",25 / 26,Owned,Playing now,,145 hrs 21 mins,27 Oct 19,,06 Jun 20
FIFA 19,https://www.trueachievements.com/game/FIFA-19/achievements,xbox-one,"1,393 / 2,931","690 / 1,000",32 / 41,Owned,Playing now,,205 hrs 39 mins,12 Jan 19,,08 May 20
Crash Bandicoot N. Sane Trilogy,https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,xbox-one,"1,648 / 9,166","840 / 3,000",27 / 77,Owned,Playing now,,,08 Jul 18,,07 May 20
Call of Duty: Modern Warfare Remastered,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-Remastered/achievements,xbox-one,"1,813 / 1,910","960 / 1,000",49 / 50,Owned,Playing now,,361 hrs 33 mins,05 Nov 16,,25 Apr 20
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"256 / 1,891","180 / 1,000",13 / 50,Owned,Playing now,,,18 May 16,,18 Jan 20
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"1,929 / 2,632","875 / 1,000",42 / 50,Owned,Playing now,,526 hrs 9 mins,03 Nov 17,,22 Oct 19
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"3,061 / 3,767","1,030 / 1,250",51 / 59,Owned,,,119 hrs 11 mins,27 Nov 14,,18 Oct 19
Battlefield V,https://www.trueachievements.com/game/Battlefield-V/achievements,xbox-one,"213 / 2,709","165 / 1,000",7 / 21,Owned,Playing now,,9 hrs 10 mins,20 May 19,,21 May 19
World War Z,https://www.trueachievements.com/game/World-War-Z/achievements,xbox-one,"1,744 / 4,341","630 / 1,000",24 / 35,Owned,Playing now,,20 hrs 12 mins,19 Apr 19,,10 May 19
Call of Duty: Modern Warfare 2 (2009),https://www.trueachievements.com/game/Modern-Warfare-2-2009/achievements,xbox-360,"1,215 / 1,532","860 / 1,000",45 / 50,Owned,Playing now,,,29 Aug 18,,26 Jan 19
FIFA 17,https://www.trueachievements.com/game/FIFA-17/achievements,xbox-one,"1,463 / 2,215","755 / 1,000",34 / 44,Owned,Playing now,,82 hrs 49 mins,04 Oct 17,,04 Jun 18
Need for Speed Payback,https://www.trueachievements.com/game/Need-for-Speed-Payback/achievements,xbox-one,"898 / 3,267","450 / 1,000",31 / 53,Owned,Playing now,,30 hrs 9 mins,23 Nov 17,,22 Apr 18
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"1,736 / 1,736","1,000 / 1,000",14 / 14,Owned,Playing now,,13 hrs 49 mins,28 Mar 18,15 Apr 18,15 Apr 18
TrueAchievements,https://www.trueachievements.com/game/TrueAchievements/achievements,xbox-one,0 / 0,0 / 0,6 / 20,Owned,Playing now,,5 hrs 3 mins,10 Oct 15,,25 Mar 18
FIFA 18,https://www.trueachievements.com/game/FIFA-18/achievements,xbox-one,"41 / 2,275","30 / 1,000",2 / 44,Owned,Playing now,,47 mins,15 Mar 18,,15 Mar 18
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"743 / 2,687","360 / 1,000",20 / 31,Owned,Playing now,,43 hrs 35 mins,30 Oct 16,,01 Nov 17
Forza Motorsport 5,https://www.trueachievements.com/game/Forza-Motorsport-5/achievements,xbox-one,"15 / 4,359","15 / 1,000",3 / 78,Owned,Playing now,,1 hr 37 mins,07 Sep 17,,07 Sep 17
Prominence Poker,https://www.trueachievements.com/game/Prominence-Poker/achievements,xbox-one,"301 / 5,017","235 / 1,000",9 / 34,Owned,Playing now,,14 hrs 10 mins,08 Aug 17,,16 Aug 17
Burnout Paradise,https://www.trueachievements.com/game/Burnout-Paradise/achievements,xbox-360,"100 / 3,052","85 / 1,000",6 / 50,Owned,Playing now,,,23 May 17,,15 Jul 17
Forza Horizon,https://www.trueachievements.com/game/Forza-Horizon/achievements,xbox-360,"87 / 1,689","85 / 1,000",6 / 50,Owned,Playing now,,,09 Sep 16,,19 Apr 17
Amazon Video (UK),https://www.trueachievements.com/game/Amazon-LOVEFiLM/achievements,xbox-one,0 / 0,0 / 0,1 / 9,Owned,Playing now,,26 mins,28 Nov 16,,28 Nov 16
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,4 / 10,Owned,,,1322 hrs 37 mins,07 Jul 15,,21 Jul 16
Need for Speed Rivals,https://www.trueachievements.com/game/Need-for-Speed-Rivals/achievements,xbox-one,"25 / 3,557","25 / 1,000",1 / 25,Owned,Playing now,,1 hr 36 mins,18 May 16,,18 May 16
FIFA 15,https://www.trueachievements.com/game/FIFA-15/achievements,xbox-one,"1,482 / 2,047","750 / 1,000",34 / 45,Owned,Playing now,,131 hrs 49 mins,10 Oct 15,,15 May 16
Call of Duty: Advanced Warfare,https://www.trueachievements.com/game/Call-of-Duty-Advanced-Warfare/achievements,xbox-one,"879 / 1,867","620 / 1,000",33 / 50,Owned,Playing now,,13 hrs 50 mins,19 Apr 16,,08 May 16
Rise of the Tomb Raider,https://www.trueachievements.com/game/Rise-of-the-Tomb-Raider/achievements,xbox-one,"1,281 / 2,410","735 / 1,000",52 / 66,Owned,Playing now,,43 hrs 47 mins,25 Mar 16,,12 Apr 16
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"111 / 1,837","90 / 1,000",9 / 50,Owned,Playing now,,11 hrs 7 mins,19 Mar 16,,20 Mar 16
Star Wars Battlefront,https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,xbox-one,"1,449 / 3,209","640 / 1,000",31 / 43,Owned,Playing now,,38 hrs 57 mins,22 Feb 16,,18 Mar 16
Far Cry 4,https://www.trueachievements.com/game/Far-Cry-4/achievements,xbox-one,"1,440 / 1,503","980 / 1,000",49 / 50,Owned,Playing now,,62 hrs 49 mins,24 Jan 16,,21 Feb 16
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"381 / 3,395","260 / 1,250",14 / 56,Owned,Playing now,,8 hrs 3 mins,20 Jan 16,,21 Jan 16
Battlefield Hardline,https://www.trueachievements.com/game/Battlefield-Hardline/achievements,xbox-one,"1,653 / 2,347","875 / 1,000",37 / 40,Owned,Playing now,,37 hrs 49 mins,22 Dec 15,,12 Jan 16
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"1,786 / 3,543","790 / 1,000",41 / 47,Owned,Playing now,,77 hrs 36 mins,09 Nov 15,,09 Dec 15
Dying Light,https://www.trueachievements.com/game/Dying-Light/achievements,xbox-one,"1,239 / 2,317","785 / 1,060",44 / 53,Owned,,,62 hrs 34 mins,24 Apr 15,,17 Aug 15
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"540 / 18,974","315 / 5,000",37 / 500,Owned,,,28 hrs 35 mins,11 May 15,,30 May 15
Call of Duty: Ghosts,https://www.trueachievements.com/game/Call-of-Duty-Ghosts/achievements,xbox-one,"1,664 / 1,948","905 / 1,000",45 / 50,Owned,,,149 hrs 53 mins,25 Nov 14,,04 May 15
All 4,https://www.trueachievements.com/game/4oD/achievements,xbox-one,0 / 0,0 / 0,9 / 10,Owned,,,313 hrs 37 mins,25 Nov 14,,27 Feb 15
Metro Redux,https://www.trueachievements.com/game/Metro-Redux/achievements,xbox-one,"242 / 3,876","170 / 2,000",13 / 98,Owned,,,7 hrs 54 mins,02 Feb 15,,04 Feb 15
Battlefield 4,https://www.trueachievements.com/game/Battlefield-4/achievements,xbox-one,"1,552 / 2,097","780 / 1,000",33 / 42,Owned,,,31 hrs 2 mins,10 Jan 15,,24 Jan 15
Demand 5,https://www.trueachievements.com/game/Demand-5/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,30 mins,25 Nov 14,,25 Nov 14
