GamerTag,Achievements File,Games File,Achievements Last Scraped,Games Last Scraped,Location Last Scraped,LocationSrc,LocationAlt,LocationTitle
5LWVET,Yes,Yes,2023-06-02 20:25:45,2023-06-04 18:53:34,2023-06-06 00:15:18,None,None,None
MTWJUH,Yes,Yes,2023-06-06 11:52:42,2023-06-07 23:15:06,,,,
P1VF88,Yes,Yes,2023-06-03 07:01:35,2023-06-07 22:55:25,2023-06-06 00:39:53,https://www.trueachievements.com/images/flags/United%20Kingdom(Great%20Britain).png,United Kingdom,United Kingdom
15H8JC,Yes,Yes,2023-06-03 10:19:08,2023-06-04 18:27:51,2023-06-06 00:11:59,None,None,None
868CV7,Yes,Yes,2023-06-02 16:55:00,2023-06-07 22:23:48,2023-06-06 00:30:38,None,None,None
Y34NIY,Yes,Yes,2023-06-02 18:54:07,2023-06-04 18:57:50,2023-06-06 00:12:51,None,None,None
0QWNL0,Yes,Yes,2023-06-08 04:10:54,2023-06-07 23:10:22,,,,
PQM5PG,Yes,Yes,2023-06-06 21:41:40,2023-06-07 22:49:30,,,,
XKOAWC,Yes,Yes,2023-06-06 13:48:11,2023-06-07 23:26:11,,,,
3TS1LC,Yes,Yes,2023-06-06 23:07:03,2023-06-07 23:31:01,,,,
7JZ247,Yes,Yes,2023-06-02 13:16:19,2023-06-04 01:12:46,,,,
W7MHPE,Yes,Yes,2023-06-08 00:24:03,2023-06-07 22:21:19,,,,
621GLI,Yes,Yes,2023-06-03 06:54:05,2023-06-07 22:34:43,2023-06-06 00:59:32,None,None,None
V78JYT,Yes,Yes,2023-06-07 15:17:34,2023-06-07 21:33:36,,,,
4FLIUE,Yes,Yes,2023-06-03 10:25:22,2023-06-07 22:41:10,2023-06-06 00:27:07,None,None,None
B3X75R,Yes,Yes,2023-06-02 19:58:02,2023-06-04 16:22:15,,,,
8M43YB,Yes,Yes,5/28/2023 19:40,5/28/2023 13:31,2023-06-06 00:43:27,None,None,None
0T40IH,Yes,Yes,2023-06-06 20:54:48,2023-06-07 21:07:43,,,,
